"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2019ahk",54853.618034178,54853.618034178,"xrt",1.866e-13,1.076e-13,1.076e-13,7.33e-13,1.73410404624277,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",54874.3805844232,54874.3805844232,"xrt",3.662e-14,4.641e-14,4.641e-14,3.617e-13,0.78921568627451,2.39297052505328,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",55538.5839391912,55538.5839391912,"xrt",0,0,0,7.447e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",56830.6970555774,56830.6970555774,"xrt",0,0,0,3.668e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58181.1376129565,58181.1376129565,"xrt",6.308e-14,8.023e-14,8.023e-14,6.251e-13,0.786274509803922,2.38247036793661,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58514.6843450433,58514.6843450433,"xrt",0,0,0,2.948e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58516.4715606269,58516.4715606269,"xrt",0,1.463e-14,1.463e-14,4.326e-13,0,1.33685722108943,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58526.3030108417,58526.3030108417,"xrt",1.585e-13,1.118e-13,1.118e-13,7.95e-13,1.41843971631206,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58528.0825873892,58528.0825873892,"xrt",0,1.725e-14,1.725e-14,3.619e-13,0,0.977467070774982,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58532.6628657621,58532.6628657621,"xrt",1.13e-13,8.979e-14,8.979e-14,6.175e-13,1.25874125874126,3.25951568857732,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58536.4526290748,58536.4526290748,"xrt",4.081e-14,4.081e-14,4.081e-14,3.316e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58538.0393628785,58538.0393628785,"xrt",1.233e-13,9.796e-14,9.796e-14,6.733e-13,1.25874125874126,3.23929146618335,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58540.3115503769,58540.3115503769,"xrt",0,1.927e-14,1.927e-14,5.699e-13,0,1.33685722108943,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58542.0275550394,58542.0275550394,"xrt",8.61e-14,6.84e-14,6.84e-14,4.701e-13,1.25874125874126,3.23529665238952,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58543.1912962963,58543.1912962963,"xmm",2.90205487311957e-14,2.7661164602424e-15,2.7661164602424e-15,6.683e-14,10.4914413938495,Inf,0.558327143997104,0.13686089520603,0.162795640925525,1.62646128945863e-14,4.39966038919302e-15,3.83436610965234e-15,1.05687835999051,27.2513239197912,1.57507416623526,0.23073425093152,0.248934298994726,3.21603070939459e-14,7.85422646542774e-15,9.99507290457935e-15,0.671715187823607,18.7777341321193,3.21603070939459e-14,7.85422646542774e-15,9.99507290457935e-15,"PL"
"AT_2019ahk",58543.2091319444,58543.2091319444,"xmmcat",2.71952230847342e-14,1.54919016928818e-15,1.54919016928818e-15,,17.5544769285684,,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58544.5533238348,58544.5533238348,"xrt",5.071e-14,5.071e-14,5.071e-14,4.121e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58561.4344243977,58561.4344243977,"xrt",0,1.9e-14,1.9e-14,3.902e-13,0,0.964049476417023,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58561.6307764324,58561.6307764324,"xrt",0,0,0,7.98e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58561.632972594,58561.632972594,"xrt",0,0,0,1.855e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58571.9801712023,58571.9801712023,"xrt",0,0,0,7.398e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58575.434423625,58575.434423625,"xrt",0,0,0,1.178e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58578.4183464234,58578.4183464234,"xrt",5.041e-14,5.041e-14,5.041e-14,4.096e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58581.6177174709,58581.6177174709,"xrt",0,2.126e-14,2.126e-14,3.552e-13,0,0.741687424327862,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58584.1466875558,58584.1466875558,"xrt",6.866e-14,6.866e-14,6.866e-14,5.579e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2019ahk",58588.9532986111,58588.9532986111,"xmm",1.24622613142778e-14,2.07342413255224e-15,2.07342413255224e-15,4.186e-14,6.01047374660276,6.7485979699144,0.462434666649534,0.137432422070929,0.150093812846516,7.19605830852014e-15,2.26334325471917e-15,2.32436087899454e-15,0.765717271205215,19.3143454241043,1.7525230844421,0.378248070902133,0.427528621320254,1.34952681813827e-14,4.07047148404208e-15,6.55764079604171e-15,0.679486692644457,17.5897338528891,1.34952681813827e-14,4.07047148404208e-15,6.55764079604171e-15,"PL"
