"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2019azh",58544.7553123858,58544.7553123858,"xrt",0,1.241e-14,1.241e-14,1.489e-13,0,0.382888119569143,,,,,,,,,,,,,,,,,,,,""
"AT_2019azh",58553.4514636947,58553.4514636947,"xrt",4.308e-13,1.661e-13,1.661e-13,1.106e-12,2.59298245614035,5.63617150767025,,,,,,,,,,,,,,,,,,,,""
"AT_2019azh",58556.1070035956,58556.1070035956,"xrt",3.221e-13,2.002e-13,2.002e-13,1.333e-12,1.60919540229885,4.01655827855609,,,,,,,,,,,,,,,,,,,,""
"AT_2019azh",58562.9480437322,58562.9480437322,"xrt",3.385e-13,1.364e-13,1.364e-13,9.081e-13,2.4812030075188,5.69550640497314,,,,,,,,,,,,,,,,,,,,""
"AT_2019azh",58565.9335736653,58565.9335736653,"xrt",3.047e-13,1.344e-13,1.344e-13,8.811e-13,2.26720647773279,5.16148844319522,,,,,,,,,,,,,,,,,,,,""
"AT_2019azh",58568.0590019956,58568.0590019956,"xrt",3.466e-13,2.753e-13,2.753e-13,1.893e-12,1.25874125874126,3.24330275158481,,,,,,,,,,,,,,,,,,,,""
"AT_2019azh",58568.0607502093,58568.0607502093,"xrt",3.741e-13,1.132e-13,1.132e-13,7.994e-13,3.30578512396694,6.90145002570506,,,,,,,,,,,,,,,,,,,,""
"AT_2019azh",58568.276859975,58568.276859975,"xrt",3.885e-13,1.414e-13,1.414e-13,9.655e-13,2.74647887323944,7.10177106693249,,,,,,,,,,,,,,,,,,,,""
"AT_2019azh",58574.7827509454,58574.7827509454,"xrt",1.999e-13,8.956e-14,8.956e-14,6.017e-13,2.23214285714286,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2019azh",58577.0968028993,58577.0968028993,"xrt",1.3e-13,5.395e-14,5.395e-14,3.382e-13,2.40866873065016,4.24902993697514,,,,,,,,,,,,,,,,,,,,""
