"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2019teq",58821.488758548,58821.488758548,"xrt",2.444e-13,9.373e-14,9.373e-14,6.085e-13,2.60747663551402,4.85178487785044,,,,,,,,,,,,,,,,,,,,""
"AT_2019teq",58832.6451058121,58832.6451058121,"xrt",1.045e-12,1.701e-13,1.701e-13,1.606e-12,6.14439324116743,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2019teq",58835.5606759822,58835.5606759822,"xrt",5.802e-13,1.438e-13,1.438e-13,1.089e-12,4.03547671840355,8.01401594877555,,,,,,,,,,,,,,,,,,,,""
"AT_2019teq",58838.4801657104,58838.4801657104,"xrt",8.063e-13,1.677e-13,1.677e-13,1.392e-12,4.80651731160896,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2019teq",58841.3404020602,58841.3404020602,"xrt",1.495e-13,7.144e-14,7.144e-14,4.547e-13,2.09274193548387,4.23391841736535,,,,,,,,,,,,,,,,,,,,""
"AT_2019teq",58841.580775463,58841.580775463,"xmm",3.74071718177895e-13,7.95759287940856e-15,7.95759287940856e-15,4.96e-13,47.0081498069422,Inf,0.167560948964926,0.00367249521155899,0.00373032978181981,2.69268997281333e-13,8.05426986546173e-15,7.92240094570695e-15,0.784400352107489,193.824885210012,2.8482209506855,0.0535899955939985,0.0548401653611967,3.697860342104e-13,1.27877591663019e-14,1.30145296765006e-14,1.20224994608191,294.944486951822,2.69268997281333e-13,8.05426986546173e-15,7.92240094570695e-15,"BB"
"AT_2019teq",58844.7237355364,58844.7237355364,"xrt",2.519e-13,9.966e-14,9.966e-14,6.306e-13,2.52802359882006,4.42715306980764,,,,,,,,,,,,,,,,,,,,""
"AT_2019teq",58847.7098241806,58847.7098241806,"xrt",1.859e-13,8.136e-14,8.136e-14,5.132e-13,2.28472222222222,4.28612934323948,,,,,,,,,,,,,,,,,,,,""
"AT_2019teq",58905.0188535387,58905.0188535387,"xrt",1.948e-12,2.542e-13,2.542e-13,2.767e-12,7.66451612903226,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2019teq",58912.5077629524,58912.5077629524,"xrt",9.356e-13,1.787e-13,1.787e-13,1.543e-12,5.23636363636364,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2019teq",58915.2790509259,58915.2790509259,"xmm",8.79326290006253e-13,1.21361709833303e-14,1.21361709833303e-14,1.215e-12,72.4550017640702,Inf,0.205923408342927,0.00425891442772192,0.00432598394626871,6.16498098153148e-13,1.57863975269976e-14,1.6137716178625e-14,1.18450617931263,169.830865103768,2.76411005993325,0.037010688964445,0.0376357713413435,8.73010929556453e-13,2.47278735546433e-14,2.40964866900263e-14,1.47172725497661,210.041815696726,6.16498098153148e-13,1.57863975269976e-14,1.6137716178625e-14,"BB"
"AT_2019teq",58915.2968865741,58915.2968865741,"xmmcat",7.80085990583028e-13,8.65615097484999e-15,8.65615097484999e-15,,90.1192681192286,,,,,,,,,,,,,,,,,,,,,""
"AT_2019teq",58962.5824300617,58962.5824300617,"xrt",6.164e-13,1.111e-13,1.111e-13,9.884e-13,5.54621848739496,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2019teq",58969.5599049792,58969.5599049792,"xrt",7.315e-13,1.696e-13,1.696e-13,1.326e-12,4.31289640591966,Inf,,,,,,,,,,,,,,,,,,,,""
