"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2020acka",59235.8984119021,59235.8984119021,"xrt",0,3.687e-14,3.687e-14,1.925e-13,0,0.171142428839816,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",59247.5730877085,59247.5730877085,"xrt",0,5.01e-14,5.01e-14,2.673e-13,0,0.853599110188426,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",59249.4976753665,59249.4976753665,"xrt",0,4.25e-14,4.25e-14,2.267e-13,0,0.853599110188426,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",59256.3353913352,59256.3353913352,"xrt",6.721e-14,5.923e-14,5.923e-14,3.374e-13,1.13461538461538,2.22689820089373,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",59263.7700371468,59263.7700371468,"xrt",9.945e-14,7.423e-14,7.423e-14,4.404e-13,1.33980582524272,2.61833403228631,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",59324.2454662042,59324.2454662042,"xrt",4.767e-14,5.282e-14,5.282e-14,2.75e-13,0.902542372881356,1.80303318555455,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",59332.349168791,59332.349168791,"xrt",1.471e-14,8.925e-14,8.925e-14,6.241e-13,0.164814814814815,1.28401457831138,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",59333.8128791318,59333.8128791318,"xrt",3.913e-14,6.316e-14,6.316e-14,3.464e-13,0.619565217391304,1.56093706354106,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",59421.0333183704,59421.0333183704,"xrt",0,2.771e-14,2.771e-14,3.007e-13,0,0.301448859655827,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",59422.5464487528,59422.5464487528,"xrt",0,3.157e-14,3.157e-14,6.439e-13,0,0.961402654986164,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",59423.2158168718,59423.2158168718,"xrt",1.474e-14,6.461e-14,6.461e-14,3.673e-13,0.228104575163399,1.20128722540183,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",59426.6002309449,59426.6002309449,"xrt",1.735e-13,1.197e-13,1.197e-13,7.258e-13,1.44878048780488,2.86723656733618,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",59588.067036665,59588.067036665,"xrt",0,3.196e-14,3.196e-14,1.482e-13,0,0.665318569558519,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",60475.9458819896,60475.9458819896,"xrt",0,4.424e-14,4.424e-14,2.91e-13,0,0.924234557235498,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",60583.865979257,60583.865979257,"xrt",0,7.989e-14,7.989e-14,1.139e-12,0,0.576983334446535,,,,,,,,,,,,,,,,,,,,""
"AT_2020acka",60592.4397323892,60592.4397323892,"xrt",0,6.102e-14,6.102e-14,3.186e-13,0,0.172491575404643,,,,,,,,,,,,,,,,,,,,""
