"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2020afhd",58885.242,58886.742,"erass",4.688e-13,7.2138388483034e-14,7.2138388483034e-14,,6.4986203581503,,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60339.6833329044,60339.6833329044,"xrt",7.812e-12,5.446e-13,5.446e-13,9.442e-12,14.3448275862069,Inf,0.0841569005101255,0.0064546186525196,0.00697533351075906,7.45119631710224e-12,1.51164900266798e-12,1.62734363856595e-12,0.474507270721327,6.84704362432796,4.38001065385324,0.401356893498975,0.420172322430317,9.09598074145172e-12,3.2431917485789e-12,5.32305893363861e-12,0.841878841924368,9.05127305154621,7.45119631710224e-12,1.51164900266798e-12,1.62734363856595e-12,"BB"
"AT_2020afhd",60346.0773559132,60346.0773559132,"xrt",6.285e-13,2.195e-13,2.195e-13,1.507e-12,2.86378737541528,6.79194529345476,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60349.2377933445,60349.2377933445,"xrt",6.381e-13,1.383e-13,1.383e-13,1.12e-12,4.61382113821138,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60350.6359722222,60350.6359722222,"xmm",5.82613452572257e-13,1.1099632266179e-14,1.1099632266179e-14,6.9e-13,52.4894373615875,Inf,0.0415207731149729,0.00111620554166444,0.00113364625325294,1.7493464919889e-12,3.40015776234644e-13,3.59178489328046e-13,1.4562205944571,121.953868151025,8.39928038440646,0.165796959833981,0.171115873608736,2.0017791596454e-12,4.17798488951518e-13,5.13301311318569e-13,1.08709997116714,92.0550976645382,2.0017791596454e-12,4.17798488951518e-13,5.13301311318569e-13,"PL"
"AT_2020afhd",60353.0030666783,60353.0030666783,"xrt",4.644e-13,1.219e-13,1.219e-13,9.025e-13,3.80841121495327,7.56402036752574,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60356.4842767651,60356.4842767651,"xrt",7.235e-13,1.739e-13,1.739e-13,1.32e-12,4.16173570019724,7.36938385283716,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60360.0468119023,60360.0468119023,"xrt",3.366e-12,3.622e-13,3.622e-13,4.498e-12,9.2931392931393,Inf,0.0601990244243583,0.00670614700060001,0.00771910792348165,4.11928513591085e-12,2.04719305588185e-12,2.52270321361426e-12,0.347446635832361,4.69489327166472,5.8701199484947,0.729788192292432,0.765909038470357,4.64761948571505e-12,2.98679677079514e-12,5.96260192778303e-12,0.967133428236789,5.93426685647358,4.11928513591085e-12,2.04719305588185e-12,2.52270321361426e-12,"BB"
"AT_2020afhd",60363.1474685996,60363.1474685996,"xrt",7.345e-12,4.804e-13,4.804e-13,8.79e-12,15.2903225806452,Inf,0.0895141633277606,0.00731374092995,0.00794029486467732,6.48548723360624e-12,1.33384102946705e-12,1.37337728103088e-12,0.636901965857186,8.4583137610003,4.19913232594103,0.411398445245077,0.432166273770474,8.39431287098597e-12,2.98041756725205e-12,4.40032287118312e-12,0.610028981563147,8.27020287094203,8.39431287098597e-12,2.98041756725205e-12,4.40032287118312e-12,"PL"
"AT_2020afhd",60366.1000090993,60366.1000090993,"xrt",1.056e-11,5.569e-13,5.569e-13,1.221e-11,18.9637305699482,Inf,0.094491814720094,0.00374768174363133,0.00371568994206342,9.72128562641155e-12,1.07567440333327e-12,1.11719347739897e-12,0.306188050799809,8.28663271119732,4.87066700969166,0.157643307232683,0.166625023096985,1.16065724936567e-11,2.11669563500326e-12,2.31177975982653e-12,1.61167559526335,26.5634583336868,9.72128562641155e-12,1.07567440333327e-12,1.11719347739897e-12,"BB"
"AT_2020afhd",60367.161574381,60367.161574381,"xrt",2.003e-12,2.501e-13,2.501e-13,2.801e-12,8.00720288115246,Inf,0.0766652980435222,0.0117328476827545,0.0154047367385046,1.87904824794362e-12,9.5399775805542e-13,1.13450827980178e-12,0.00845518721826,4.00845518721826,4.31127372093642,0.887122843390434,0.904076914657395,2.68589593307575e-12,1.6599698134202e-12,3.62255072471477e-12,0.228089006943864,4.22808900694386,1.87904824794362e-12,9.5399775805542e-13,1.13450827980178e-12,"BB"
"AT_2020afhd",60370.0569465507,60370.0569465507,"xrt",2.637e-13,1.133e-13,1.133e-13,7.095e-13,2.32679738562092,4.1901214858418,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60371.0425295459,60371.0425295459,"xrt",9.811e-14,8.478e-14,8.478e-14,5.176e-13,1.15730337078652,2.41983033633202,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60373.2198681162,60373.2198681162,"xrt",3.453e-13,1.154e-13,1.154e-13,7.693e-13,2.99212598425197,5.28603465574221,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60375.0705463936,60375.0705463936,"xrt",7.094e-14,1.553e-13,1.553e-13,9.229e-13,0.456666666666667,1.45670955768697,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60376.0654118183,60376.0654118183,"xrt",2.318e-13,8.893e-14,8.893e-14,5.936e-13,2.60701754385965,5.73525118409235,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60377.2501773933,60377.2501773933,"xrt",3.153e-13,1.033e-13,1.033e-13,6.952e-13,3.05263157894737,5.44853938696975,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60379.0946111929,60379.0946111929,"xrt",1.284e-13,8.662e-14,8.662e-14,4.917e-13,1.48221343873518,2.63668426763651,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60382.1182654901,60382.1182654901,"xrt",3.97e-13,1.191e-13,1.191e-13,8.438e-13,3.33333333333333,7.035746482901,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60383.5054878732,60383.5054878732,"xrt",2.559e-13,1.427e-13,1.427e-13,8.585e-13,1.79282868525896,3.31209773017044,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60384.0371594348,60384.0371594348,"xrt",7.744e-13,2.985e-13,2.985e-13,1.812e-12,2.59423503325942,3.94704270145791,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60482.0176963938,60482.0176963938,"xrt",2.041e-12,2.423e-13,2.423e-13,2.809e-12,8.42165898617511,Inf,0.115635380472457,0.0126270948707981,0.0138771021488339,1.46363659704841e-12,3.98775907301515e-13,4.59612385163754e-13,0.237341256434192,4.23734125643419,4.19737860106626,0.451249869735296,0.484765696265095,2.07281667962077e-12,6.62763693149126e-13,1.06569347036099e-12,0.280558474302162,4.28055847430216,1.46363659704841e-12,3.98775907301515e-13,4.59612385163754e-13,"BB"
"AT_2020afhd",60485.8319093915,60485.8319093915,"xrt",2.081e-12,2.461e-13,2.461e-13,2.858e-12,8.45454545454546,Inf,0.104292275068356,0.0133447084601756,0.0139697119660309,1.48648302303586e-12,5.07277097121381e-13,5.04335237906891e-13,1.52154059568055,5.52154059568055,4.72192398317608,0.521643613249503,0.594293709651316,2.33592448851267e-12,9.85428407590371e-13,1.74721496996653e-12,0.107342688688571,4.10734268868857,2.33592448851267e-12,9.85428407590371e-13,1.74721496996653e-12,"PL"
"AT_2020afhd",60488.0732942815,60488.0732942815,"xrt",9.9e-13,1.675e-13,1.675e-13,1.544e-12,5.91194968553459,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60491.0324399181,60491.0324399181,"xrt",2.45e-12,2.592e-13,2.592e-13,3.261e-12,9.45134575569358,Inf,0.0673250443161239,0.0101157560225535,0.012850140173949,2.58397614267504e-12,1.47501456833401e-12,1.97025590870623e-12,0.76574281197262,4.76574281197262,5.32111055411431,1.02698976349268,1.07933097537028,3.79453097135044e-12,2.62580209520077e-12,7.29466300543366e-12,1.27610778935181,5.27610778935181,2.58397614267504e-12,1.47501456833401e-12,1.97025590870623e-12,"BB"
"AT_2020afhd",60494.1968352936,60494.1968352936,"xrt",1.642e-12,2.642e-13,2.642e-13,2.517e-12,6.21495327102804,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2020afhd",60497.730453766,60497.730453766,"xrt",5.982e-12,3.813e-13,3.813e-13,7.109e-12,15.6875,Inf,0.077599196126108,0.00356472529977209,0.00353983975443244,6.38064039378244e-12,1.05692249217901e-12,1.04686914296733e-12,0.841954938513652,10.7356395081092,,,,,,,,,6.38064039378244e-12,1.05692249217901e-12,1.04686914296733e-12,"BB"
"AT_2020afhd",60500.2345017908,60500.2345017908,"xrt",4.611e-12,4.333e-13,4.333e-13,5.967e-12,10.6422018348624,Inf,0.0971511097909564,0.00687978854321901,0.00703603931830961,3.97222927985591e-12,7.6312380893466e-13,8.41009546241986e-13,0.823713165522725,6.47113949656817,4.76040655150874,0.305850664988773,0.332680746080118,4.86766645844969e-12,1.40456380926547e-12,1.96205124744127e-12,2.5159988158177,11.5479964474531,3.97222927985591e-12,7.6312380893466e-13,8.41009546241986e-13,"BB"
"AT_2020afhd",60503.132742548,60503.132742548,"xrt",3.291e-12,2.689e-13,2.689e-13,4.12e-12,12.24,Inf,0.107742045303541,0.0113124772543626,0.0134218633180818,2.92878181807951e-12,6.20128608691845e-13,5.9174049595841e-13,0.592119475864848,6.36847790345939,3.30607365332137,0.501065800152486,0.516479626541128,4.30323057777239e-12,1.51927555130309e-12,1.90582651619407e-12,0.747440298527871,6.98976119411149,2.92878181807951e-12,6.20128608691845e-13,5.9174049595841e-13,"BB"
"AT_2020afhd",60506.0846621313,60506.0846621313,"xrt",2.299e-12,2.738e-13,2.738e-13,3.168e-12,8.39953271028037,Inf,0.0837239710504049,0.0126705454263618,0.0156393077911736,2.44347288699067e-12,1.13928547270748e-12,1.37649484113336e-12,0.089100860081072,4.08910086008107,4.53768943514762,0.884901108645683,0.945687545723515,3.51982117267231e-12,2.16816121633552e-12,4.90508159479595e-12,0.00676620356457586,4.00676620356458,3.51982117267231e-12,2.16816121633552e-12,4.90508159479595e-12,"PL"
