"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2020mot",58599.7637124695,58599.7637124695,"xrt",0,0,0,9.411e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",58600.146749794,58600.146749794,"xrt",0,0,0,6.202e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",58601.3448910368,58601.3448910368,"xrt",0,0,0,6.091e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",58601.3510341702,58601.3510341702,"xrt",0,1.369e-13,1.369e-13,5.191e-12,0,1.45945175672993,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",58604.9885598324,58604.9885598324,"xrt",1.584e-13,1.584e-13,1.584e-13,1.287e-12,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",58605.5191734453,58605.5191734453,"xrt",0,3.045e-14,3.045e-14,8.262e-13,0,1.11274205059507,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",59075.1383344195,59075.1383344195,"xrt",0,1.202e-14,1.202e-14,3.231e-13,0,1.10933399701192,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",59078.7143628431,59078.7143628431,"xrt",0,2.414e-14,2.414e-14,6.549e-13,0,1.11445350128629,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",59082.6288354755,59082.6288354755,"xrt",5.552e-14,5.833e-14,5.833e-14,3.8e-13,0.951724137931034,2.24406923355883,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",59089.7930622378,59089.7930622378,"xrt",0,2.075e-14,2.075e-14,2.801e-13,0,0.37102920134887,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",59096.033399963,59096.033399963,"xrt",0,4.672e-14,4.672e-14,2.533e-13,0,0.825200407346458,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",59103.5228820283,59103.5228820283,"xrt",3.799e-14,5.136e-14,5.136e-14,3.233e-13,0.73972602739726,1.83143312715752,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",59123.6039488926,59123.6039488926,"xrt",0,1.273e-14,1.273e-14,2.412e-13,0,0.73194351899939,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",59130.2483003669,59130.2483003669,"xrt",0,8.922e-15,8.922e-15,1.969e-13,0,0.892985580211532,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",59142.3728148283,59142.3728148283,"xrt",2.806e-14,5.444e-14,5.444e-14,4.059e-13,0.515384615384615,1.75365199270105,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",59144.4945712609,59144.4945712609,"xrt",0,1.332e-14,1.332e-14,2.074e-13,0,0.516584426154472,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",59151.5258103227,59151.5258103227,"xrt",3.728e-14,7.289e-14,7.289e-14,4.413e-13,0.511486486486486,1.5168650270363,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",59250.109592847,59250.109592847,"xrt",0,1.091e-14,1.091e-14,1.041e-13,0,0.105150013235426,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",59664.4492058523,59664.4492058523,"xrt",3.975e-14,7.786e-14,7.786e-14,5.803e-13,0.510576923076923,1.74518264996919,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",60064.1115646417,60064.1115646417,"xrt",3.246e-14,6.288e-14,6.288e-14,3.807e-13,0.516216216216216,1.5168650270363,,,,,,,,,,,,,,,,,,,,""
"AT_2020mot",60549.9771962838,60549.9771962838,"xrt",0,3.271e-14,3.271e-14,1.256e-12,0,1.46570754061067,,,,,,,,,,,,,,,,,,,,""
