"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2020neh",57656.8845764149,57656.8845764149,"xrt",0,4.481e-14,4.481e-14,2.707e-13,0,0.5291605376074,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59031.3554510385,59031.3554510385,"xrt",0,1.922e-14,1.922e-14,2.012e-13,0,0.255802320507912,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59033.8183218616,59033.8183218616,"xrt",1.065e-14,5.636e-14,5.636e-14,3.948e-13,0.188888888888889,1.31125763384325,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59034.7443563137,59034.7443563137,"xrt",0,3.263e-14,3.263e-14,4.825e-13,0,0.596754895430418,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59035.7425227901,59035.7425227901,"xrt",0,2.612e-14,2.612e-14,3.152e-13,0,0.386933029438217,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59036.6093881887,59036.6093881887,"xrt",1.34e-14,7.234e-14,7.234e-14,5.066e-13,0.185185185185185,1.30701427148595,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59037.7343534429,59037.7343534429,"xrt",1.272e-13,6.874e-14,6.874e-14,4.313e-13,1.85022026431718,3.73288081379852,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59038.7305068345,59038.7305068345,"xrt",0,2.912e-14,2.912e-14,2.856e-13,0,0.206569780088954,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59039.4451294625,59039.4451294625,"xrt",0,3.066e-14,3.066e-14,2.04e-13,0,0.959369302792826,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59040.9173260329,59040.9173260329,"xrt",9.556e-15,5.186e-14,5.186e-14,3.632e-13,0.184259259259259,1.30595643634414,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59041.7078744651,59041.7078744651,"xrt",0,0,0,4.054e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59045.0234396218,59045.0234396218,"xrt",5.982e-14,5.354e-14,5.354e-14,3.234e-13,1.11731843575419,2.34576339616412,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59047.9532495371,59047.9532495371,"xrt",0,5.214e-14,5.214e-14,2.743e-13,0,0.788693353819686,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59049.0244851588,59049.0244851588,"xrt",0,3.54e-14,3.54e-14,4.694e-13,0,0.479779679257568,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59053.7210043463,59053.7210043463,"xrt",2.53e-14,4.749e-14,4.749e-14,2.846e-13,0.532666666666667,1.55262436526499,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59055.7106852614,59055.7106852614,"xrt",0,1.844e-14,1.844e-14,1.814e-13,0,0.208676083409271,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59057.2406251135,59057.2406251135,"xrt",0,4.07e-14,4.07e-14,2.634e-13,0,0.827123110422144,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59059.3779720787,59059.3779720787,"xrt",5.814e-14,5.233e-14,5.233e-14,3.503e-13,1.11111111111111,2.65519183406175,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59061.7611228202,59061.7611228202,"xrt",5.152e-14,9.649e-14,9.649e-14,5.781e-13,0.534,1.55262436526499,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59063.7532775454,59063.7532775454,"xrt",3.12e-14,3.978e-14,3.978e-14,3.099e-13,0.784313725490196,2.37554414234888,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59066.5385373042,59066.5385373042,"xrt",8.474e-14,6.773e-14,6.773e-14,3.946e-13,1.2512077294686,2.44087585971448,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59068.0582777912,59068.0582777912,"xrt",4.903e-14,6.374e-14,6.374e-14,3.605e-13,0.769230769230769,1.7576123694808,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59070.1842725361,59070.1842725361,"xrt",0,1.27e-14,1.27e-14,1.53e-13,0,0.386933029438217,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59072.3770322385,59072.3770322385,"xrt",0,2.109e-14,2.109e-14,2.535e-13,0,0.386933029438217,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59074.1102569429,59074.1102569429,"xrt",6.28e-15,6.182e-14,6.182e-14,3.094e-13,0.101587301587302,1.0146175180218,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59076.5004859695,59076.5004859695,"xrt",0,5.979e-14,5.979e-14,3.767e-13,0,0.714255743341265,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59078.4190342306,59078.4190342306,"xrt",0,2.359e-14,2.359e-14,2.215e-13,0,0.17216911931029,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59080.3530047058,59080.3530047058,"xrt",0,6.429e-14,6.429e-14,3.162e-13,0,0.924918088338438,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59082.4772378209,59082.4772378209,"xrt",0,3.781e-14,3.781e-14,2.322e-13,0,0.617108575129437,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59084.46541446,59084.46541446,"xrt",0,5.218e-14,5.218e-14,2.863e-13,0,0.987651032787947,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59086.2573051521,59086.2573051521,"xrt",4.081e-14,4.999e-14,4.999e-14,3.159e-13,0.816326530612245,1.97993709257964,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59088.9838929054,59088.9838929054,"xrt",5.196e-14,7.691e-14,7.691e-14,4.747e-13,0.675675675675676,1.75106981014516,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59228.0030667558,59228.0030667558,"xrt",0,1.518e-14,1.518e-14,2.004e-13,0,0.478744282434236,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59231.3257284676,59231.3257284676,"xrt",0,4.116e-14,4.116e-14,4.078e-13,0,0.210804495676431,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59234.1712833552,59234.1712833552,"xrt",5.172e-15,3.904e-14,3.904e-14,2.183e-13,0.132467532467532,1.10449397876106,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59237.3663098426,59237.3663098426,"xrt",0,3.919e-14,3.919e-14,2.608e-13,0,0.959369302792826,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59240.0226174977,59240.0226174977,"xrt",0,3.564e-14,3.564e-14,2.189e-13,0,0.617108575129437,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59241.3530985172,59241.3530985172,"xrt",7.166e-14,8.106e-14,8.106e-14,4.684e-13,0.883977900552486,1.92904520635276,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59808.2099045438,59808.2099045438,"xrt",0,3.077e-14,3.077e-14,1.542e-13,0,0.55477788014712,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",59823.2587263047,59823.2587263047,"xrt",7.083e-17,3.137e-14,3.137e-14,1.721e-13,0.00225806451612903,0.987651032787947,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",60496.1293744561,60496.1293744561,"xrt",3.444e-14,1.296e-13,1.296e-13,7.44e-13,0.265789473684211,1.23550797518849,,,,,,,,,,,,,,,,,,,,""
"AT_2020neh",60577.6251338297,60577.6251338297,"xrt",0,3.277e-14,3.277e-14,1.592e-13,0,0.0711912795828201,,,,,,,,,,,,,,,,,,,,""
