"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2020nov",59051.7963166861,59051.7963166861,"xrt",1.068e-13,7.886e-14,7.886e-14,4.69e-13,1.35436893203883,2.65168730545386,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59053.0089581961,59053.0089581961,"xrt",3.335e-13,1.214e-13,1.214e-13,8.289e-13,2.74647887323944,7.10785383892573,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59055.8580712267,59055.8580712267,"xrt",8.6e-14,6.958e-14,6.958e-14,4.3e-13,1.23595505617978,2.6119256554743,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59057.3905152433,59057.3905152433,"xrt",5.378e-14,6.084e-14,6.084e-14,3.516e-13,0.883977900552486,1.92904520635276,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59058.8354743906,59058.8354743906,"xrt",2.051e-13,9.887e-14,9.887e-14,6.118e-13,2.07407407407407,3.87517519039013,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59059.4467448239,59059.4467448239,"xrt",3.24e-13,1.085e-13,1.085e-13,7.413e-13,2.98507462686567,6.13877342443114,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59060.7702174644,59060.7702174644,"xrt",1.508e-13,9.002e-14,9.002e-14,5.7e-13,1.67487684729064,3.54969987872884,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59061.6974716114,59061.6974716114,"xrt",1.117e-13,9.998e-14,9.998e-14,6.039e-13,1.11731843575419,2.34576339616412,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59062.0291293574,59062.0291293574,"xrt",2.215e-13,1.013e-13,1.013e-13,6.56e-13,2.18623481781377,4.64497212531277,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59063.5563172551,59063.5563172551,"xrt",1.812e-13,1.033e-13,1.033e-13,6.364e-13,1.75438596491228,3.43565405090681,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59064.7507494498,59064.7507494498,"xrt",2.781e-13,1.202e-13,1.202e-13,7.762e-13,2.3134328358209,4.74472743971075,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59065.6097616352,59065.6097616352,"xrt",2.809e-13,1.486e-13,1.486e-13,9.794e-13,1.89054726368159,4.72882847433387,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59066.2055944771,59066.2055944771,"xrt",1.502e-13,8.969e-14,8.969e-14,5.677e-13,1.67487684729064,3.53978913283723,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59067.6110713868,59067.6110713868,"xrt",8.051e-14,6.514e-14,6.514e-14,4.024e-13,1.23595505617978,2.60326430794231,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59069.3978844933,59069.3978844933,"xrt",3.758e-13,1.23e-13,1.23e-13,8.503e-13,3.05389221556886,6.51931858233599,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59071.5881506973,59071.5881506973,"xrt",3.802e-13,1.586e-13,1.586e-13,1.04e-12,2.39700374531835,5.16394756548763,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59073.1116549424,59073.1116549424,"xrt",2.475e-13,9.817e-14,9.817e-14,6.451e-13,2.52097902097902,5.22989780486997,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59075.513024903,59075.513024903,"xrt",1.179e-13,8.694e-14,8.694e-14,5.495e-13,1.35593220338983,2.9274357368664,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59077.3617500156,59077.3617500156,"xrt",2.15e-13,1.122e-13,1.122e-13,6.907e-13,1.916,3.64842209560004,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59079.2915645977,59079.2915645977,"xrt",1.278e-13,9.438e-14,9.438e-14,5.613e-13,1.35436893203884,2.65168730545386,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59118.2550023329,59118.2550023329,"xrt",6.09e-14,6.09e-14,6.09e-14,3.597e-13,1,2.12281964269885,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59125.3660573013,59125.3660573013,"xrt",1.74e-14,4.634e-14,4.634e-14,3.353e-13,0.375471698113208,1.54411533602846,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59139.9710503415,59139.9710503415,"xrt",4.321e-14,6.396e-14,6.396e-14,3.948e-13,0.675675675675676,1.75213610963816,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59145.2788350284,59145.2788350284,"xrt",1.255e-13,9.253e-14,9.253e-14,5.849e-13,1.35593220338983,2.9274357368664,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59304.9448906125,59304.9448906125,"xrt",0,0,0,2.166e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59306.0030666755,59306.0030666755,"xrt",1.286e-13,1.286e-13,1.286e-13,7.596e-13,1,2.12281964269885,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59312.3762196903,59312.3762196903,"xrt",0,2.698e-14,2.698e-14,8.019e-13,0,1.33937044284973,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59317.939555388,59317.939555388,"xrt",6.042e-13,3.196e-13,3.196e-13,2.107e-12,1.89054726368159,4.73374697876267,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59318.8746106498,59318.8746106498,"xrt",1.306e-12,5.333e-13,5.333e-13,3.613e-12,2.44897959183673,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59323.8621225177,59323.8621225177,"xrt",2.645e-13,1.939e-13,1.939e-13,1.155e-12,1.36407766990291,2.67429829464384,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59394.3433169318,59394.3433169318,"xrt",1.507e-12,2.658e-13,2.658e-13,2.396e-12,5.67164179104478,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59400.8566267044,59400.8566267044,"xrt",6.721e-13,2.152e-13,2.152e-13,1.504e-12,3.12312312312312,6.99169605751242,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59412.2687128519,59412.2687128519,"xrt",9.135e-13,2.093e-13,2.093e-13,1.65e-12,4.36440677966102,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59415.1278865711,59415.1278865711,"xrt",1.072e-12,2.293e-13,2.293e-13,1.872e-12,4.67479674796748,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59418.2487332366,59418.2487332366,"xrt",4.817e-13,1.853e-13,1.853e-13,1.235e-12,2.6,5.66531662496566,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59421.9527103417,59421.9527103417,"xrt",1.557e-12,4.294e-13,4.294e-13,3.163e-12,3.62666666666667,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59496.1558397012,59496.1558397012,"xrt",7.45e-13,1.26e-13,1.26e-13,1.165e-12,5.91276252019386,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59783.3499418699,59783.3499418699,"xrt",4.141e-13,1.53e-13,1.53e-13,1.022e-12,2.70627062706271,5.67934664916149,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59797.5451452667,59797.5451452667,"xrt",7.28e-13,1.703e-13,1.703e-13,1.335e-12,4.27616926503341,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59798.2079901593,59798.2079901593,"xrt",8.164e-13,1.843e-13,1.843e-13,1.461e-12,4.43064182194617,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59803.2440903287,59803.2440903287,"xrt",1.963e-13,9.138e-14,9.138e-14,5.627e-13,2.14878892733564,3.87803418645398,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59812.521400463,59812.521400463,"xmm",3.55899727557915e-14,2.53362370279016e-15,2.53362370279016e-15,7.666e-14,14.0470633885363,Inf,0.449427451350354,0.124806066473742,0.184273422130491,1.52395804972717e-14,3.15112296034549e-15,2.37930088818087e-15,1.05926657340793,55.9040620969886,1.91467405556366,0.207490082071116,0.215078853850974,3.34401359860732e-14,5.60721471995347e-15,6.6897236332361e-15,0.678465813355589,37.2448248544239,3.34401359860732e-14,5.60721471995347e-15,6.6897236332361e-15,"PL"
"AT_2020nov",59813.2500880116,59813.2500880116,"xrt",8.444e-14,5.247e-14,5.247e-14,3.495e-13,1.60919540229885,4.03008697180867,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59817.7690067024,59817.7690067024,"xrt",6.75e-13,2.389e-13,2.389e-13,1.561e-12,2.82608695652174,4.96322824915637,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59824.8549979186,59824.8549979186,"xrt",3.1e-13,1.385e-13,1.385e-13,8.84e-13,2.23880597014925,4.41184819249846,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59831.428746954,59831.428746954,"xrt",9.253e-14,1.378e-13,1.378e-13,8.495e-13,0.671621621621622,1.73834546063582,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59838.1793282003,59838.1793282003,"xrt",1.811e-13,1.336e-13,1.336e-13,8.444e-13,1.35593220338983,2.9274357368664,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",59845.0745183308,59845.0745183308,"xrt",9.601e-14,1.223e-13,1.223e-13,9.525e-13,0.785294117647059,2.37899995908193,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",60066.2786153688,60066.2786153688,"xrt",4.34e-13,1.945e-13,1.945e-13,1.306e-12,2.23214285714286,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",60069.7362083852,60069.7362083852,"xrt",0,0,0,1.557e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",60464.6432314945,60464.6432314945,"xrt",2.237e-13,1.39e-13,1.39e-13,9.259e-13,1.60919540229885,4.03008697180867,,,,,,,,,,,,,,,,,,,,""
"AT_2020nov",60482.0628324829,60482.0628324829,"xrt",2.767e-13,2.04e-13,2.04e-13,1.29e-12,1.35593220338983,2.92561765379362,,,,,,,,,,,,,,,,,,,,""
