"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2020qhs",55582.5850578704,55582.5850578704,"xmm",4.01753042123151e-15,3.31132083434097e-15,3.31132083434097e-15,6.306e-14,1.21327126612637,1.8137089417947,,,,,,,,,,,,,,,,,,,,""
"AT_2020qhs",59146.8284599336,59146.8284599336,"xrt",4.269e-14,5.55e-14,5.55e-14,3.139e-13,0.769230769230769,1.7576123694808,,,,,,,,,,,,,,,,,,,,""
"AT_2020qhs",59154.7361475683,59154.7361475683,"xrt",0,5.832e-14,5.832e-14,3.088e-13,0,0.788693353819686,,,,,,,,,,,,,,,,,,,,""
"AT_2020qhs",59160.4479535336,59160.4479535336,"xrt",0,1.135e-14,1.135e-14,1.678e-13,0,0.596082461201819,,,,,,,,,,,,,,,,,,,,""
"AT_2020qhs",59167.4817248267,59167.4817248267,"xrt",0,1.711e-14,1.711e-14,1.91e-13,0,0.314155371855939,,,,,,,,,,,,,,,,,,,,""
"AT_2020qhs",59174.4458401028,59174.4458401028,"xrt",9.007e-15,2.405e-14,2.405e-14,1.74e-13,0.374528301886792,1.54275501651641,,,,,,,,,,,,,,,,,,,,""
"AT_2020qhs",60463.5392286581,60463.5392286581,"xrt",6.044e-14,6.044e-14,6.044e-14,3.57e-13,1,2.12281964269885,,,,,,,,,,,,,,,,,,,,""
"AT_2020qhs",60464.7268225246,60464.7268225246,"xrt",7.882e-15,3.819e-14,3.819e-14,1.946e-13,0.206382978723404,1.11191259058211,,,,,,,,,,,,,,,,,,,,""
"AT_2020qhs",60465.2585955123,60465.2585955123,"xrt",3.062e-14,3.611e-14,3.611e-14,1.856e-13,0.848101265822785,1.73402799339497,,,,,,,,,,,,,,,,,,,,""
"AT_2020qhs",60467.7524567209,60467.7524567209,"xrt",2.27e-14,7.099e-14,7.099e-14,3.687e-13,0.319786096256684,1.22313929535454,,,,,,,,,,,,,,,,,,,,""
