"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2021blz",58829,59011,"erass",,,,,,,,,,,,,,,,,,,,,,,,,,""
"AT_2021blz",59258.7793073491,59258.7793073491,"xrt",2.134e-14,3.775e-14,3.775e-14,2.827e-13,0.565384615384615,1.84664834792218,,,,,,,,,,,,,,,,,,,,""
"AT_2021blz",59261.7608308074,59261.7608308074,"xrt",1.481e-14,3.937e-14,3.937e-14,2.303e-13,0.376158940397351,1.36010116839761,,,,,,,,,,,,,,,,,,,,""
"AT_2021blz",59264.0085546142,59264.0085546142,"xrt",9.968e-14,4.992e-14,4.992e-14,2.901e-13,1.99694189602446,3.30421742675342,,,,,,,,,,,,,,,,,,,,""
"AT_2021blz",59267.0051500866,59267.0051500866,"xrt",1.383e-15,1.922e-14,1.922e-14,9.589e-14,0.071957671957672,0.991508801463576,,,,,,,,,,,,,,,,,,,,""
"AT_2021blz",59270.1864435003,59270.1864435003,"xrt",0,9.331e-15,9.331e-15,1.024e-13,0,0.304573405225555,,,,,,,,,,,,,,,,,,,,""
"AT_2021blz",59273.2348581061,59273.2348581061,"xrt",9.043e-14,1.157e-13,1.157e-13,9.013e-13,0.781372549019608,2.36526290632924,,,,,,,,,,,,,,,,,,,,""
"AT_2021blz",59279.6724765491,59279.6724765491,"xrt",0,3.264e-14,3.264e-14,9.463e-13,0,1.32691250033961,,,,,,,,,,,,,,,,,,,,""
"AT_2021blz",59282.3293585054,59282.3293585054,"xrt",0,9.013e-14,9.013e-14,2.6e-12,0,1.32445287632554,,,,,,,,,,,,,,,,,,,,""
"AT_2021blz",59285.0526988855,59285.0526988855,"xrt",0,2.962e-14,2.962e-14,1.621e-13,0,0.965790591546912,,,,,,,,,,,,,,,,,,,,""
"AT_2021blz",59288.1050573088,59288.1050573088,"xrt",1.059e-13,5.071e-14,5.071e-14,3.227e-13,2.08870967741935,4.22523517935163,,,,,,,,,,,,,,,,,,,,""
"AT_2021blz",59289.6372179084,59289.6372179084,"xrt",5.365e-14,4.391e-14,4.391e-14,2.354e-13,1.22178988326848,2.21242800518269,,,,,,,,,,,,,,,,,,,,""
