"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2021uqv",56707.5463814037,56707.5463814037,"xrt",8.09e-14,5.476e-14,5.476e-14,3.543e-13,1.47727272727273,3.35858553290621,,,,,,,,,,,,,,,,,,,,""
"AT_2021uqv",56895.0626368368,56895.0626368368,"xrt",3.831e-14,3.831e-14,3.831e-14,3.113e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2021uqv",56897.1306922199,56897.1306922199,"xrt",7.229e-14,7.229e-14,7.229e-14,5.874e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2021uqv",59454.5728447959,59454.5728447959,"xrt",2.584e-13,1.007e-13,1.007e-13,6.806e-13,2.56603773584906,6.57940680660545,,,,,,,,,,,,,,,,,,,,""
"AT_2021uqv",59472.0381827317,59472.0381827317,"xrt",6.869e-14,5.457e-14,5.457e-14,3.752e-13,1.25874125874126,3.25137534864211,,,,,,,,,,,,,,,,,,,,""
"AT_2021uqv",59489.080094502,59489.080094502,"xrt",2.699e-13,6.939e-14,6.939e-14,5.247e-13,3.89027431421446,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2021uqv",59544.1674785503,59544.1674785503,"xrt",0,7.704e-15,7.704e-15,1.604e-13,0,0.973409259001116,,,,,,,,,,,,,,,,,,,,""
"AT_2021uqv",59564.202722844,59564.202722844,"xrt",3.958e-14,2.791e-14,2.791e-14,1.985e-13,1.41843971631206,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2021uqv",59584.3193576248,59584.3193576248,"xrt",0,7.289e-15,7.289e-15,2.156e-13,0,1.33685722108943,,,,,,,,,,,,,,,,,,,,""
"AT_2021uqv",59589.9469165565,59589.9469165565,"xrt",1.918e-16,4.931e-14,4.931e-14,3.38e-13,0.00388990825688073,1.11986896826116,,,,,,,,,,,,,,,,,,,,""
"AT_2021uqv",60454.3322563952,60454.3322563952,"xrt",0,0,0,3.802e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2021uqv",60456.6298512005,60456.6298512005,"xrt",0,0,0,2.918e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2021uqv",60457.1597010131,60457.1597010131,"xrt",4.323e-15,2.37e-14,2.37e-14,1.659e-13,0.182407407407407,1.30384435473952,,,,,,,,,,,,,,,,,,,,""
