"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2022aee",59698.3053816695,59698.3053816695,"xrt",4.943e-14,3.936e-14,3.936e-14,2.295e-13,1.256038647343,2.45081556843552,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",59780.0857541114,59780.0857541114,"xrt",0,2.015e-14,2.015e-14,8.764e-14,0,0.4114112424814,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",59787.3738467565,59787.3738467565,"xrt",6.525e-17,2.443e-14,2.443e-14,1.34e-13,0.00267096774193548,0.987651032787947,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",59808.1739580436,59808.1739580436,"xrt",3.576e-15,2.661e-14,2.661e-14,1.489e-13,0.134415584415584,1.11068819145914,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",59829.3489790093,59829.3489790093,"xrt",0,2.327e-14,2.327e-14,1.374e-13,0,0.463528527015804,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",59850.4848496294,59850.4848496294,"xrt",0,1.651e-14,1.651e-14,1.098e-13,0,0.959369302792826,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",59871.2608883473,59871.2608883473,"xrt",0,2.125e-14,2.125e-14,1.182e-13,0,0.293785570284023,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",59892.4396919169,59892.4396919169,"xrt",4.603e-14,3.387e-14,3.387e-14,2.016e-13,1.35922330097087,2.66295451812144,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",59913.4225577596,59913.4225577596,"xrt",0,1.453e-14,1.453e-14,2.149e-13,0,0.597428272776699,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",59920.3668401644,59920.3668401644,"xrt",0,3.088e-14,3.088e-14,1.866e-13,0,0.5330569616599,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",59934.0638682993,59934.0638682993,"xrt",0,2.501e-14,2.501e-14,1.664e-13,0,0.959369302792826,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",59955.1734603338,59955.1734603338,"xrt",1.134e-14,2.877e-14,2.877e-14,1.685e-13,0.394039735099338,1.37566924759575,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",59976.4604859382,59976.4604859382,"xrt",2.444e-14,3.155e-14,3.155e-14,1.786e-13,0.774725274725275,1.76572946945491,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",59997.0992197403,59997.0992197403,"xrt",0,2.262e-14,2.262e-14,1.335e-13,0,0.460120273034133,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",60018.6519278799,60018.6519278799,"xrt",0,2.215e-14,2.215e-14,1.396e-13,0,0.714255743341265,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",60508.4598442991,60508.4598442991,"xrt",2.434e-14,6.165e-14,6.165e-14,3.615e-13,0.394701986754967,1.383530500345,,,,,,,,,,,,,,,,,,,,""
"AT_2022aee",60585.1658652871,60585.1658652871,"xrt",0,0,0,3.797e-12,0,0,,,,,,,,,,,,,,,,,,,,""
