"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2022agi",52854.332849243,52854.332849243,"chandra",2.644450168e-14,5.14649136e-15,5.9130728e-15,4.637377736e-14,5.13835540180524,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022agi",55173.5549074074,55173.5549074074,"xmm",2.6656536880586e-14,1.47595561883476e-15,1.47595561883476e-15,5.071e-14,18.0605273901331,Inf,0.191667308851212,0.0211480009361031,0.024429281093997,2.75528541439842e-14,3.10004446513452e-15,3.50712413838676e-15,1.05042235297183,25.0084470594367,2.71482019809893,0.22058815022777,0.247898299927511,4.07257317022113e-14,6.79560218038146e-15,6.63877937733121e-15,1.41689771356747,32.3379542713494,2.75528541439842e-14,3.10004446513452e-15,3.50712413838676e-15,"BB"
"AT_2022agi",59572.3621155827,59572.3621155827,"xrt",7.074e-14,5.723e-14,5.723e-14,3.536e-13,1.23595505617978,2.60758836307751,,,,,,,,,,,,,,,,,,,,""
"AT_2022agi",59578.471841979,59578.471841979,"xrt",1.548e-13,7.222e-14,7.222e-14,4.788e-13,2.14285714285714,5.38952163736676,,,,,,,,,,,,,,,,,,,,""
"AT_2022agi",59586.2423605051,59586.2423605051,"xrt",1.15e-13,7.333e-14,7.333e-14,4.548e-13,1.56862745098039,3.19232790909545,,,,,,,,,,,,,,,,,,,,""
"AT_2022agi",59594.0711986991,59594.0711986991,"xrt",7.53e-14,4.68e-14,4.68e-14,3.116e-13,1.60919540229885,4.01655827855609,,,,,,,,,,,,,,,,,,,,""
"AT_2022agi",59705.3275738881,59705.3275738881,"xrt",4.891e-14,1.971e-14,1.971e-14,1.312e-13,2.4812030075188,5.70197429214558,,,,,,,,,,,,,,,,,,,,""
"AT_2022agi",59720.7734857061,59720.7734857061,"xrt",6.829e-14,4.622e-14,4.622e-14,2.991e-13,1.47727272727273,3.35858553290621,,,,,,,,,,,,,,,,,,,,""
"AT_2022agi",59734.3851384028,59734.3851384028,"xrt",8.649e-14,5.375e-14,5.375e-14,3.579e-13,1.60919540229885,4.02555852566797,,,,,,,,,,,,,,,,,,,,""
"AT_2022agi",59737.8600462963,59737.8600462963,"xmm",3.90692703665715e-14,2.37865780298511e-15,2.37865780298511e-15,6.993e-14,16.4249226254997,Inf,0.210876269588425,0.031044043497869,0.0420986731005386,2.78414273701056e-14,3.06443976370611e-15,3.06514783920862e-15,1.46066532453739,33.2133064907478,2.33352777899762,0.167134019045122,0.184687488849718,5.28245940460085e-14,5.76551871030234e-15,6.04850040080521e-15,0.769858620838389,19.3971724167678,5.28245940460085e-14,5.76551871030234e-15,6.04850040080521e-15,"PL"
