"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2022czy",58829,59011,"erass",,,,,,,,,,,,,,,,,,,,,,,,,,""
"AT_2022czy",59652.484177635,59652.484177635,"xrt",6.723e-15,2.772e-14,2.772e-14,1.578e-13,0.242483660130719,1.21485191221868,,,,,,,,,,,,,,,,,,,,""
"AT_2022czy",59662.5823260375,59662.5823260375,"xrt",7.284e-14,4.95e-14,4.95e-14,3.201e-13,1.47159090909091,3.34344525062657,,,,,,,,,,,,,,,,,,,,""
"AT_2022czy",59668.9461591139,59668.9461591139,"xrt",0,5.141e-14,5.141e-14,3.387e-13,0,0.945136820502958,,,,,,,,,,,,,,,,,,,,""
"AT_2022czy",59722.4108697709,59722.4108697709,"xrt",1.065e-13,5.482e-14,5.482e-14,3.502e-13,1.94247787610619,4.0952895623735,,,,,,,,,,,,,,,,,,,,""
"AT_2022czy",60109.1171247831,60109.1171247831,"xrt",2.591e-12,1.64e-13,1.64e-13,3.079e-12,15.8024691358025,Inf,0.130345668015739,0.00791889903071247,0.0082789723873555,1.80610812312123e-12,2.43601915547946e-13,2.25183700215147e-13,1.71707052549045,19.453634729414,3.5452968572391,0.188387469922571,0.194728265824064,2.35029738702824e-12,3.36439179814693e-13,3.98956517461355e-13,1.04879823834424,13.4391841450981,2.35029738702824e-12,3.36439179814693e-13,3.98956517461355e-13,"PL"
"AT_2022czy",60116.1276412899,60116.1276412899,"xrt",2.102e-12,1.38e-13,1.38e-13,2.511e-12,15.2258064516129,Inf,0.114231632655341,0.00680616723888869,0.00707045254211278,1.52292854635706e-12,1.8949268384295e-13,2.16820649189486e-13,2.02705603338683,22.2435043004814,3.69059913460961,0.172872416800661,0.179253557456265,1.77788794432881e-12,2.55282713307101e-13,3.17615723941216e-13,1.4153901454442,16.7385113089978,,,,""
"AT_2022czy",60123.0051660271,60123.0051660271,"xrt",2.502e-12,1.523e-13,1.523e-13,2.951e-12,16.4285714285714,Inf,0.127717059589163,0.0105970969985404,0.0117689791768018,1.68937283739159e-12,2.51228962114025e-13,2.99599056129553e-13,2.33422630114541,27.3422630114541,3.59207039171471,0.176424779233751,0.184782062063264,2.40252648592157e-12,3.55873336320599e-13,3.87219042413257e-13,0.229266430184715,6.29266430184715,2.40252648592157e-12,3.55873336320599e-13,3.87219042413257e-13,"PL"
"AT_2022czy",60130.0904421507,60130.0904421507,"xrt",2.488e-12,1.743e-13,1.743e-13,3.01e-12,14.2758620689655,Inf,0.124057103724928,0.0101308927967799,0.0109121474960765,1.63493906619688e-12,2.39373456726662e-13,2.79298252689847e-13,2.21056778586307,19.4739745010415,3.60298442570912,0.194791609314934,0.206890803938484,2.22203213782529e-12,3.46392091789218e-13,4.09631477418817e-13,0.311274801956562,6.17892361369594,2.22203213782529e-12,3.46392091789218e-13,4.09631477418817e-13,"PL"
"AT_2022czy",60137.3476387267,60137.3476387267,"xrt",2.288e-12,1.646e-13,1.646e-13,2.785e-12,13.9007092198582,Inf,,,,,,,,,3.89870648497539,0.280216126149357,0.2909951897853,2.19573595781846e-12,4.95068101707831e-13,5.99716620885719e-13,1.77144609367303,16.4001226557112,,,,""
