"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2022dbl",59637.2849746232,59637.2849746232,"xrt",3.439e-14,3.267e-14,3.267e-14,1.829e-13,1.05263157894737,2.09235623150623,,,,,,,,,,,,,,,,,,,,""
"AT_2022dbl",59642.3991476264,59642.3991476264,"xrt",2.411e-14,4.493e-14,4.493e-14,2.694e-13,0.536666666666667,1.5617301809771,,,,,,,,,,,,,,,,,,,,""
"AT_2022dbl",59649.2990921637,59649.2990921637,"xrt",1.678e-14,1.124e-13,1.124e-13,4.302e-13,0.149238578680203,0.912887148157717,,,,,,,,,,,,,,,,,,,,""
"AT_2022dbl",59650.2961477449,59650.2961477449,"xrt",2.78e-14,6.972e-14,6.972e-14,4.088e-13,0.398675496688742,1.383530500345,,,,,,,,,,,,,,,,,,,,""
"AT_2022dbl",59654.820350448,59654.820350448,"xrt",2.16e-14,3.75e-14,3.75e-14,2.811e-13,0.575961538461538,1.86758266543551,,,,,,,,,,,,,,,,,,,,""
"AT_2022dbl",59655.8045318149,59655.8045318149,"xrt",0,2.601e-14,2.601e-14,3.434e-13,0,0.478744282434236,,,,,,,,,,,,,,,,,,,,""
"AT_2022dbl",59660.5121756732,59660.5121756732,"xrt",2.1e-14,2.572e-14,2.572e-14,1.626e-13,0.816326530612245,1.98250636178936,,,,,,,,,,,,,,,,,,,,""
"AT_2022dbl",59662.9729655364,59662.9729655364,"xrt",1.585e-14,3.982e-14,3.982e-14,2.334e-13,0.398013245033113,1.383530500345,,,,,,,,,,,,,,,,,,,,""
"AT_2022dbl",59664.8928815917,59664.8928815917,"xrt",0,4.269e-14,4.269e-14,5.111e-13,0,0.382888119569143,,,,,,,,,,,,,,,,,,,,""
"AT_2022dbl",59666.0371979926,59666.0371979926,"xrt",0,2.906e-14,2.906e-14,1.617e-13,0,0.293785570284023,,,,,,,,,,,,,,,,,,,,""
"AT_2022dbl",59670.3945856831,59670.3945856831,"xrt",2.576e-14,3.156e-14,3.156e-14,1.995e-13,0.816326530612245,1.98508102940172,,,,,,,,,,,,,,,,,,,,""
