"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2022dsb",58829,59011,"erass",,,,,,,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59643.0051661463,59643.0051661463,"xrt",7.798e-14,9.553e-14,9.553e-14,6.038e-13,0.816326530612245,1.98379301931133,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59646.0975694444,59646.0975694444,"xmm",3.71976425484375e-14,4.15372571572646e-15,4.15372571572646e-15,9.57e-14,8.95524767261429,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59649.7028657813,59649.7028657813,"xrt",2.75e-14,1.045e-13,1.045e-13,6.001e-13,0.263157894736842,1.23550797518849,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59656.15073327,59656.15073327,"xrt",1.374e-13,1.433e-13,1.433e-13,9.282e-13,0.958904109589041,2.27315871986298,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59663.9689442866,59663.9689442866,"xrt",0,0,0,5.91e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59668.0308697857,59668.0308697857,"xrt",1.61e-14,8.692e-14,8.692e-14,6.087e-13,0.185185185185185,1.30701427148595,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59673.8057105422,59673.8057105422,"xrt",1.321e-13,2.29e-13,2.29e-13,1.716e-12,0.576923076923077,1.8695096988041,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59677.179135978,59677.179135978,"xrt",1.031e-13,1.315e-13,1.315e-13,1.024e-12,0.784313725490196,2.37554414234888,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59683.2060855047,59683.2060855047,"xrt",0,6.956e-14,6.956e-14,9.183e-13,0,0.478744282434236,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59696.2068397734,59696.2068397734,"xrt",2.11e-13,2.387e-13,2.387e-13,1.379e-12,0.883977900552486,1.92904520635276,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59701.2519441787,59701.2519441787,"xrt",0,4.493e-14,4.493e-14,6.644e-13,0,0.597428272776699,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59704.5136781248,59704.5136781248,"xrt",1.623e-13,1.452e-13,1.452e-13,8.775e-13,1.11731843575419,2.34817262343074,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59729.05214332,59729.05214332,"xrt",5.134e-13,2.881e-13,2.881e-13,1.861e-12,1.78217821782178,4.00521324239768,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59735.8022685299,59735.8022685299,"xrt",0,7.463e-14,7.463e-14,4.154e-13,0,0.296021582429967,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59803.9287268519,59803.9287268519,"xmm",2.45422427917213e-14,7.4226596393713e-15,7.4226596393713e-15,1.442e-13,3.30639474044374,3.18124764878776,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59820.3541203704,59820.3541203704,"xmm",1.97345118725858e-14,4.40332980979885e-15,4.40332980979885e-15,6.097e-14,4.48172467769052,5.6001534415737,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59855.1468281723,59855.1468281723,"xrt",2.359e-14,9.296e-14,9.296e-14,4.274e-13,0.253719008264463,1.08391528905148,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59975.7846527778,59975.7846527778,"xmm",3.41579913465156e-14,7.22073542706669e-15,7.22073542706669e-15,9.674e-14,4.73054188060616,5.94188268088476,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",59992.4975464287,59992.4975464287,"xrt",1.673e-13,1.506e-13,1.506e-13,1.008e-12,1.11111111111111,2.65291210657163,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",60020.3559329452,60020.3559329452,"xrt",1.468e-14,7.846e-14,7.846e-14,5.496e-13,0.187037037037037,1.30913354318171,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",60026.1903956468,60026.1903956468,"xrt",1.009e-13,1.236e-13,1.236e-13,7.813e-13,0.816326530612245,1.98508102940172,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",60159.7494560185,60159.7494560185,"xmm",1.82473568724964e-13,1.12528537272301e-14,1.12528537272301e-14,2.607e-13,16.2157594107357,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",60485.5479717181,60485.5479717181,"xrt",2.068e-13,2.068e-13,2.068e-13,1.681e-12,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022dsb",60575.590933158,60575.590933158,"xrt",1.522e-13,1.212e-13,1.212e-13,7.067e-13,1.256038647343,2.45081556843552,,,,,,,,,,,,,,,,,,,,""
