"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2022exr",59687.0030957742,59687.0030957742,"xrt",3.021e-14,5.253e-14,5.253e-14,3.938e-13,0.575,1.86565967718429,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59694.1718897959,59694.1718897959,"xrt",0,1.23e-14,1.23e-14,2.102e-13,0,0.753435321868941,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59701.0030667521,59701.0030667521,"xrt",0,1.367e-14,1.367e-14,2.868e-13,0,0.976111327335736,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59743.2329373875,59743.2329373875,"xrt",1.691e-14,4.481e-14,4.481e-14,3.243e-13,0.377358490566038,1.54684186516884,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59753.7809538021,59753.7809538021,"xrt",7.653e-14,6.888e-14,6.888e-14,4.611e-13,1.11111111111111,2.65519183406175,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59763.2077687681,59763.2077687681,"xrt",4.301e-14,6.378e-14,6.378e-14,3.936e-13,0.674324324324324,1.74893996696971,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59774.2826059584,59774.2826059584,"xrt",2.862e-14,4.97e-14,4.97e-14,3.725e-13,0.575961538461538,1.86758266543551,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59802.6550643199,59802.6550643199,"xrt",3.759e-14,4.605e-14,4.605e-14,2.911e-13,0.816326530612245,1.98637039504156,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59812.0030667686,59812.0030667686,"xrt",3.604e-12,3.795e-13,3.795e-13,4.791e-12,9.49536560247168,Inf,0.0871012560890539,0.00806710072416514,0.0085857767170429,3.25752559950641e-12,9.77887772738717e-13,1.04392056393961e-12,0.142042125731033,4.28408425146207,4.71098283598685,0.479499715397348,0.509528943255521,4.1440174571908e-12,1.71177807778228e-12,2.83152012556715e-12,1.07448512655523,6.14897025311045,3.25752559950641e-12,9.77887772738717e-13,1.04392056393961e-12,"BB"
"AT_2022exr",59822.6729072385,59822.6729072385,"xrt",5.261e-13,1.719e-13,1.719e-13,1.167e-12,3.06010928961749,5.75552760995423,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59824.333088183,59824.333088183,"xrt",3.066e-12,4.028e-13,4.028e-13,4.36e-12,7.6117496807152,Inf,0.07,0,0,3.39090955249982e-12,6.33207507148178e-13,7.0441284968737e-13,0.709717683430748,2.70971768343075,1.8,0,0,1.01162537850877e-11,2.04064062732568e-12,2.03055981842134e-12,1.97473402674615,3.97473402674615,3.39090955249982e-12,6.33207507148178e-13,7.0441284968737e-13,"BB"
"AT_2022exr",59825.5254808938,59825.5254808938,"xrt",1.438e-12,3.054e-13,3.054e-13,2.512e-12,4.70833333333333,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59826.9102929929,59826.9102929929,"xrt",8.379e-13,2.115e-13,2.115e-13,1.607e-12,3.96135265700483,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59827.7708971804,59827.7708971804,"xrt",1.857e-12,3.63e-13,3.63e-13,3.112e-12,5.11538461538462,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59833.6707009401,59833.6707009401,"xrt",7.085e-13,2.269e-13,2.269e-13,1.586e-12,3.12312312312312,6.99169605751242,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59834.4786458333,59834.4786458333,"xmm",6.61352257181899e-13,1.04390748677127e-14,1.04390748677127e-14,7.746e-13,63.3535313773268,Inf,0.0661879173781641,0.000862088866148983,0.000862088866148983,1.18642225915701e-12,6.90148614677429e-14,6.32726286527887e-14,0.788729834456731,114.422176823942,6.16522587770965,0.0643373206465725,0.0655876881226707,1.46698822705936e-12,1.18677273782019e-13,1.34866549700541e-13,1.86644612325684,265.302457255958,1.18642225915701e-12,6.90148614677429e-14,6.32726286527887e-14,"BB"
"AT_2022exr",59837.1153234899,59837.1153234899,"xrt",8.246e-13,1.85e-13,1.85e-13,1.476e-12,4.45859872611465,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59842.2239211419,59842.2239211419,"xrt",7.489e-13,3.961e-13,3.961e-13,2.611e-12,1.89054726368159,4.72882847433387,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59843.949784797,59843.949784797,"xrt",8.608e-13,5.827e-13,5.827e-13,3.77e-12,1.47727272727273,3.35858553290621,,,,,,,,,,,,,,,,,,,,""
"AT_2022exr",59846.2865605065,59846.2865605065,"xrt",9.159e-13,3.423e-13,3.423e-13,2.312e-12,2.67605633802817,6.21774934207272,,,,,,,,,,,,,,,,,,,,""
