"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2022gri",58358.2838907982,58358.2838907982,"xrt",0,6.878e-14,6.878e-14,1.443e-12,0,0.976111327335736,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",58537.5176688142,58537.5176688142,"xrt",0,3.73e-14,3.73e-14,1.103e-12,0,1.33685722108943,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",58547.0227316179,58547.0227316179,"xrt",0,0,0,3.408e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",58829,59011,"erass",,,,,,,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",59698.8447397695,59698.8447397695,"xrt",0,5.343e-14,5.343e-14,1.588e-12,0,1.33937044284973,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",59703.2146433372,59703.2146433372,"xrt",1.588e-13,1.009e-13,1.009e-13,6.263e-13,1.57352941176471,3.20177248003954,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",59708.0607846047,59708.0607846047,"xrt",2.2e-14,5.437e-14,5.437e-14,3.19e-13,0.404635761589404,1.39144401989035,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",59712.0473147098,59712.0473147098,"xrt",2.735e-13,9.775e-14,9.775e-14,6.482e-13,2.79761904761905,5.27177801619193,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",59718.1410396151,59718.1410396151,"xrt",1.553e-13,8.879e-14,8.879e-14,5.302e-13,1.74900398406374,3.19808029535704,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",59817.0052602739,59817.0052602739,"xrt",9.383e-14,8.397e-14,8.397e-14,5.072e-13,1.11731843575419,2.34576339616412,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",59831.5248150929,59831.5248150929,"xrt",0,1.472e-14,1.472e-14,4.354e-13,0,1.33685722108943,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",59845.1808540463,59845.1808540463,"xrt",0,0,0,1.454e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",59850.1610994,59850.1610994,"xrt",4.518e-14,5.754e-14,5.754e-14,4.482e-13,0.785294117647059,2.37899995908193,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",59855.5312037037,59855.5312037037,"xmm",4.79094801580651e-14,4.72205463114143e-15,4.72205463114143e-15,1.054e-13,10.1458970512767,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",59859.5694626549,59859.5694626549,"xrt",2.018e-13,1.488e-13,1.488e-13,9.412e-13,1.35593220338983,2.94023154763215,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",59875.019027903,59875.019027903,"xrt",0,1.439e-14,1.439e-14,4.299e-13,0,1.34189468029492,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",59985.3156801369,59985.3156801369,"xrt",9.501e-14,6.514e-14,6.514e-14,3.955e-13,1.45853658536585,2.89303054153175,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",60023.6947337963,60023.6947337963,"xmm",3.54653722081278e-14,3.70032030954407e-15,3.70032030954407e-15,1.022e-13,9.58440600848894,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",60039.0030668625,60039.0030668625,"xrt",1.032e-13,5.645e-14,5.645e-14,3.416e-13,1.82868525896414,3.41046157138547,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",60056.9907407407,60056.9907407407,"xmm",4.93608574155254e-14,6.10692592327379e-15,6.10692592327379e-15,1.506e-13,8.08276668747671,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",60340.0215368757,60340.0215368757,"xrt",2.518e-13,9.17e-14,9.17e-14,6.26e-13,2.74647887323944,7.11393968112944,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",60445.2672887986,60445.2672887986,"xrt",5.354e-13,1.912e-13,1.912e-13,1.268e-12,2.80059523809524,5.28389266386172,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",60446.7794763403,60446.7794763403,"xrt",6.548e-13,2.732e-13,2.732e-13,1.792e-12,2.39700374531835,5.17096230507009,,,,,,,,,,,,,,,,,,,,""
"AT_2022gri",60548.078253944,60548.078253944,"xrt",2.907e-13,8.967e-14,8.967e-14,6.271e-13,3.24175824175824,6.57641246716387,,,,,,,,,,,,,,,,,,,,""
