"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2022lri",54481.1683249336,54481.1683249336,"xrt",0,3.897e-15,3.897e-15,2.406e-13,0,1.1515932141783,,,,,,,,,,,,,,,,,,,,""
"AT_2022lri",54481.2409187461,54481.2409187461,"xrt",0,2.708e-15,2.708e-15,2.08e-13,0,1.36512586692517,,,,,,,,,,,,,,,,,,,,""
"AT_2022lri",54481.2995749382,54481.2995749382,"xrt",5.44e-14,5.62e-14,5.62e-14,4.549e-13,0.968,3.48510071899372,,,,,,,,,,,,,,,,,,,,""
"AT_2022lri",58829,59011,"erass",,,,,,,,,,,,,,,,,,,,,,,,,,""
"AT_2022lri",59875.47552486,59875.47552486,"xrt",2.866e-13,7.944e-14,7.944e-14,5.81e-13,3.60824742268041,7.66910931108395,,,,,,,,,,,,,,,,,,,,""
"AT_2022lri",59882.0340479204,59882.0340479204,"xrt",1.605e-13,6.301e-14,6.301e-14,4.186e-13,2.54770318021201,5.23957454098114,,,,,,,,,,,,,,,,,,,,""
"AT_2022lri",59889.1768073301,59889.1768073301,"xrt",4.41e-14,3.198e-14,3.198e-14,2.057e-13,1.37931034482759,2.93290476093024,,,,,,,,,,,,,,,,,,,,""
"AT_2022lri",59903.4321734554,59903.4321734554,"xrt",4.699e-14,3.602e-14,3.602e-14,2.291e-13,1.30459770114943,2.71088695870294,,,,,,,,,,,,,,,,,,,,""
"AT_2022lri",59910.250884116,59910.250884116,"xrt",5.9e-13,1.189e-13,1.189e-13,9.994e-13,4.9622641509434,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022lri",59917.6882279035,59917.6882279035,"xrt",5.919e-13,2.522e-13,2.522e-13,1.683e-12,2.3469387755102,5.72612617920238,,,,,,,,,,,,,,,,,,,,""
"AT_2022lri",59920.185705494,59920.185705494,"xrt",2.569e-13,9.251e-14,9.251e-14,6.283e-13,2.77666666666667,5.95589515269969,,,,,,,,,,,,,,,,,,,,""
