"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2022upj",59897.5237567594,59897.5237567594,"xrt",9.204e-14,4.986e-14,4.986e-14,3.128e-13,1.84581497797357,3.72291179634617,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",59901.0462655172,59901.0462655172,"xrt",1.001e-13,5.992e-14,5.992e-14,3.791e-13,1.66995073891626,3.53190852504768,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",59903.8209577665,59903.8209577665,"xrt",9.135e-14,5.677e-14,5.677e-14,3.78e-13,1.60919540229885,4.01208612805205,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",59908.723099626,59908.723099626,"xrt",0,1.412e-14,1.412e-14,4.134e-13,0,1.33186342368206,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",59911.3031478831,59911.3031478831,"xrt",4.484e-14,3.645e-14,3.645e-14,2.25e-13,1.23033707865169,2.59608672572065,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",59913.3761296269,59913.3761296269,"xrt",4.083e-14,2.775e-14,2.775e-14,1.794e-13,1.47159090909091,3.34595586377675,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",59939.1413071531,59939.1413071531,"xrt",5.151e-14,3.817e-14,3.817e-14,2.268e-13,1.3495145631068,2.64049554187865,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",59943.910176013,59943.910176013,"xrt",3.62e-14,3.82e-14,3.82e-14,2.095e-13,0.947619047619048,1.93038006033332,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",59947.156011625,59947.156011625,"xrt",4.866e-14,3.604e-14,3.604e-14,2.277e-13,1.35028248587571,2.91836974909405,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",59951.1863305357,59951.1863305357,"xrt",1.094e-13,5.51e-14,5.51e-14,3.352e-13,1.98523985239852,3.63067137556747,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",59955.5592929734,59955.5592929734,"xrt",6.597e-14,3.95e-14,3.95e-14,2.5e-13,1.66995073891626,3.52994497088621,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60091.6396358204,60091.6396358204,"xrt",6.596e-14,4.193e-14,4.193e-14,2.417e-13,1.57312252964427,2.82154765316802,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60095.0030667524,60095.0030667524,"xrt",1.843e-13,6.181e-14,6.181e-14,4.22e-13,2.98208955223881,6.12123645734348,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60099.5017218276,60099.5017218276,"xrt",4.018e-14,2.976e-14,2.976e-14,1.88e-13,1.35028248587571,2.91836974909405,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60103.8630016899,60103.8630016899,"xrt",8.167e-15,3.208e-14,3.208e-14,1.841e-13,0.254605263157895,1.22858088734395,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60233.3211059516,60233.3211059516,"xrt",4.046e-13,7.804e-14,7.804e-14,6.717e-13,5.18518518518519,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60239.8594087616,60239.8594087616,"xrt",2.193e-13,5.724e-14,5.724e-14,4.287e-13,3.83084577114428,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60245.3303076938,60245.3303076938,"xrt",2.502e-13,6.571e-14,6.571e-14,4.883e-13,3.80722891566265,7.97255166443149,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60248.0507611174,60248.0507611174,"xrt",9.404e-13,1.14e-13,1.14e-13,1.303e-12,8.24644549763033,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60251.3324276873,60251.3324276873,"xrt",5.98e-13,9.946e-14,9.946e-14,9.256e-13,6.01226993865031,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60253.8493752935,60253.8493752935,"xrt",5.52e-13,8.489e-14,8.489e-14,8.294e-13,6.5021770682148,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60257.6720063862,60257.6720063862,"xrt",4.212e-13,7.364e-14,7.364e-14,6.696e-13,5.71917808219178,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60261.5155528086,60261.5155528086,"xrt",7.052e-13,2.495e-13,2.495e-13,1.727e-12,2.82685512367491,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60262.9559762918,60262.9559762918,"xrt",5.31e-13,1.218e-13,1.218e-13,9.695e-13,4.35779816513762,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60266.4576337343,60266.4576337343,"xrt",7.787e-13,1.123e-13,1.123e-13,1.143e-12,6.93370165745856,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60272.2018906443,60272.2018906443,"xrt",5.113e-13,9.534e-14,9.534e-14,8.32e-13,5.36332179930796,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60274.3011989371,60274.3011989371,"xrt",6.129e-13,8.405e-14,8.405e-14,8.84e-13,7.29194187582563,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60278.3899134007,60278.3899134007,"xrt",7.65e-13,9.61e-14,9.61e-14,1.072e-12,7.96068796068796,Inf,,,,,,,,,1.8,0,0,1.16125261766748e-12,2.3704163127013e-13,2.20462743133627e-13,1.71912934264837,3.71912934264837,,,,""
"AT_2022upj",60281.228075779,60281.228075779,"xrt",8.092e-13,1.089e-13,1.089e-13,1.158e-12,7.4293059125964,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2022upj",60284.1309069167,60284.1309069167,"xrt",6.363e-13,1.464e-13,1.464e-13,1.155e-12,4.34782608695652,Inf,,,,,,,,,,,,,,,,,,,,""
