"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2022wtn",59913.760325873,59913.760325873,"xrt",8.654e-14,8.221e-14,8.221e-14,4.603e-13,1.05263157894737,2.09235623150623,,,,,,,,,,,,,,,,,,,,""
"AT_2022wtn",59917.3364602831,59917.3364602831,"xrt",0,2.56e-14,2.56e-14,1.346e-13,0,0.78423583921932,,,,,,,,,,,,,,,,,,,,""
"AT_2022wtn",59927.068981606,59927.068981606,"xrt",0,2.128e-14,2.128e-14,2.558e-13,0,0.386933029438217,,,,,,,,,,,,,,,,,,,,""
"AT_2022wtn",59941.0030669373,59941.0030669373,"xrt",7.096e-15,5.547e-14,5.547e-14,3.102e-13,0.127922077922078,1.10449397876106,,,,,,,,,,,,,,,,,,,,""
"AT_2022wtn",59945.56112617,59945.56112617,"xrt",5.157e-14,5.532e-14,5.532e-14,2.894e-13,0.932203389830508,1.84449994822331,,,,,,,,,,,,,,,,,,,,""
"AT_2022wtn",59949.8647671086,59949.8647671086,"xrt",4.216e-15,4.066e-14,4.066e-14,2.036e-13,0.103703703703704,1.01929577877036,,,,,,,,,,,,,,,,,,,,""
"AT_2022wtn",59953.2387123989,59953.2387123989,"xrt",9.732e-14,7.874e-14,7.874e-14,4.864e-13,1.23595505617978,2.60326430794231,,,,,,,,,,,,,,,,,,,,""
"AT_2022wtn",59956.6197438348,59956.6197438348,"xrt",3.881e-15,4.649e-14,4.649e-14,2.173e-13,0.0834862385321101,0.962008071290889,,,,,,,,,,,,,,,,,,,,""
"AT_2022wtn",59965.092821375,59965.092821375,"xrt",4.644e-14,4.179e-14,4.179e-14,2.268e-13,1.11111111111111,2.10064078483919,,,,,,,,,,,,,,,,,,,,""
"AT_2022wtn",59968.0854856556,59968.0854856556,"xrt",0,1.703e-14,1.703e-14,2.243e-13,0,0.478744282434236,,,,,,,,,,,,,,,,,,,,""
"AT_2022wtn",59970.8548378507,59970.8548378507,"xrt",0,2.668e-14,2.668e-14,1.403e-13,0,0.78423583921932,,,,,,,,,,,,,,,,,,,,""
"AT_2022wtn",59974.0326946785,59974.0326946785,"xrt",0,2.742e-14,2.742e-14,1.228e-13,0,0.517801702447105,,,,,,,,,,,,,,,,,,,,""
