"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2023clx",55395.8018233666,55395.8018233666,"xrt",3.009e-14,5.056e-14,5.056e-14,3.797e-13,0.595192307692308,1.90691701515321,,,,,,,,,,,,,,,,,,,,""
"AT_2023clx",55397.8824441237,55397.8824441237,"xrt",0,2.371e-14,2.371e-14,2.43e-13,0,0.22405360825535,,,,,,,,,,,,,,,,,,,,""
"AT_2023clx",56959.3823261051,56959.3823261051,"xrt",0,5.23e-14,5.23e-14,9.401e-13,0,0.780596579695808,,,,,,,,,,,,,,,,,,,,""
"AT_2023clx",57448.8030646771,57448.8030646771,"xrt",0,2.102e-14,2.102e-14,6.509e-13,0,1.35988154531571,,,,,,,,,,,,,,,,,,,,""
"AT_2023clx",57498.6592448892,57498.6592448892,"xrt",0,0,0,1.852e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2023clx",57589.886050475,57589.886050475,"xrt",0,0,0,1.641e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2023clx",57690.2336105145,57690.2336105145,"xrt",0,2.456e-14,2.456e-14,2.393e-13,0,0.184790909964891,,,,,,,,,,,,,,,,,,,,""
"AT_2023clx",57694.7628264394,57694.7628264394,"xrt",8.948e-15,1.991e-13,1.991e-13,1.368e-12,0.044954128440367,1.1595736905434,,,,,,,,,,,,,,,,,,,,""
"AT_2023clx",58789.6055519892,58789.6055519892,"xrt",0,4.943e-14,4.943e-14,1.083e-12,0,1.00100971755994,,,,,,,,,,,,,,,,,,,,""
"AT_2023clx",58829,59011,"erass",,,,,,,,,,,,,,,,,,,,,,,,,,""
"AT_2023clx",59221.2852384736,59221.2852384736,"xrt",2.58e-13,2.58e-13,2.58e-13,2.096e-12,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2023clx",59417.7556528271,59417.7556528271,"xrt",7.315e-14,8.742e-14,8.742e-14,5.542e-13,0.836734693877551,2.02702985676083,,,,,,,,,,,,,,,,,,,,""
