"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2023cvb",60062.2570089124,60062.2570089124,"xrt",0,2.211e-14,2.211e-14,2.61e-13,0,0.33778828506639,,,,,,,,,,,,,,,,,,,,""
"AT_2023cvb",60072.4466895754,60072.4466895754,"xrt",3.093e-14,6.833e-14,6.833e-14,4.056e-13,0.452666666666667,1.44835488814334,,,,,,,,,,,,,,,,,,,,""
"AT_2023cvb",60082.4303032834,60082.4303032834,"xrt",0,2.062e-14,2.062e-14,2.628e-13,0,0.412216180934133,,,,,,,,,,,,,,,,,,,,""
"AT_2023cvb",60202.5961172764,60202.5961172764,"xrt",1.962e-13,1.048e-13,1.048e-13,6.598e-13,1.87224669603524,3.81837515800395,,,,,,,,,,,,,,,,,,,,""
"AT_2023cvb",60207.0950895461,60207.0950895461,"xrt",1.096e-13,1.055e-13,1.055e-13,6.296e-13,1.0391061452514,2.18624205735356,,,,,,,,,,,,,,,,,,,,""
"AT_2023cvb",60405.6752750152,60405.6752750152,"xrt",2.152e-12,1.959e-13,1.959e-13,2.753e-12,10.9821428571429,Inf,0.0633742566848544,0.00562143251482675,0.00569955777185571,3.01938515725883e-12,1.19061292450744e-12,1.32744812802945e-12,0.163809022670784,4.49142706801235,6.6886583587815,0.45044650730033,0.51222190706566,3.9718814484683e-12,1.77082970228123e-12,3.37014482708523e-12,0.847589499667039,6.54276849900112,3.01938515725883e-12,1.19061292450744e-12,1.32744812802945e-12,"BB"
"AT_2023cvb",60443.4643400873,60443.4643400873,"xrt",3.657e-12,7.529e-13,7.529e-13,6.295e-12,4.85714285714286,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2023cvb",60448.9169114582,60448.9169114582,"xrt",3.111e-12,6.847e-13,6.847e-13,5.504e-12,4.54356846473029,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2023cvb",60460.0419918834,60460.0419918834,"xrt",1.155e-12,5.055e-13,5.055e-13,3.333e-12,2.28455284552845,5.24054168307008,,,,,,,,,,,,,,,,,,,,""
"AT_2023cvb",60560.447676013,60560.447676013,"xrt",1.548e-12,2.225e-13,2.225e-13,2.271e-12,6.95712309820194,Inf,0.07,0,0,1.68840387212997e-12,3.40033082378606e-13,3.83054596230257e-13,0.225469041559099,2.2254690415591,,,,,,,,,1.68840387212997e-12,3.40033082378606e-13,3.83054596230257e-13,"BB"
