"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2023ugy",60239.0557077125,60239.0557077125,"xrt",0,0,0,3.489e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2023ugy",60243.0090573547,60243.0090573547,"xrt",5.373e-14,6.825e-14,6.825e-14,5.318e-13,0.787254901960784,2.38595550569017,,,,,,,,,,,,,,,,,,,,""
"AT_2023ugy",60247.4430741352,60247.4430741352,"xrt",0,0,0,6.22e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2023ugy",60250.4148029014,60250.4148029014,"xrt",0,0,0,6.933e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2023ugy",60251.4597729357,60251.4597729357,"xrt",0,0,0,4.424e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2023ugy",60255.1021649285,60255.1021649285,"xrt",9.928e-14,8.879e-14,8.879e-14,5.95e-13,1.11805555555556,2.67825120076303,,,,,,,,,,,,,,,,,,,,""
"AT_2023ugy",60272.6424219549,60272.6424219549,"xrt",0,0,0,2.006e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2023ugy",60284.0591869452,60284.0591869452,"xrt",2.677e-14,3.417e-14,3.417e-14,2.662e-13,0.783333333333333,2.37210278292341,,,,,,,,,,,,,,,,,,,,""
"AT_2023ugy",60286.0353495563,60286.0353495563,"xrt",0,0,0,1.897e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2023ugy",60293.8882819028,60293.8882819028,"xrt",0,2.313e-14,2.313e-14,6.943e-13,0,1.34443003547768,,,,,,,,,,,,,,,,,,,,""
"AT_2023ugy",60300.0908979727,60300.0908979727,"xrt",3.846e-14,3.846e-14,3.846e-14,3.125e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2023ugy",60307.2843298922,60307.2843298922,"xrt",5.925e-14,3.988e-14,3.988e-14,2.595e-13,1.48571428571429,3.36112695178256,,,,,,,,,,,,,,,,,,,,""
"AT_2023ugy",60314.0815573308,60314.0815573308,"xrt",5.579e-14,3.933e-14,3.933e-14,2.798e-13,1.41843971631206,Inf,,,,,,,,,,,,,,,,,,,,""
"AT_2023ugy",60321.3364021072,60321.3364021072,"xrt",0,0,0,2.2e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2023ugy",60501.8641574586,60501.8641574586,"xrt",0,2.229e-14,2.229e-14,4.675e-13,0,0.976111327335736,,,,,,,,,,,,,,,,,,,,""
