"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2023vto",60277.4663188007,60277.4663188007,"xrt",2.151e-14,5.701e-14,5.701e-14,4.126e-13,0.377358490566038,1.54684186516884,,,,,,,,,,,,,,,,,,,,""
"AT_2023vto",60281.1744304459,60281.1744304459,"xrt",1.488e-13,9.507e-14,9.507e-14,5.644e-13,1.56521739130435,2.94773154532457,,,,,,,,,,,,,,,,,,,,""
"AT_2023vto",60287.2398262401,60287.2398262401,"xrt",2.962e-14,7.851e-14,7.851e-14,5.682e-13,0.377358490566038,1.54684186516884,,,,,,,,,,,,,,,,,,,,""
"AT_2023vto",60289.348370672,60289.348370672,"xrt",2.898e-13,1.801e-13,1.801e-13,1.199e-12,1.60919540229885,4.03008697180867,,,,,,,,,,,,,,,,,,,,""
"AT_2023vto",60294.5642916262,60294.5642916262,"xrt",0,7.374e-14,7.374e-14,4.907e-13,0,0.959369302792826,,,,,,,,,,,,,,,,,,,,""
"AT_2023vto",60455.5807477213,60455.5807477213,"xrt",3.96e-14,5.148e-14,5.148e-14,2.911e-13,0.769230769230769,1.7576123694808,,,,,,,,,,,,,,,,,,,,""
"AT_2023vto",60459.4051769917,60459.4051769917,"xrt",6.855e-14,7.32e-14,7.32e-14,3.832e-13,0.936440677966102,1.85049940586097,,,,,,,,,,,,,,,,,,,,""
"AT_2023vto",60463.274305445,60463.274305445,"xrt",1.749e-14,5.543e-14,5.543e-14,2.876e-13,0.315508021390374,1.21761627361276,,,,,,,,,,,,,,,,,,,,""
"AT_2023vto",60560.8633120781,60560.8633120781,"xrt",2.094e-13,1.142e-13,1.142e-13,6.918e-13,1.83266932270916,3.42169759128136,,,,,,,,,,,,,,,,,,,,""
"AT_2023vto",60565.8394132922,60565.8394132922,"xrt",0,0,0,1.406e-11,0,0,,,,,,,,,,,,,,,,,,,,""
"AT_2023vto",60570.2369949419,60570.2369949419,"xrt",1.349e-13,1.156e-13,1.156e-13,6.137e-13,1.16731517509728,2.12593664287008,,,,,,,,,,,,,,,,,,,,""
"AT_2023vto",60575.0960407035,60575.0960407035,"xrt",1.226e-14,4.717e-14,4.717e-14,2.709e-13,0.259868421052632,1.23550797518849,,,,,,,,,,,,,,,,,,,,""
