"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2024doo",58829,59011,"erass",,,,,,,,,,,,,,,,,,,,,,,,,,""
"AT_2024doo",60467.456649892,60467.456649892,"xrt",3.793e-15,6.006e-14,6.006e-14,2.977e-13,0.0631578947368421,0.982395531496977,,,,,,,,,,,,,,,,,,,,""
"AT_2024doo",60484.3490246834,60484.3490246834,"xrt",5.325e-14,5.417e-14,5.417e-14,2.858e-13,0.983050847457627,1.9177860657793,,,,,,,,,,,,,,,,,,,,""
"AT_2024doo",60490.7364002598,60490.7364002598,"xrt",3.32e-14,5.882e-14,5.882e-14,4.405e-13,0.564423076923077,1.84476868637989,,,,,,,,,,,,,,,,,,,,""
"AT_2024doo",60496.2594604727,60496.2594604727,"xrt",0,1.856e-14,1.856e-14,1.612e-13,0,0.131159017346096,,,,,,,,,,,,,,,,,,,,""
"AT_2024doo",60509.5904569158,60509.5904569158,"xrt",0,1.243e-13,1.243e-13,4.635e-13,0,0.630702989847757,,,,,,,,,,,,,,,,,,,,""
"AT_2024doo",60516.1610016517,60516.1610016517,"xrt",0,4.544e-14,4.544e-14,4.141e-13,0,0.162051756828584,,,,,,,,,,,,,,,,,,,,""
"AT_2024doo",60518.9932109896,60518.9932109896,"xrt",2.93e-14,1.281e-13,1.281e-13,7.283e-13,0.22875816993464,1.20128722540183,,,,,,,,,,,,,,,,,,,,""
"AT_2024doo",60521.3518331206,60521.3518331206,"xrt",0,3.999e-14,3.999e-14,2.283e-13,0,0.379394317546194,,,,,,,,,,,,,,,,,,,,""
"AT_2024doo",60530.223793694,60530.223793694,"xrt",3.671e-14,8.655e-14,8.655e-14,4.294e-13,0.424186046511628,1.28132491012806,,,,,,,,,,,,,,,,,,,,""
"AT_2024doo",60558.0627518,60558.0627518,"xrt",0,3.676e-14,3.676e-14,1.882e-13,0,0.145000008105519,,,,,,,,,,,,,,,,,,,,""
"AT_2024doo",60564.0355132424,60564.0355132424,"xrt",0,5.01e-14,5.01e-14,2.232e-13,0,0.213584183623094,,,,,,,,,,,,,,,,,,,,""
