"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"AT_2024gxr",60461.278101,60461.278101,"xrt",0,1.928e-14,1.928e-14,5.702e-13,0,1.33685722108943,,,,,,,,,,,,,,,,,,,,""
"AT_2024gxr",60466.4875139456,60466.4875139456,"xrt",1.062e-13,8.437e-14,8.437e-14,5.8e-13,1.25874125874126,3.24733066090433,,,,,,,,,,,,,,,,,,,,""
"AT_2024gxr",60468.1916059723,60468.1916059723,"xrt",5.07e-14,4.538e-14,4.538e-14,2.742e-13,1.11731843575419,2.34817262343074,,,,,,,,,,,,,,,,,,,,""
"AT_2024gxr",60475.2857201702,60475.2857201702,"xrt",4e-14,5.238e-14,5.238e-14,2.96e-13,0.763736263736264,1.74953961067449,,,,,,,,,,,,,,,,,,,,""
"AT_2024gxr",60486.9298077026,60486.9298077026,"xrt",5.715e-14,8.458e-14,8.458e-14,5.22e-13,0.675675675675676,1.75000442978114,,,,,,,,,,,,,,,,,,,,""
"AT_2024gxr",60489.6189537162,60489.6189537162,"xrt",1.868e-13,1.269e-13,1.269e-13,7.393e-13,1.47186147186147,2.74558612329225,,,,,,,,,,,,,,,,,,,,""
"AT_2024gxr",60496.6023002584,60496.6023002584,"xrt",0,2.083e-14,2.083e-14,2.057e-13,0,0.208676083409271,,,,,,,,,,,,,,,,,,,,""
"AT_2024gxr",60506.4590367848,60506.4590367848,"xrt",0,2.821e-14,2.821e-14,4.172e-13,0,0.596754895430418,,,,,,,,,,,,,,,,,,,,""
"AT_2024gxr",60516.3888465943,60516.3888465943,"xrt",6.012e-14,4.776e-14,4.776e-14,3.284e-13,1.25874125874126,3.25137534864211,,,,,,,,,,,,,,,,,,,,""
"AT_2024gxr",60580.5133472665,60580.5133472665,"xrt",0,4.781e-14,4.781e-14,2.66e-13,0,0.293785570284023,,,,,,,,,,,,,,,,,,,,""
