"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"PTF09djl",56715.6771219338,56715.6771219338,"xrt",1.961e-13,1.327e-13,1.327e-13,8.588e-13,1.47727272727273,3.35858553290621,,,,,,,,,,,,,,,,,,,,""
"PTF09djl",56716.0140829882,56716.0140829882,"xrt",0,3.234e-14,3.234e-14,4.794e-13,0,0.598102595249322,,,,,,,,,,,,,,,,,,,,""
"PTF09djl",56719.199204469,56719.199204469,"xrt",0,6.983e-14,6.983e-14,2.065e-12,0,1.33685722108943,,,,,,,,,,,,,,,,,,,,""
"PTF09djl",56720.0030663878,56720.0030663878,"xrt",0,2.821e-14,2.821e-14,5.916e-13,0,0.976111327335736,,,,,,,,,,,,,,,,,,,,""
"PTF09djl",56722.3411615609,56722.3411615609,"xrt",0,0,0,1.226e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"PTF09djl",56725.6167368755,56725.6167368755,"xrt",5.722e-14,9.902e-14,9.902e-14,7.424e-13,0.577884615384615,1.87144079556007,,,,,,,,,,,,,,,,,,,,""
"PTF09djl",56727.3931238249,56727.3931238249,"xrt",0,1.711e-14,1.711e-14,1.686e-13,0,0.208676083409271,,,,,,,,,,,,,,,,,,,,""
"PTF09djl",58054.6522885968,58054.6522885968,"xrt",1.658e-16,4.4e-14,4.4e-14,2.167e-13,0.00376842105263158,0.933566203316675,,,,,,,,,,,,,,,,,,,,""
"PTF09djl",58489.54825134,58489.54825134,"chandra",0,,1.4008368078e-14,7.195327951e-14,,1.30740414300085,,,,,,,,,,,,,,,,,,,,""
"PTF09djl",60428.7215837093,60428.7215837093,"xrt",0,2.57e-14,2.57e-14,5.391e-13,0,0.976111327335736,,,,,,,,,,,,,,,,,,,,""
"PTF09djl",60589.6883768112,60589.6883768112,"xrt",0,6.034e-14,6.034e-14,3.246e-13,0,0.217922031798837,,,,,,,,,,,,,,,,,,,,""
"PTF09djl",60609.2142174362,60609.2142174362,"xrt",1.116e-13,1.367e-13,1.367e-13,8.642e-13,0.816326530612245,1.98637039504156,,,,,,,,,,,,,,,,,,,,""
