"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"PTF09ge",56723.0767520035,56723.0767520035,"xrt",4.131e-14,4.673e-14,4.673e-14,2.7e-13,0.883977900552486,1.92904520635276,,,,,,,,,,,,,,,,,,,,""
"PTF09ge",56727.1447912392,56727.1447912392,"xrt",2.032e-14,5.358e-14,5.358e-14,3.878e-13,0.379245283018868,1.54957628612779,,,,,,,,,,,,,,,,,,,,""
"PTF09ge",58024.847508244,58024.847508244,"chandra",1.505837672e-13,2.25169688e-14,2.46281444e-14,2.319742296e-13,6.6875683195866,Inf,,,,,,,,,,,,,,,,,,,,""
"PTF09ge",58059.232962379,58059.232962379,"xrt",0,2.479e-14,2.479e-14,1.462e-13,0,0.453375091196514,,,,,,,,,,,,,,,,,,,,""
"PTF09ge",58547.1621464366,58547.1621464366,"xrt",2.077e-14,5.504e-14,5.504e-14,3.983e-13,0.377358490566038,1.54684186516884,,,,,,,,,,,,,,,,,,,,""
"PTF09ge",58912.6919878961,58912.6919878961,"xrt",4.081e-15,2.215e-14,2.215e-14,1.551e-13,0.184259259259259,1.30595643634414,,,,,,,,,,,,,,,,,,,,""
"PTF09ge",58914.5704952445,58914.5704952445,"xrt",0,1.99e-14,1.99e-14,4.173e-13,0,0.976111327335736,,,,,,,,,,,,,,,,,,,,""
"PTF09ge",58916.0128928292,58916.0128928292,"xrt",0,2.805e-14,2.805e-14,4.782e-13,0,0.752522504971208,,,,,,,,,,,,,,,,,,,,""
"PTF09ge",59277.7765345385,59277.7765345385,"xrt",0,0,0,1.191e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"PTF09ge",59699.9985323986,59699.9985323986,"xrt",0,4.302e-14,4.302e-14,1.266e-12,0,1.33435491442083,,,,,,,,,,,,,,,,,,,,""
"PTF09ge",59836.1908887447,59836.1908887447,"xrt",0,0,0,4.947e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"PTF09ge",59876.0935044679,59876.0935044679,"xrt",4.932e-14,8.534e-14,8.534e-14,6.398e-13,0.577884615384615,1.87144079556007,,,,,,,,,,,,,,,,,,,,""
"PTF09ge",59877.1519975188,59877.1519975188,"xrt",0,1.49e-14,1.49e-14,1.798e-13,0,0.386933029438217,,,,,,,,,,,,,,,,,,,,""
"PTF09ge",60594.7260179624,60594.7260179624,"xrt",0,5.732e-14,5.732e-14,3.035e-13,0,0.788693353819686,,,,,,,,,,,,,,,,,,,,""
