"TDE_name","mjd_start","mjd_stop","inst","src_flux","src_flux_errinf","src_flux_errsup","src_flux_UL","src_flux_SNR","src_sign","temp_bb","temp_bb_errinf","temp_bb_errsup","flux_fit_bb","flux_fit_bb_errinf","flux_fit_bb_errsup","chi2_bb","AIC_bb","gamma_pl","gamma_pl_errinf","gamma_pl_errsup","flux_fit_pl","flux_fit_pl_errinf","flux_fit_pl_errsup","chi2_pl","AIC_pl","flux_fit","flux_fit_errinf","flux_fit_errsup","best_model"
"iPTF16axa",57546.1897625074,57546.1897625074,"xrt",0,0,0,4.062e-13,0,0,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",57551.2303026475,57551.2303026475,"xrt",3.934e-14,5.115e-14,5.115e-14,2.893e-13,0.769230769230769,1.7576123694808,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",57556.8210276461,57556.8210276461,"xrt",8.63e-14,5.897e-14,5.897e-14,3.583e-13,1.46341463414634,2.90608271973412,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",57561.391710078,57561.391710078,"xrt",0,0,0,1.803e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",57571.6311432432,57571.6311432432,"xrt",6.023e-15,3.253e-14,3.253e-14,2.278e-13,0.185185185185185,1.30701427148595,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",57576.4833783361,57576.4833783361,"xrt",0,3.211e-14,3.211e-14,2.181e-13,0,1.11642298895581,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",57585.9340759135,57585.9340759135,"xrt",0,2.391e-14,2.391e-14,4.098e-13,0,0.755265587416411,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",57587.5857083466,57587.5857083466,"xrt",0,1.1e-14,1.1e-14,1.084e-13,0,0.208676083409271,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",57592.5813369337,57592.5813369337,"xrt",0,2.51e-14,2.51e-14,5.245e-13,0,0.974758728041154,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",57594.422304925,57594.422304925,"xrt",0,1.834e-14,1.834e-14,1.043e-13,0,0.34164891836405,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",57599.0927563144,57599.0927563144,"xrt",0,2.519e-14,2.519e-14,1.709e-13,0,1.10786562989429,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",57607.9981508433,57607.9981508433,"xrt",0,1.93e-14,1.93e-14,9.57e-14,0,0.0963116286641238,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",57613.2359766866,57613.2359766866,"xrt",0,1.468e-14,1.468e-14,9.018e-14,0,0.617108575129437,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",57620.5386525581,57620.5386525581,"xrt",1.367e-14,3.195e-14,3.195e-14,1.691e-13,0.427956989247312,1.33876380217529,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",58452.022809287,58452.022809287,"chandra",0,,2.856061857e-14,1.4682422238e-13,,0.92624188510285,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",59582.2298146966,59582.2298146966,"xrt",3.063e-14,3.063e-14,3.063e-14,2.489e-13,1,Inf,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",60599.3240337725,60599.3240337725,"xrt",0,4.43e-14,4.43e-14,6.534e-13,0,0.596082461201819,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",60607.9082354993,60607.9082354993,"xrt",1.668e-13,1.23e-13,1.23e-13,7.778e-13,1.35593220338983,2.9365631641586,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",60614.3294739674,60614.3294739674,"xrt",0,0,0,5.725e-12,0,0,,,,,,,,,,,,,,,,,,,,""
"iPTF16axa",60624.0875806394,60624.0875806394,"xrt",0,5.706e-14,5.706e-14,2.715e-13,0,0.765745376804823,,,,,,,,,,,,,,,,,,,,""
