WAVE,FLUX,ERR,SKYBACK
9382.371,4.861905E-17,2.6388945E-18,3.206263E-17
9389.317,4.778376E-17,2.4357522E-18,2.8910237E-17
9396.265,6.158372E-17,2.3465487E-18,3.0001262E-17
9403.212,4.5867833E-17,2.200716E-18,3.0708955E-17
9410.159,6.6816354E-17,2.488277E-18,3.0407295E-17
9417.106,4.161209E-17,2.2600158E-18,3.201932E-17
9424.054,3.5316655E-17,2.2594407E-18,3.2403963E-17
9431.001,5.0236614E-17,2.6736458E-18,3.597022E-17
9437.948,5.87261E-17,2.6135752E-18,3.4504092E-17
9444.8955,6.222987E-17,2.4384962E-18,3.1963215E-17
9451.843,5.371409E-17,2.6717638E-18,3.410586E-17
9458.79,7.652648E-17,3.3694369E-18,3.3105604E-17
9465.737,6.3281765E-17,2.563546E-18,3.2453588E-17
9472.685,4.912802E-17,2.4089034E-18,3.1170286E-17
9479.631,6.033329E-17,2.5588683E-18,3.013682E-17
9486.578,4.172745E-17,2.3210506E-18,3.184246E-17
9493.525,6.595223E-17,2.791924E-18,3.0355543E-17
9500.473,3.518357E-17,2.6582247E-18,2.8270598E-17
9507.42,6.774594E-17,2.9472288E-18,2.9680256E-17
9514.367,4.983638E-17,2.6968307E-18,2.7634498E-17
9521.314,4.5409486E-17,2.8440697E-18,2.891174E-17
9528.262,2.987767E-17,2.0700687E-18,2.7682494E-17
9535.209,4.813885E-17,2.3305102E-18,2.8553785E-17
9542.156,4.7708416E-17,2.5706248E-18,3.004824E-17
9549.104,3.034133E-17,3.202101E-18,2.7966917E-17
9556.051,6.4872215E-17,2.4546285E-18,2.9994075E-17
9562.998,6.9733165E-17,2.7678257E-18,2.6658883E-17
9569.945,6.507217E-17,2.7044714E-18,2.5547169E-17
9576.892,7.2790054E-17,2.419026E-18,2.5924749E-17
9583.839,5.822338E-17,2.2361771E-18,2.797219E-17
9590.786,4.113375E-17,2.0786178E-18,2.6203889E-17
9597.733,4.54926E-17,2.4033406E-18,2.2997643E-17
9604.681,6.021649E-17,2.2890716E-18,2.3955706E-17
9611.628,5.885347E-17,2.1105385E-18,2.3814857E-17
9618.575,4.6225735E-17,1.9501885E-18,2.3215037E-17
9625.522,3.4246257E-17,2.1740017E-18,2.3818232E-17
9632.47,5.2089227E-17,2.1304798E-18,2.3162556E-17
9639.417,6.087349E-17,2.2240542E-18,2.385061E-17
9646.364,5.018143E-17,2.0315196E-18,2.3201792E-17
9653.312,5.1101448E-17,1.9441242E-18,2.1181702E-17
9660.259,4.6071085E-17,2.1266627E-18,2.1792654E-17
9667.205,4.9353953E-17,1.815047E-18,2.1442646E-17
9674.152,5.2240817E-17,1.826577E-18,2.2032604E-17
9681.1,5.559345E-17,1.835485E-18,2.1198176E-17
9688.047,5.1783677E-17,1.7698526E-18,2.1032453E-17
9694.994,4.792402E-17,2.172031E-18,2.1933859E-17
9701.941,4.2718042E-17,1.7007827E-18,2.3091782E-17
9708.889,5.980433E-17,2.8430934E-18,2.1399477E-17
9715.836,6.282097E-17,2.469548E-18,2.2240877E-17
9722.783,6.117726E-17,2.0544511E-18,2.1489264E-17
9729.73,5.3527506E-17,1.8237622E-18,2.042686E-17
9736.678,4.4095288E-17,1.7236419E-18,2.0970337E-17
9743.625,4.4541664E-17,1.715369E-18,1.9460714E-17
9750.572,5.763151E-17,1.7982247E-18,1.9009605E-17
9757.519,6.485014E-17,1.880298E-18,1.7958409E-17
9764.466,4.7205004E-17,1.7091887E-18,2.0411295E-17
9771.413,5.1274094E-17,1.7250776E-18,2.0608356E-17
9778.36,5.4814285E-17,1.911514E-18,2.3308368E-17
9785.308,5.67726E-17,1.9093223E-18,2.1355527E-17
9792.255,5.5325684E-17,1.6861879E-18,2.3086879E-17
9799.202,5.6244794E-17,1.9157387E-18,2.0185156E-17
9806.149,4.528938E-17,1.6179683E-18,1.8995301E-17
9813.097,4.729886E-17,1.6168137E-18,1.81652E-17
9820.044,6.125134E-17,1.9267144E-18,1.7519022E-17
9826.991,4.7008274E-17,1.8470693E-18,1.853566E-17
9833.938,5.819633E-17,1.7225826E-18,1.8234455E-17
9840.886,4.9395898E-17,2.154079E-18,1.836362E-17
9847.833,5.5763514E-17,2.1018705E-18,1.875254E-17
9854.779,5.4654966E-17,1.6664644E-18,2.0196445E-17
9861.727,4.7151528E-17,1.5782465E-18,1.8953601E-17
9868.674,4.0007374E-17,1.5058003E-18,1.857119E-17
9875.621,4.9319033E-17,1.5864386E-18,1.9227348E-17
9882.568,4.164315E-17,1.7511583E-18,1.8026602E-17
9889.516,4.7732E-17,1.8724892E-18,1.8233627E-17
9896.463,5.3696833E-17,1.7063639E-18,1.819176E-17
9903.41,5.1131227E-17,1.7054959E-18,1.9045706E-17
9910.357,4.515292E-17,1.9193268E-18,1.9197044E-17
9917.305,4.1914774E-17,1.6035419E-18,1.8680817E-17
9924.252,5.055089E-17,1.6845564E-18,2.0471895E-17
9931.199,4.9695195E-17,1.6894785E-18,2.2776488E-17
9938.146,3.9029247E-17,1.5845618E-18,2.3887292E-17
9945.093,4.7389462E-17,1.6380972E-18,2.1876232E-17
9952.04,3.967047E-17,1.816466E-18,2.3210258E-17
9958.987,4.3018957E-17,1.9647442E-18,2.0205437E-17
9965.935,5.312259E-17,1.9908095E-18,1.7634154E-17
9972.882,5.3876953E-17,1.9479828E-18,1.695288E-17
9979.829,3.6141258E-17,1.8283568E-18,1.5873206E-17
9986.776,4.5367333E-17,1.6332682E-18,1.7161255E-17
9993.724,5.5398006E-17,1.7160376E-18,1.9165366E-17
10000.671,5.357438E-17,1.8403282E-18,2.266621E-17
10007.618,3.4309847E-17,2.3341465E-18,2.0631494E-17
10014.565,4.3267843E-17,1.6017327E-18,1.9642097E-17
10021.513,4.921736E-17,1.5500241E-18,1.842895E-17
10028.46,4.8937537E-17,1.5674149E-18,1.764269E-17
10035.407,4.4041826E-17,1.5249071E-18,1.7241594E-17
10042.354,5.6425126E-17,1.8966761E-18,1.7676178E-17
10049.301,5.2078663E-17,2.0911554E-18,1.7689456E-17
10056.248,4.247513E-17,1.4686334E-18,1.7148971E-17
10063.195,4.5678475E-17,1.7861309E-18,1.8052909E-17
10070.143,5.469771E-17,1.5561348E-18,1.8585403E-17
10077.09,6.316038E-17,2.004117E-18,1.8939738E-17
10084.037,5.2231092E-17,1.7348707E-18,1.6523186E-17
10090.984,4.905736E-17,1.5122646E-18,1.6115905E-17
10097.932,4.872452E-17,1.5135454E-18,1.5592092E-17
10104.879,4.4263252E-17,1.8875902E-18,1.7516107E-17
10111.826,5.4614236E-17,1.7239793E-18,1.8332822E-17
10118.773,5.5907324E-17,1.8733761E-18,1.936448E-17
10125.721,6.1724416E-17,1.7901165E-18,1.715001E-17
10132.667,5.75343E-17,1.5816071E-18,1.6286928E-17
10139.614,4.116108E-17,1.6816768E-18,1.739429E-17
10146.562,4.0261326E-17,1.5507456E-18,1.7720568E-17
10153.509,5.4433715E-17,1.5398585E-18,1.9959162E-17
10160.456,5.621858E-17,1.5539446E-18,1.9620385E-17
10167.403,6.078414E-17,1.5678388E-18,2.1582846E-17
10174.351,6.078903E-17,2.058157E-18,2.2187164E-17
10181.298,5.971597E-17,1.7679979E-18,1.9851572E-17
10188.245,4.9883564E-17,1.567241E-18,1.8748634E-17
10195.192,5.247286E-17,1.5060141E-18,2.0575698E-17
10202.14,3.6718448E-17,1.7440834E-18,1.959407E-17
10209.087,5.214204E-17,1.5870649E-18,1.9816897E-17
10216.034,4.257819E-17,1.7189029E-18,1.679369E-17
10222.981,4.8459685E-17,1.5267716E-18,1.6367783E-17
10229.928,4.2083307E-17,1.6265124E-18,1.4691384E-17
10236.875,4.8099434E-17,1.4439353E-18,1.4122876E-17
10243.822,5.1311466E-17,1.6106661E-18,1.4024399E-17
10250.77,5.3624313E-17,1.6406259E-18,1.37969714E-17
10257.717,5.439977E-17,1.5269355E-18,1.6039954E-17
10264.664,4.817876E-17,1.4572667E-18,2.1693417E-17
10271.611,5.2595594E-17,1.5051379E-18,2.7242032E-17
10278.559,5.0893865E-17,1.6849264E-18,2.7746708E-17
10285.506,5.4134802E-17,1.5219521E-18,2.633112E-17
10292.453,4.9977372E-17,1.4594343E-18,2.2094208E-17
10299.4,6.0383424E-17,1.7261796E-18,1.8026563E-17
10306.348,5.5246328E-17,1.505051E-18,1.4850526E-17
10313.295,4.9500718E-17,1.5714788E-18,1.4174018E-17
10320.241,4.5818603E-17,1.5235778E-18,1.385728E-17
10327.188,4.8234893E-17,1.879223E-18,1.4046288E-17
10334.136,5.759103E-17,1.8593279E-18,1.6327692E-17
10341.083,5.123015E-17,1.5309203E-18,1.5560917E-17
10348.03,4.2042576E-17,1.64994E-18,1.719362E-17
10354.978,4.9877092E-17,1.5479253E-18,1.9554371E-17
10361.925,4.8395092E-17,1.5301267E-18,2.1240716E-17
10368.872,4.635373E-17,1.4969453E-18,2.0992213E-17
10375.819,4.145861E-17,1.4415551E-18,1.797976E-17
10382.767,5.4575388E-17,1.5597896E-18,1.6938713E-17
10389.714,5.0650198E-17,1.5288191E-18,1.7524782E-17
10396.661,2.6503499E-17,1.8784248E-18,1.9032971E-17
10403.608,5.1035353E-17,1.6979408E-18,2.132316E-17
10410.556,4.1081164E-17,1.7632728E-18,2.0816854E-17
10417.502,4.947716E-17,1.7437342E-18,1.7331856E-17
10424.449,5.2163297E-17,1.5553772E-18,1.7642765E-17
10431.396,5.2372127E-17,1.557169E-18,1.452801E-17
10438.344,5.2427134E-17,1.561479E-18,1.5138529E-17
10445.291,5.4056008E-17,1.5889746E-18,1.7167632E-17
10452.238,5.635443E-17,1.480289E-18,1.7415166E-17
10459.186,5.3120967E-17,1.4554173E-18,1.7959952E-17
10466.133,4.3462548E-17,1.6332544E-18,1.6040473E-17
10473.08,5.758421E-17,1.6776985E-18,1.5079544E-17
10480.027,5.6100574E-17,1.6048268E-18,1.23974315E-17
10486.975,4.603945E-17,1.3718235E-18,1.3060052E-17
10493.922,5.3738073E-17,1.5903316E-18,1.3942877E-17
10500.869,5.122424E-17,1.4206434E-18,1.3888837E-17
10507.815,5.7201604E-17,1.4736932E-18,1.4905283E-17
10514.763,5.720484E-17,1.4804741E-18,1.5222772E-17
10521.71,4.8658602E-17,1.3870772E-18,1.29889855E-17
10528.657,5.22377E-17,1.4229843E-18,1.2056012E-17
10535.6045,4.8904337E-17,1.5532899E-18,1.1332766E-17
10542.552,5.0369522E-17,1.4159075E-18,1.1275728E-17
10549.499,4.9201183E-17,1.3993287E-18,1.231905E-17
10556.446,5.717028E-17,1.6694997E-18,1.1958353E-17
10563.394,5.3367986E-17,1.5826481E-18,1.2799646E-17
10570.341,4.9373584E-17,1.6310974E-18,1.21756304E-17
10577.288,5.3532244E-17,1.4534759E-18,1.2398355E-17
10584.235,5.87368E-17,1.494788E-18,1.2527595E-17
10591.183,4.9565344E-17,1.4050582E-18,1.1245292E-17
10598.13,4.860131E-17,1.3755277E-18,1.0789099E-17
10605.076,5.4089238E-17,1.5029661E-18,1.1263879E-17
10612.023,4.819233E-17,1.3979182E-18,1.1696363E-17
10618.971,5.234671E-17,1.50559E-18,1.1700618E-17
10625.918,4.658387E-17,1.3559896E-18,1.0987555E-17
10632.865,4.83012E-17,1.3824832E-18,1.2059625E-17
10639.8125,5.26465E-17,1.4270605E-18,1.2947735E-17
10646.76,5.615064E-17,1.463746E-18,1.0668187E-17
10653.707,5.592482E-17,1.4516622E-18,1.0775272E-17
10660.654,4.4964013E-17,1.3338191E-18,1.1416685E-17
10667.602,5.2055727E-17,1.4146879E-18,1.0452275E-17
10674.549,5.3797458E-17,1.4391242E-18,1.20022195E-17
10681.496,5.770222E-17,1.6976594E-18,1.5196929E-17
10688.443,5.6031944E-17,1.7121582E-18,1.4909391E-17
10695.39,4.5245178E-17,1.3362311E-18,1.5303225E-17
10702.337,4.2684607E-17,1.4677789E-18,1.6866206E-17
10709.284,5.4875456E-17,1.4110287E-18,1.895326E-17
10716.231,5.622618E-17,1.3871043E-18,1.9237051E-17
10723.179,4.8375742E-17,1.3770301E-18,1.8449819E-17
10730.126,5.191742E-17,1.3833978E-18,1.9922776E-17
10737.073,5.1612378E-17,1.389075E-18,1.8423107E-17
10744.0205,4.8546767E-17,1.4620803E-18,1.858189E-17
10750.968,5.1277052E-17,1.4469298E-18,1.7114309E-17
10757.915,4.78248E-17,1.4081065E-18,1.330586E-17
10764.862,5.615294E-17,1.5086602E-18,1.2642887E-17
10771.81,4.8634614E-17,1.4278454E-18,1.133343E-17
10778.757,5.7934843E-17,1.5145218E-18,1.1219679E-17
10785.704,5.019197E-17,1.6173142E-18,1.08301E-17
10792.65,4.568397E-17,1.3963141E-18,1.1164981E-17
10799.598,5.291557E-17,1.4841024E-18,1.1165165E-17
10806.545,5.770059E-17,1.5156517E-18,1.5418294E-17
10813.492,4.2161108E-17,1.5992067E-18,2.2272E-17
10820.439,4.882995E-17,1.4135677E-18,2.8688596E-17
10827.387,5.044068E-17,1.6815454E-18,2.8524404E-17
10834.334,4.2964135E-17,1.5636339E-18,2.3038032E-17
10841.281,4.3347315E-17,1.3560439E-18,1.8549171E-17
10848.229,4.7738473E-17,1.425076E-18,1.4199837E-17
10855.176,4.8015674E-17,1.4384832E-18,1.1559931E-17
10862.123,5.454561E-17,1.6152736E-18,1.0186E-17
10869.07,4.52942E-17,1.3742133E-18,1.1305389E-17
10876.018,5.1013502E-17,1.442275E-18,1.1886519E-17
10882.964,5.1383014E-17,1.3312218E-18,1.2839574E-17
10889.911,4.1187328E-17,1.2417218E-18,1.3390985E-17
10896.858,5.0401756E-17,1.4707627E-18,1.3217703E-17
10903.806,5.2683385E-17,1.3445383E-18,1.696273E-17
10910.753,4.741792E-17,1.5415689E-18,2.0450421E-17
10917.7,5.1128315E-17,1.4593187E-18,2.1341721E-17
10924.647,5.3249775E-17,1.3936527E-18,1.8959388E-17
10931.595,5.261879E-17,1.3561902E-18,1.64095E-17
10938.542,4.9574026E-17,1.4557867E-18,1.4612172E-17
10945.489,5.141714E-17,1.3151305E-18,1.6711282E-17
10952.437,4.3663526E-17,1.2616085E-18,1.8006506E-17
10959.384,5.275586E-17,1.3459344E-18,1.9942775E-17
10966.331,5.0473128E-17,1.4328569E-18,2.0857874E-17
10973.277,3.8893794E-17,1.7948874E-18,1.750868E-17
10980.225,4.5884582E-17,1.3075162E-18,1.3971717E-17
10987.172,4.391834E-17,1.5079248E-18,1.30494285E-17
10994.119,5.0926327E-17,1.3419249E-18,1.36262E-17
11001.066,4.9500708E-17,1.4993288E-18,1.5759081E-17
11008.014,5.646747E-17,1.3994509E-18,1.6830846E-17
11014.961,5.7710155E-17,1.4086775E-18,1.7166072E-17
11021.908,4.3999633E-17,1.4108944E-18,1.7813928E-17
11028.855,4.8112123E-17,1.4741308E-18,1.5216623E-17
11035.803,5.3043744E-17,1.528259E-18,1.1614581E-17
11042.75,5.015264E-17,1.3671556E-18,9.869007E-18
11049.697,5.058999E-17,1.3558826E-18,1.1229682E-17
11056.645,5.255919E-17,1.3574477E-18,1.1264713E-17
11063.592,4.7149305E-17,1.4855088E-18,1.4103828E-17
11070.538,5.534107E-17,1.5071745E-18,1.4849447E-17
11077.485,5.5402863E-17,1.5012361E-18,1.3859975E-17
11084.433,5.311346E-17,1.4828112E-18,1.3571764E-17
11091.38,5.3331818E-17,1.4188733E-18,1.1946436E-17
11098.327,4.4481955E-17,1.3543714E-18,1.0224474E-17
11105.274,5.3864873E-17,1.5423629E-18,9.953035E-18
11112.222,4.035299E-17,1.5889658E-18,1.0390949E-17
11119.169,5.4978083E-17,1.5341891E-18,1.1737726E-17
11126.116,4.870939E-17,1.4681994E-18,1.2663735E-17
11133.063,5.5834546E-17,1.5847074E-18,1.2984142E-17
11140.011,5.665477E-17,1.670072E-18,1.412286E-17
