WAVE,FLUX,ERR,SKYBACK
3642.9656,7.1636594E-17,7.307586E-18,2.367922E-16
3648.4846,5.753577E-17,7.015784E-18,2.2197422E-16
3654.004,6.585779E-17,6.966739E-18,2.190365E-16
3659.523,7.612086E-17,6.8818267E-18,2.0638068E-16
3665.0422,6.891999E-17,6.569614E-18,1.7979896E-16
3670.5613,7.368748E-17,6.4329055E-18,1.6287458E-16
3676.0803,9.3071596E-17,6.4294114E-18,1.5187395E-16
3681.5996,7.546782E-17,6.1539582E-18,1.4289741E-16
3687.1187,8.936799E-17,6.2762395E-18,1.5839319E-16
3692.638,7.246863E-17,6.2492585E-18,1.8960494E-16
3698.157,7.1304636E-17,6.265984E-18,2.0885624E-16
3703.676,8.6503716E-17,6.3024707E-18,2.0913867E-16
3709.1953,9.095147E-17,6.129541E-18,1.8450917E-16
3714.7144,7.895192E-17,5.9525753E-18,1.807352E-16
3720.2336,1.097245E-16,5.9995215E-18,1.6480156E-16
3725.7527,8.53342E-17,5.9489382E-18,1.9955462E-16
3731.272,8.1493834E-17,5.9879315E-18,2.2407764E-16
3736.791,8.0131706E-17,5.994363E-18,2.3963414E-16
3742.31,7.934283E-17,5.900898E-18,2.3599963E-16
3747.8293,5.864324E-17,5.591068E-18,2.1495867E-16
3753.3484,7.280743E-17,5.4722977E-18,1.866583E-16
3758.8677,6.8252684E-17,5.3331428E-18,1.7764181E-16
3764.3867,7.765167E-17,5.280579E-18,1.6517766E-16
3769.9058,8.115915E-17,5.267122E-18,1.6678294E-16
3775.425,9.946732E-17,5.31078E-18,1.6109927E-16
3780.944,8.201174E-17,5.206834E-18,1.7396901E-16
3786.4634,8.086318E-17,5.080719E-18,1.6081799E-16
3791.9824,7.721274E-17,5.0032234E-18,1.5975082E-16
3797.5017,8.6731336E-17,5.006888E-18,1.5568153E-16
3803.0208,8.607015E-17,4.9387203E-18,1.5209613E-16
3808.5398,8.263508E-17,4.911257E-18,1.6065798E-16
3814.059,8.46619E-17,4.911809E-18,1.650095E-16
3819.5781,1.0145102E-16,4.997826E-18,1.671419E-16
3825.0974,8.663274E-17,4.9857335E-18,1.9186817E-16
3830.6165,8.1588616E-17,5.0739672E-18,2.2407055E-16
