WAVE,FLUX,ERR,BGFLUX
5985.744,4.657754E-16,7.368476E-18,2.5635055E-16
5989.9585,4.492298E-16,6.906939E-18,2.4265535E-16
5994.173,4.543756E-16,6.974168E-18,2.3878714E-16
5998.387,4.613376E-16,6.9699305E-18,2.3235376E-16
6002.601,4.5331726E-16,6.910696E-18,2.276081E-16
6006.8154,4.6292484E-16,6.928976E-18,2.231777E-16
6011.03,4.5287596E-16,6.868507E-18,2.2118304E-16
6015.244,4.576122E-16,6.9196508E-18,2.2965956E-16
6019.4585,4.5494775E-16,6.867832E-18,2.2015183E-16
6023.6724,4.4656027E-16,6.8367367E-18,2.2440272E-16
6027.8867,4.441635E-16,6.800506E-18,2.1909169E-16
6032.101,4.4470167E-16,6.7955017E-18,2.1837112E-16
6036.3154,4.581137E-16,6.8089136E-18,2.0617342E-16
6040.53,4.5747773E-16,6.816047E-18,2.1104796E-16
6044.7437,4.4600774E-16,6.7773397E-18,2.1689482E-16
6048.958,4.381526E-16,6.7378952E-18,2.1797894E-16
6053.1724,4.4014712E-16,6.7142197E-18,2.0975899E-16
6057.3867,4.2869544E-16,6.6601874E-18,2.1110839E-16
6061.601,4.465971E-16,6.730394E-18,2.1022235E-16
6065.8154,4.485711E-16,6.7331795E-18,2.1020762E-16
6070.0293,4.511991E-16,6.6948198E-18,1.9616911E-16
6074.2437,4.578474E-16,6.7212536E-18,1.9710623E-16
6078.458,4.6290107E-16,6.7398337E-18,1.9721092E-16
6082.6724,4.5672736E-16,6.712642E-18,1.9908399E-16
6086.8867,4.5921245E-16,6.702146E-18,1.9450449E-16
6091.1006,4.4594644E-16,6.6805708E-18,2.049873E-16
6095.315,4.5203205E-16,6.725152E-18,2.1160061E-16
6099.5293,4.604242E-16,6.7326484E-18,2.046271E-16
6103.7437,4.6011073E-16,6.722068E-18,2.0390383E-16
6107.958,4.704738E-16,6.7255065E-18,1.926648E-16
6112.172,4.594187E-16,6.686425E-18,1.967927E-16
6116.386,4.650429E-16,6.704841E-18,1.9625523E-16
6120.6006,4.454573E-16,6.613115E-18,1.9696258E-16
6124.815,4.577961E-16,6.624884E-18,1.8533126E-16
6129.0293,4.4117685E-16,6.6118006E-18,2.0559773E-16
6133.243,4.3857143E-16,6.591831E-18,2.0368469E-16
6137.4575,4.459647E-16,6.6347508E-18,2.0808806E-16
6141.672,4.3592985E-16,6.5609075E-18,2.0096546E-16
6145.886,4.5177545E-16,6.6101306E-18,1.95737E-16
6150.1006,4.525479E-16,6.5822132E-18,1.8769304E-16
6154.315,4.5805996E-16,6.5989318E-18,1.8651156E-16
6158.529,4.4192975E-16,6.5642138E-18,1.9907815E-16
6162.743,4.1928623E-16,6.4763804E-18,2.0610454E-16
6166.9575,4.059507E-16,6.4120076E-18,2.0568207E-16
6171.172,3.8255804E-16,6.2878155E-18,2.030149E-16
6175.386,3.9656423E-16,6.293753E-18,1.8702715E-16
6179.6,4.1947774E-16,6.438183E-18,1.9986126E-16
6183.8145,4.3005763E-16,6.4556583E-18,1.9149591E-16
6188.029,4.3640466E-16,6.503576E-18,1.9807644E-16
6192.243,4.308396E-16,6.5015528E-18,2.0559902E-16
6196.4575,4.346884E-16,6.5107634E-18,2.0573878E-16
6200.6714,4.4152662E-16,6.5026306E-18,1.9526234E-16
6204.8857,4.535474E-16,6.5484684E-18,1.939446E-16
