wavelength flux
3065.3696 6.42205e-17
3067.3159 -2.8667e-17
3069.2627 5.5488e-17
3071.2104 3.64317e-17
3073.1584 5.22102e-17
3075.1072 -4.35266e-17
3077.0566 1.26512e-17
3079.0066 1.01089e-16
3080.957 8.94991e-17
3082.9082 2.32173e-17
3084.8599 1.37672e-16
3086.812 6.56607e-17
3088.7649 3.3360100000000003e-18
3090.7185 5.35519e-17
3092.6726 8.32761e-17
3094.6272 4.35896e-17
3096.5825 2.47194e-17
3098.5383 2.89537e-17
3100.4949 6.60065e-17
3102.4519 3.242e-17
3104.4094 7.09809e-17
3106.3679 4.10942e-17
3108.3267 5.12902e-17
3110.2859 5.65338e-17
3112.2458 6.17461e-17
3114.2065 4.93183e-17
3116.1675 5.92417e-17
3118.1294 3.38226e-17
3120.0916 7.67734e-17
3122.0544 6.43507e-17
3124.0181 4.88673e-17
3125.9819 3.27886e-17
3127.9468 4.02752e-17
3129.9119 5.15437e-17
3131.8777 6.42268e-17
3133.844 7.75136e-17
3135.8108 4.19214e-17
3137.7783 3.87544e-17
3139.7466 5.85722e-17
3141.7151 6.64645e-17
3143.6843 4.89823e-17
3145.6543 1.40566e-17
3147.6245 3.38171e-17
3149.5955 5.06961e-17
3151.5669 8.60897e-17
3153.5391 5.25305e-17
3155.5117 7.07594e-17
3157.4851 5.68311e-17
3159.4587 5.13983e-17
3161.4331 6.44378e-17
3163.408 4.10816e-17
3165.3835 6.72804e-17
3167.3596 7.48524e-17
3169.3362 6.11862e-17
3171.3132 5.98881e-17
3173.291 6.49679e-17
3175.2693 6.12759e-17
3177.2483 5.82579e-17
3179.2275 6.22342e-17
3181.2075 6.49792e-17
3183.188 4.60556e-17
3185.1692 4.85244e-17
3187.1509 7.51165e-17
3189.1331 5.96975e-17
3191.1157 5.96195e-17
3193.0991 5.59321e-17
3195.083 5.57562e-17
3197.0674 4.37086e-17
3199.0522 6.13775e-17
3201.0378 5.91835e-17
3203.0239 5.1524e-17
3205.0105 7.26814e-17
3206.9978 6.40933e-17
3208.9854 6.43917e-17
3210.9736 7.92011e-17
3212.9624 8.20963e-17
3214.9519 4.11757e-17
3216.9417 6.43417e-17
3218.9321 6.28728e-17
3220.9231 4.83498e-17
3222.9146 6.29247e-17
3224.9067 7.56134e-17
3226.8994 6.28015e-17
3228.8926 6.75666e-17
3230.886 6.48168e-17
3232.8804 8.00199e-17
3234.875 8.26399e-17
3236.8704 4.92561e-17
3238.8662 7.44676e-17
3240.8625 6.2946e-17
3242.8596 6.47457e-17
3244.8569 5.89794e-17
3246.855 4.85772e-17
3248.8535 6.14824e-17
3250.8525 4.78637e-17
3252.8521 5.92642e-17
3254.8523 6.3926e-17
3256.8528 6.4031e-17
3258.854 4.71895e-17
3260.8557 5.84886e-17
3262.8579 6.48073e-17
3264.8606 6.03647e-17
3266.864 6.63681e-17
3268.8677 5.43209e-17
3270.8721 5.55311e-17
3272.877 6.12353e-17
3274.8821 5.65832e-17
3276.8882 5.35983e-17
3278.8945 4.95547e-17
3280.9016 4.5436e-17
3282.9089 5.60328e-17
3284.917 4.64397e-17
3286.9253 5.2991e-17
3288.9343 5.26122e-17
3290.9438 6.27838e-17
3292.9539 6.54573e-17
3294.9646 6.93916e-17
3296.9756 5.94512e-17
3298.9871 6.86517e-17
3300.9993 5.85857e-17
3303.0117 5.93339e-17
3305.0249 4.69052e-17
3307.0386 6.26947e-17
3309.0527 5.82164e-17
3311.0674 4.71188e-17
3313.0825 6.38718e-17
3315.0981 5.50431e-17
3317.1143 5.69234e-17
3319.1311 6.40148e-17
3321.1482 6.49183e-17
3323.166 7.52602e-17
3325.1841 5.81121e-17
3327.2029 5.66826e-17
3329.2219 5.74798e-17
3331.2417 5.34739e-17
3333.262 5.01342e-17
3335.2827 5.23766e-17
3337.3037 4.70142e-17
3339.3254 4.96331e-17
3341.3477 5.02294e-17
3343.3704 5.61018e-17
3345.3936 5.57577e-17
3347.4172 6.00878e-17
3349.4414 5.28852e-17
3351.4661 6.15766e-17
3353.4912 6.32432e-17
3355.5168 5.40326e-17
3357.543 5.18203e-17
3359.5696 5.85829e-17
3361.5967 6.01881e-17
3363.6245 4.99096e-17
3365.6526 6.02916e-17
