wavelength flux
3063.1765 5.76929e-16
3065.1265 6.68226e-16
3067.0769 6.13825e-16
3069.0281 5.25629e-16
3070.9797 7.95945e-16
3072.9321 6.53407e-16
3074.885 7.71061e-16
3076.8384 6.75631e-16
3078.7922 7.01936e-16
3080.7468 6.34828e-16
3082.7019 5.70096e-16
3084.6577 5.6204e-16
3086.614 6.55179e-16
3088.5708 6.74831e-16
3090.5281 8.36743e-16
3092.4861 6.16171e-16
3094.4446 8.06359e-16
3096.4036 7.79011e-16
3098.3633 8.87293e-16
3100.3235 8.2529e-16
3102.2842 7.80418e-16
3104.2456 6.84597e-16
3106.2075 6.0697e-16
3108.1699 7.79059e-16
3110.1328 6.37954e-16
3112.0964 7.23297e-16
3114.0605 7.16583e-16
3116.0251 7.08825e-16
3117.9905 7.20381e-16
3119.9563 8.17031e-16
3121.9226 7.69898e-16
3123.8894 8.37234e-16
3125.8569 8.63088e-16
3127.825 7.94744e-16
3129.7935 7.86124e-16
3131.7627 8.07638e-16
3133.7324 7.15992e-16
3135.7024 7.59694e-16
3137.6731 8.57362e-16
3139.6445 7.75789e-16
3141.6165 8.42314e-16
3143.5889 7.42533e-16
3145.5618 7.7598e-16
3147.5354 9.34127e-16
3149.5093 8.00483e-16
3151.4839 8.12268e-16
3153.459 7.95636e-16
3155.4348 7.59095e-16
3157.4109 8.17078e-16
3159.3877 7.4723e-16
3161.365 8.49236e-16
3163.343 7.83277e-16
3165.3213 8.01882e-16
3167.3003 8.0854e-16
3169.2798 7.40058e-16
3171.2598 7.38319e-16
3173.2405 8.01623e-16
3175.2214 8.02272e-16
3177.2031 7.00202e-16
3179.1853 7.91256e-16
3181.168 8.02593e-16
3183.1511 7.54117e-16
3185.135 8.26756e-16
3187.1194 7.99247e-16
3189.1042 7.7323e-16
3191.0896 7.32576e-16
3193.0754 7.73303e-16
3195.062 7.85251e-16
3197.0488 7.98415e-16
3199.0364 7.96658e-16
3201.0244 7.62834e-16
3203.0129 7.25929e-16
3205.0022 8.30891e-16
3206.9917 8.81347e-16
3208.9819 9.82063e-16
3210.9727 9.06263e-16
3212.9639 8.90857e-16
3214.9556 8.95441e-16
3216.9478 8.90419e-16
3218.9404 8.77908e-16
3220.9338 8.89475e-16
3222.9275 8.9128e-16
3224.9221 8.14507e-16
3226.917 8.74808e-16
3228.9121 9.09305e-16
3230.9082 9.01758e-16
3232.9045 9.36908e-16
3234.9016 9.52907e-16
3236.8989 8.81294e-16
3238.897 9.64782e-16
3240.8955 9.12696e-16
3242.8945 8.91977e-16
3244.894 8.73792e-16
3246.894 8.42833e-16
3248.8945 8.77778e-16
3250.8958 8.28298e-16
3252.8972 8.52714e-16
3254.8994 8.28523e-16
3256.9021 9.12186e-16
3258.905 8.58707e-16
3260.9087 9.00449e-16
3262.9128 8.75854e-16
3264.9175 8.86421e-16
3266.9226 8.55802e-16
3268.9282 8.73314e-16
3270.9346 9.18159e-16
3272.9412 8.7237e-16
3274.9485 8.45449e-16
3276.9561 8.26547e-16
3278.9641 8.09648e-16
3280.9729 7.80253e-16
3282.9822 7.8418e-16
3284.9917 8.12377e-16
3287.002 8.39738e-16
3289.0127 8.32601e-16
3291.0239 8.19589e-16
3293.0356 8.74715e-16
3295.0479 8.157e-16
3297.0605 8.5591e-16
3299.0737 8.12166e-16
3301.0874 8.16395e-16
3303.1016 8.11711e-16
3305.1162 8.22036e-16
3307.1316 7.5414e-16
3309.1472 8.03161e-16
3311.1633 7.48341e-16
3313.1799 8.15773e-16
3315.1973 7.79911e-16
3317.2148 8.21554e-16
3319.2329 8.49422e-16
3321.2517 7.80899e-16
3323.2708 8.2542e-16
3325.2903 8.08461e-16
3327.3103 8.06987e-16
3329.3311 8.01456e-16
3331.3521 7.94584e-16
3333.3735 8.03992e-16
3335.3955 7.9585e-16
3337.4182 7.968e-16
3339.4412 7.76243e-16
3341.4646 7.55641e-16
3343.4885 7.58418e-16
3345.5132 7.83313e-16
3347.5381 7.74207e-16
3349.5635 7.925e-16
3351.5894 7.85337e-16
3353.6157 7.56419e-16
3355.6426 7.62011e-16
3357.6699 7.50857e-16
3359.6978 7.57139e-16
3361.7261 7.72037e-16
3363.7549 7.42434e-16
3365.7839 7.8397e-16
3367.8137 7.55885e-16
3369.844 7.49434e-16
3371.8745 7.43635e-16
3373.9058 7.47763e-16
3375.9375 7.52493e-16
3377.9695 7.28711e-16
3380.002 7.4941e-16
3382.0349 7.44664e-16
3384.0686 7.33008e-16
3386.1025 7.64451e-16
3388.137 7.54359e-16
3390.1719 7.3402e-16
3392.2073 7.64277e-16
3394.2429 7.69336e-16
3396.2793 7.13236e-16
3398.3159 7.60582e-16
3400.3533 7.34975e-16
3402.3911 7.14854e-16
3404.4292 7.35069e-16
3406.4678 7.36385e-16
3408.5068 7.05094e-16
3410.5464 7.46775e-16
3412.5862 7.48533e-16
3414.6267 7.155e-16
3416.6677 7.26177e-16
3418.709 7.3687e-16
3420.751 7.18742e-16
3422.7932 7.18037e-16
3424.8359 7.23383e-16
3426.8792 7.42927e-16
3428.9226 7.09017e-16
3430.9668 7.36857e-16
3433.0115 7.4016e-16
3435.0564 7.2771e-16
3437.1018 7.22293e-16
3439.1477 7.08653e-16
3441.1941 7.17021e-16
3443.241 7.03898e-16
3445.2881 7.14082e-16
3447.3359 7.2776e-16
3449.384 7.25966e-16
3451.4326 7.32662e-16
3453.4817 7.19289e-16
3455.5312 7.13432e-16
3457.5811 7.48281e-16
3459.6316 7.09584e-16
3461.6824 6.97387e-16
3463.7336 7.23754e-16
3465.7854 6.91715e-16
3467.8374 6.9392e-16
3469.8899 7.04654e-16
3471.9431 6.81377e-16
3473.9966 6.82725e-16
3476.0503 7.28179e-16
3478.1047 6.87486e-16
3480.1597 7.01385e-16
3482.2148 6.76986e-16
3484.2705 7.12096e-16
3486.3264 6.99436e-16
3488.3831 6.93631e-16
3490.4399 7.03718e-16
3492.4973 6.65258e-16
3494.5552 6.70226e-16
3496.6135 6.73854e-16
3498.6721 6.73625e-16
3500.7312 6.42508e-16
3502.7908 7.00554e-16
3504.8508 6.70853e-16
3506.9111 6.47664e-16
3508.9722 6.62607e-16
3511.0332 6.69027e-16
3513.095 6.69626e-16
3515.157 6.61461e-16
3517.2197 6.54395e-16
3519.2827 6.63478e-16
3521.3459 6.52315e-16
3523.4099 6.75193e-16
3525.4741 6.47923e-16
3527.5388 6.46325e-16
3529.6038 6.52419e-16
3531.6692 6.47928e-16
3533.7351 6.5967e-16
3535.8015 6.6513e-16
3537.8684 6.61654e-16
3539.9353 6.77808e-16
3542.0029 6.30786e-16
3544.071 6.59592e-16
3546.1394 6.5617e-16
3548.2083 6.32179e-16
3550.2776 6.52975e-16
3552.3472 6.53156e-16
3554.4172 6.56828e-16
3556.4878 6.56228e-16
3558.5586 6.59601e-16
3560.6299 6.41953e-16
3562.7017 6.61821e-16
3564.7737 6.76701e-16
3566.8462 6.5978e-16
3568.9192 6.75185e-16
3570.9927 6.50876e-16
3573.0664 6.65818e-16
3575.1404 6.45076e-16
3577.2151 6.46202e-16
3579.29 6.34378e-16
3581.3655 6.43928e-16
3583.4412 6.36126e-16
3585.5173 6.4224e-16
3587.594 6.13369e-16
3589.6709 6.29375e-16
3591.7483 6.66428e-16
3593.8259 6.46286e-16
3595.9043 6.2782e-16
3597.9829 6.32239e-16
3600.0618 6.17175e-16
3602.1411 6.3014e-16
3604.2209 6.31042e-16
3606.301 6.0649e-16
3608.3816 6.20623e-16
3610.4624 6.20195e-16
3612.5439 6.13256e-16
3614.6255 6.25262e-16
3616.7078 6.14034e-16
3618.7903 6.14699e-16
3620.8733 6.13959e-16
3622.9565 6.09309e-16
3625.04 5.85228e-16
3627.1243 6.11051e-16
3629.2087 5.86672e-16
3631.2935 6.10177e-16
3633.3789 6.00051e-16
3635.4644 6.04533e-16
3637.5503 6.02483e-16
3639.6367 5.94501e-16
3641.7234 5.87848e-16
3643.8108 6.21484e-16
3645.8982 5.9405e-16
3647.9861 5.92949e-16
3650.0745 6.02403e-16
3652.1631 5.84772e-16
3654.2522 5.90597e-16
3656.3416 5.70529e-16
3658.4314 5.78861e-16
3660.5215 5.81201e-16
3662.6123 5.6096e-16
3664.7031 5.92349e-16
3666.7944 6.03061e-16
3668.8862 5.89066e-16
3670.9783 5.91915e-16
3673.0708 5.64988e-16
3675.1636 5.69387e-16
3677.2566 5.49456e-16
3679.3501 5.65704e-16
3681.4441 5.60195e-16
3683.5383 5.48107e-16
3685.6331 5.56394e-16
3687.728 5.52452e-16
3689.8235 5.43422e-16
3691.9192 5.56482e-16
3694.0154 5.51403e-16
3696.1118 5.49011e-16
3698.2087 5.79188e-16
3700.3059 5.53215e-16
3702.4036 5.65436e-16
3704.5017 5.63559e-16
3706.5999 5.40794e-16
3708.6985 5.49478e-16
3710.7976 5.37881e-16
3712.897 5.5551e-16
3714.9968 5.52446e-16
3717.0969 5.47501e-16
3719.1975 5.34444e-16
3721.2981 5.44612e-16
3723.3994 5.45283e-16
3725.501 5.20237e-16
3727.6028 5.31624e-16
3729.7051 5.29387e-16
3731.8076 5.05267e-16
3733.9106 5.01223e-16
3736.0139 5.1884e-16
3738.1177 5.16725e-16
3740.2217 5.04608e-16
3742.3259 5.20959e-16
3744.4307 5.08293e-16
3746.5359 5.05946e-16
3748.6411 4.88564e-16
3750.7471 4.84143e-16
3752.853 4.66682e-16
3754.9595 4.88653e-16
3757.0664 4.81878e-16
3759.1736 4.82247e-16
3761.281 4.91914e-16
3763.3889 4.69361e-16
3765.4971 4.87128e-16
3767.6055 4.77353e-16
3769.7144 4.85481e-16
3771.8235 4.82671e-16
3773.9331 4.68317e-16
3776.043 4.62465e-16
3778.1533 4.58631e-16
3780.2637 4.64148e-16
3782.3745 4.64435e-16
3784.4858 4.73422e-16
3786.5974 4.63972e-16
3788.7092 4.64513e-16
3790.8215 4.66717e-16
3792.9341 4.62671e-16
3795.0471 4.92028e-16
3797.1602 4.8257e-16
3799.2737 4.79519e-16
3801.3877 4.66002e-16
3803.502 4.74373e-16
3805.6165 4.77595e-16
3807.7312 4.7852e-16
3809.8464 4.69264e-16
3811.9622 4.80405e-16
3814.0779 4.85087e-16
3816.1941 4.87691e-16
3818.3108 4.97409e-16
3820.4275 4.80514e-16
3822.5447 4.98593e-16
3824.6621 5.04501e-16
3826.78 4.88215e-16
3828.8982 5.12646e-16
3831.0166 4.98375e-16
3833.1353 5.16834e-16
3835.2544 5.14273e-16
3837.3738 5.13752e-16
3839.4937 4.9767e-16
3841.6135 4.80886e-16
3843.7339 5.05669e-16
3845.8547 5.12633e-16
3847.9756 5.12447e-16
3850.0969 4.99831e-16
3852.2185 5.04313e-16
3854.3406 4.90641e-16
3856.4629 4.90475e-16
3858.5854 4.81293e-16
3860.7083 5.00329e-16
3862.8315 5.10678e-16
3864.9551 5.17921e-16
3867.0789 5.18432e-16
3869.2029 4.97435e-16
3871.3274 5.34527e-16
3873.4521 5.09043e-16
3875.5771 5.27182e-16
3877.7024 5.10552e-16
3879.8281 5.19031e-16
3881.9541 5.0792e-16
3884.0803 5.1725e-16
3886.207 5.32276e-16
3888.334 5.2064e-16
3890.4609 5.30198e-16
3892.5884 5.13219e-16
3894.7163 5.00104e-16
3896.8445 5.0552e-16
3898.9729 5.27375e-16
3901.1013 5.41596e-16
3903.2305 5.2599e-16
3905.3596 5.12723e-16
3907.4893 4.98769e-16
3909.6191 4.84042e-16
3911.7493 4.7795e-16
3913.8796 5.00875e-16
3916.0105 5.03124e-16
3918.1416 4.91433e-16
3920.2729 4.76731e-16
3922.4045 4.7385e-16
3924.5364 4.71252e-16
3926.6687 4.76895e-16
3928.801 4.87783e-16
3930.9338 4.8465e-16
3933.0669 4.58854e-16
3935.2004 4.77176e-16
3937.334 4.6662e-16
3939.468 4.94332e-16
3941.6023 4.84915e-16
3943.7368 4.97979e-16
3945.8716 4.89528e-16
3948.0066 5.014e-16
3950.1421 4.84777e-16
3952.2776 5.18877e-16
3954.4136 5.07007e-16
3956.5498 5.10011e-16
3958.6863 5.23812e-16
3960.823 5.16857e-16
3962.9602 5.09809e-16
3965.0974 4.98658e-16
3967.2351 4.7932e-16
3969.3728 4.79569e-16
3971.511 4.8877e-16
3973.6494 4.90629e-16
3975.7881 4.76596e-16
3977.9272 4.93276e-16
3980.0664 4.86783e-16
3982.2061 4.79511e-16
3984.3457 4.93363e-16
3986.4858 4.90259e-16
3988.6262 4.90728e-16
3990.7668 4.766e-16
3992.9077 4.59576e-16
3995.0488 4.68645e-16
3997.1902 4.53069e-16
3999.332 4.64499e-16
4001.4741 4.46767e-16
4003.6162 4.45743e-16
4005.7588 4.36933e-16
4007.9016 4.39387e-16
4010.0444 4.31369e-16
4012.1877 4.44301e-16
4014.3313 4.40833e-16
4016.4751 4.32438e-16
4018.6191 4.37357e-16
4020.7637 4.53796e-16
4022.9082 4.57605e-16
4025.053 4.58625e-16
4027.1982 4.66678e-16
4029.3435 4.53537e-16
4031.4893 4.66122e-16
4033.635 4.59806e-16
4035.7812 4.42804e-16
4037.9275 4.48118e-16
4040.0742 4.37737e-16
4042.2212 4.3235e-16
4044.3684 4.50276e-16
4046.5159 4.4931e-16
4048.6633 4.46784e-16
4050.8113 4.44513e-16
4052.9597 4.32291e-16
4055.1079 4.38336e-16
4057.2566 4.34891e-16
4059.4055 4.31714e-16
4061.5547 4.40893e-16
4063.7041 4.43186e-16
4065.854 4.3394e-16
4068.0039 4.27344e-16
4070.1538 4.26112e-16
4072.3042 4.30339e-16
4074.4551 4.49705e-16
4076.606 4.4645e-16
4078.7571 4.48384e-16
4080.9084 4.54341e-16
4083.0601 4.30826e-16
4085.2119 4.43552e-16
4087.364 4.36369e-16
4089.5164 4.41443e-16
4091.6689 4.48645e-16
4093.8218 4.51193e-16
4095.9749 4.54412e-16
4098.1284 4.44852e-16
4100.2817 4.56933e-16
4102.4355 4.37683e-16
4104.5894 4.19059e-16
4106.7437 4.3819e-16
4108.8984 4.17446e-16
4111.0527 4.18758e-16
4113.208 3.95814e-16
4115.3633 3.94447e-16
4117.5186 3.76333e-16
4119.6743 3.92402e-16
4121.8301 3.86766e-16
4123.9863 4.01276e-16
4126.1426 4.01324e-16
4128.2988 4.08487e-16
4130.4556 4.10765e-16
4132.6128 4.2309e-16
4134.77 4.21255e-16
4136.9277 4.38204e-16
4139.085 4.28463e-16
4141.2432 4.23642e-16
4143.4014 4.32258e-16
4145.5596 4.05203e-16
4147.7183 3.95048e-16
4149.877 3.8031e-16
4152.0361 3.77799e-16
4154.1953 3.7344e-16
4156.3545 3.69141e-16
4158.5142 3.87011e-16
4160.6743 3.98778e-16
4162.8345 4.07533e-16
4164.9946 4.28442e-16
4167.1553 4.27701e-16
4169.3159 4.34159e-16
4171.4771 4.4168e-16
4173.6382 4.39243e-16
4175.7998 4.39665e-16
