wavelength flux
3071.0408 -4.81815e-17
3072.9929 2.58703e-17
3074.9458 5.49377e-17
3076.8989 2.0532e-17
3078.8528 -2.23698e-17
3080.8074 1.4467e-17
3082.7622 -6.52513e-19
3084.718 1.07014e-17
3086.6741 -3.04506e-17
3088.6306 1.64446e-17
3090.5879 5.83411e-17
3092.5459 7.41839e-17
3094.5042 6.40791e-17
3096.4631 6.10234e-17
3098.4226 7.98316e-17
3100.3828 4.47188e-17
3102.3433 3.90994e-17
3104.3044 5.62971e-17
3106.2661 6.64489e-17
3108.2285 3.5328e-17
3110.1914 1.00198e-17
3112.1548 5.57125e-17
3114.1187 7.70388e-17
3116.083 3.22777e-17
3118.0481 5.04946e-17
3120.0139 1.06093e-16
3121.98 6.37135e-17
3123.9468 4.47556e-17
3125.9138 8.84104e-17
3127.8818 7.94694e-17
3129.8501 4.02836e-17
3131.8191 6.8552e-17
3133.7886 8.98446e-17
3135.7585 1.06524e-16
3137.729 5.48606e-17
3139.7002 4.15527e-17
3141.6719 8.12719e-17
3143.644 7.83966e-17
3145.6167 2.55741e-17
3147.5901 6.92898e-17
3149.5637 6.52539e-17
3151.5381 7.87157e-17
3153.5132 8.30909e-17
3155.4885 7.7811e-17
3157.4646 6.95234e-17
3159.4412 4.79651e-17
3161.4182 5.88885e-17
3163.3958 8.28615e-17
3165.3738 9.23981e-17
3167.3525 7.24668e-17
3169.3318 8.3631e-17
3171.3115 7.69834e-17
3173.292 7.26897e-17
3175.2727 7.75363e-17
3177.2542 6.47335e-17
3179.2361 5.82096e-17
3181.2185 5.86476e-17
3183.2014 5.82706e-17
3185.1848 8.91569e-17
3187.1689 7.38952e-17
3189.1536 7.17019e-17
3191.1387 9.00069e-17
3193.1243 9.04095e-17
3195.1104 8.45095e-17
3197.0969 8.5093e-17
3199.0842 7.03329e-17
3201.072 8.76401e-17
3203.0603 9.32654e-17
3205.0491 8.67781e-17
3207.0383 1.12551e-16
3209.0283 8.55425e-17
3211.0186 1.0277e-16
3213.0095 1.25507e-16
3215.0007 8.47752e-17
3216.9929 8.24333e-17
3218.9851 9.96529e-17
3220.9783 1.04459e-16
3222.9717 9.30985e-17
3224.9658 9.44493e-17
3226.9602 9.77791e-17
3228.9553 7.2742e-17
3230.9507 1.01071e-16
3232.947 1.02283e-16
3234.9436 8.84638e-17
3236.9407 1.08495e-16
3238.9382 9.95155e-17
3240.9363 9.98957e-17
