# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2022adm
# CHANNEL = B+R
# EXPNUM = 22_043_048_003
# MJD-OBS = 59622.550833
# DATE-OBS = 2022-02-12T13:12:57
# EXPTIME = 1800.0s
# AIRMASS = 1.16
# FLUXCAL_RMS_B = 0.103 mag
# FLUXCAL_RMS_R = 0.067 mag
# RA = 14:27:51.40
# DEC = 28:10:28.99
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 1.889850e-16 7.405038e-17
3405.860000 3.304404e-16 7.759037e-17
3408.860000 4.295568e-16 7.149554e-17
3411.860000 3.722296e-16 6.658795e-17
3414.860000 3.163626e-16 7.221861e-17
3417.860000 1.830132e-16 7.202736e-17
3420.860000 3.293043e-16 6.610934e-17
3423.860000 3.121478e-16 6.379678e-17
3426.860000 2.540136e-16 7.114681e-17
3429.860000 1.964767e-16 7.034986e-17
3432.860000 2.314170e-16 6.208933e-17
3435.860000 1.915080e-16 6.132898e-17
3438.860000 2.039844e-16 6.866696e-17
3441.860000 1.875245e-16 6.703443e-17
3444.860000 1.150459e-16 5.811930e-17
3447.860000 1.672678e-16 5.967148e-17
3450.860000 2.108613e-16 6.565075e-17
3453.860000 2.055685e-16 6.283979e-17
3456.860000 2.840535e-16 5.745781e-17
3459.860000 3.306642e-16 6.059063e-17
3462.860000 2.240852e-16 6.381539e-17
3465.860000 1.739719e-16 5.977417e-17
3468.860000 1.608676e-16 5.501338e-17
3471.860000 2.386236e-16 5.994279e-17
3474.860000 2.050325e-16 6.256100e-17
3477.860000 1.497123e-16 5.698617e-17
3480.860000 9.335516e-17 5.301650e-17
3483.860000 1.665272e-16 5.941740e-17
3486.860000 3.157212e-16 6.313226e-17
3489.860000 2.471321e-16 5.596906e-17
3492.860000 2.648632e-16 5.425193e-17
3495.860000 2.745649e-16 6.079535e-17
3498.860000 3.499906e-16 6.093050e-17
3501.860000 3.435674e-16 5.350105e-17
3504.860000 3.219661e-16 5.253139e-17
3507.860000 3.093865e-16 5.889528e-17
3510.860000 2.323315e-16 5.725622e-17
3513.860000 2.601889e-16 5.022234e-17
3516.860000 2.557794e-16 5.104565e-17
3519.860000 2.186818e-16 5.575289e-17
3522.860000 2.283132e-16 5.405571e-17
3525.860000 2.188049e-16 4.795664e-17
3528.860000 2.379319e-16 5.063270e-17
3531.860000 2.154658e-16 5.445109e-17
3534.860000 2.169909e-16 5.159500e-17
3537.860000 2.227447e-16 4.728915e-17
3540.860000 2.426015e-16 5.143159e-17
3543.860000 3.360765e-16 5.512042e-17
3546.860000 3.331649e-16 5.162327e-17
3549.860000 3.178444e-16 4.882424e-17
3552.860000 3.204419e-16 5.394507e-17
3555.860000 2.466106e-16 5.466628e-17
3558.860000 1.840148e-16 4.877814e-17
3561.860000 1.323922e-16 4.645356e-17
3564.860000 2.251257e-16 5.282345e-17
3567.860000 3.546837e-16 5.425329e-17
3570.860000 3.211427e-16 4.755873e-17
3573.860000 2.402493e-16 4.620330e-17
3576.860000 2.312442e-16 5.200877e-17
3579.860000 2.155310e-16 5.141446e-17
3582.860000 1.832062e-16 4.447407e-17
3585.860000 2.584572e-16 4.534526e-17
3588.860000 2.378725e-16 4.943645e-17
3591.860000 2.786786e-16 4.820868e-17
3594.860000 2.918021e-16 4.332844e-17
3597.860000 2.686687e-16 4.530728e-17
3600.860000 2.767081e-16 4.940579e-17
3603.860000 2.665357e-16 4.646959e-17
3606.860000 2.609703e-16 4.247157e-17
3609.860000 2.844767e-16 4.506403e-17
3612.860000 2.898596e-16 4.762280e-17
3615.860000 3.304692e-16 4.418780e-17
3618.860000 3.196432e-16 4.168516e-17
3621.860000 2.432739e-16 4.496326e-17
3624.860000 2.512845e-16 4.698123e-17
3627.860000 1.983953e-16 4.221913e-17
3630.860000 2.463108e-16 4.091706e-17
3633.860000 2.577668e-16 4.550665e-17
3636.860000 2.093591e-16 4.568923e-17
3639.860000 1.800622e-16 4.020543e-17
3642.860000 2.217487e-16 4.019927e-17
3645.860000 2.297611e-16 4.608316e-17
3648.860000 2.959957e-16 4.639226e-17
3651.860000 3.185434e-16 4.048516e-17
3654.860000 2.484452e-16 4.033232e-17
3657.860000 2.332440e-16 4.456653e-17
3660.860000 3.168018e-16 4.434841e-17
3663.860000 2.671900e-16 3.911962e-17
3666.860000 2.769964e-16 4.072128e-17
3669.860000 2.681182e-16 4.379097e-17
3672.860000 1.847714e-16 4.111876e-17
3675.860000 2.104989e-16 3.759345e-17
3678.860000 2.698182e-16 4.046354e-17
3681.860000 2.455453e-16 4.262940e-17
3684.860000 3.159447e-16 4.040832e-17
3687.860000 3.136160e-16 3.749864e-17
3690.860000 2.589044e-16 4.045550e-17
3693.860000 2.205526e-16 4.201627e-17
3696.860000 2.386250e-16 3.861433e-17
3699.860000 2.941642e-16 3.756572e-17
3702.860000 2.867281e-16 4.162891e-17
3705.860000 2.887575e-16 4.263233e-17
3708.860000 2.639641e-16 3.791261e-17
3711.860000 2.204935e-16 3.637330e-17
3714.860000 2.312707e-16 4.181659e-17
3717.860000 2.782497e-16 4.248946e-17
3720.860000 2.338615e-16 3.690463e-17
3723.860000 2.095923e-16 3.675782e-17
3726.860000 2.295783e-16 4.107290e-17
3729.860000 2.362024e-16 4.036946e-17
3732.860000 2.580956e-16 3.627565e-17
3735.860000 2.475033e-16 3.723841e-17
3738.860000 2.620280e-16 4.067077e-17
3741.860000 2.856052e-16 3.924543e-17
3744.860000 2.517573e-16 3.540690e-17
3747.860000 1.615688e-16 3.691607e-17
3750.860000 2.011135e-16 3.947926e-17
3753.860000 2.529099e-16 3.727127e-17
3756.860000 2.911868e-16 3.536678e-17
3759.860000 2.946511e-16 3.848629e-17
3762.860000 2.748596e-16 4.000171e-17
3765.860000 2.646887e-16 3.655241e-17
3768.860000 2.411911e-16 3.454014e-17
3771.860000 2.328986e-16 3.828129e-17
3774.860000 2.547145e-16 3.943893e-17
3777.860000 2.532882e-16 3.551658e-17
3780.860000 2.240829e-16 3.422096e-17
3783.860000 1.709874e-16 3.807549e-17
3786.860000 1.712259e-16 3.823119e-17
3789.860000 2.270321e-16 3.394165e-17
3792.860000 2.406790e-16 3.386711e-17
3795.860000 2.415722e-16 3.761395e-17
3798.860000 2.554295e-16 3.702411e-17
3801.860000 3.045622e-16 3.290876e-17
3804.860000 2.896245e-16 3.381854e-17
3807.860000 2.530431e-16 3.675869e-17
3810.860000 2.593031e-16 3.559148e-17
3813.860000 2.436865e-16 3.186194e-17
3816.860000 2.663534e-16 3.380767e-17
3819.860000 2.810866e-16 3.597967e-17
3822.860000 2.402521e-16 3.327699e-17
3825.860000 2.361813e-16 3.075971e-17
3828.860000 2.449836e-16 3.325006e-17
3831.860000 2.107100e-16 3.463375e-17
3834.860000 2.090302e-16 3.178619e-17
3837.860000 2.513464e-16 3.042981e-17
3840.860000 2.650784e-16 3.356820e-17
3843.860000 2.985801e-16 3.506073e-17
3846.860000 2.446169e-16 3.154183e-17
3849.860000 2.271157e-16 3.082184e-17
3852.860000 2.885952e-16 3.565595e-17
3855.860000 2.751683e-16 3.579451e-17
3858.860000 2.228867e-16 3.101770e-17
3861.860000 2.147718e-16 3.084815e-17
3864.860000 2.059920e-16 3.462903e-17
3867.860000 2.768931e-16 3.478606e-17
3870.860000 2.683598e-16 3.081002e-17
3873.860000 2.543921e-16 3.124313e-17
3876.860000 2.583941e-16 3.447618e-17
3879.860000 2.457974e-16 3.319795e-17
3882.860000 2.208416e-16 2.973831e-17
3885.860000 2.719967e-16 3.143028e-17
3888.860000 2.622585e-16 3.370081e-17
3891.860000 2.586527e-16 3.187418e-17
3894.860000 2.611177e-16 2.921023e-17
3897.860000 2.457107e-16 3.151045e-17
3900.860000 2.645314e-16 3.319712e-17
3903.860000 3.286277e-16 3.138645e-17
3906.860000 2.751279e-16 2.899327e-17
3909.860000 1.726244e-16 3.093541e-17
3912.860000 2.259946e-16 3.225374e-17
3915.860000 2.533749e-16 2.973139e-17
3918.860000 2.456214e-16 2.857324e-17
3921.860000 2.082705e-16 3.165814e-17
3924.860000 2.407428e-16 3.241975e-17
3927.860000 2.780613e-16 2.903408e-17
3930.860000 2.812574e-16 2.842934e-17
3933.860000 2.417163e-16 3.167615e-17
3936.860000 2.124684e-16 3.139572e-17
3939.860000 2.432914e-16 2.783258e-17
3942.860000 2.153591e-16 2.814896e-17
3945.860000 1.687621e-16 3.122522e-17
3948.860000 1.503438e-16 3.040131e-17
3951.860000 1.657865e-16 2.747430e-17
3954.860000 2.045534e-16 2.928577e-17
3957.860000 2.180069e-16 3.180220e-17
3960.860000 1.995342e-16 3.014691e-17
3963.860000 1.592667e-16 2.732459e-17
3966.860000 1.603117e-16 2.903194e-17
3969.860000 1.997370e-16 3.081952e-17
3972.860000 1.820661e-16 2.846194e-17
3975.860000 2.264780e-16 2.756747e-17
3978.860000 2.115558e-16 3.101954e-17
3981.860000 2.294218e-16 3.302453e-17
3984.860000 3.026253e-16 3.110808e-17
3987.860000 3.390613e-16 3.054413e-17
3990.860000 2.648193e-16 3.362106e-17
3993.860000 2.880647e-16 3.418613e-17
3996.860000 3.141774e-16 3.063192e-17
3999.860000 2.468501e-16 2.912641e-17
4002.860000 1.959454e-16 3.232262e-17
4005.860000 2.380292e-16 3.218450e-17
4008.860000 2.030326e-16 2.750202e-17
4011.860000 1.702077e-16 2.738988e-17
4014.860000 2.002628e-16 3.043137e-17
4017.860000 2.206696e-16 2.968392e-17
4020.860000 2.047932e-16 2.604822e-17
4023.860000 2.016981e-16 2.670526e-17
4026.860000 2.011435e-16 2.890512e-17
4029.860000 2.257383e-16 2.777943e-17
4032.860000 2.562384e-16 2.568257e-17
4035.860000 2.442495e-16 2.711146e-17
4038.860000 2.083323e-16 2.826659e-17
4041.860000 2.369466e-16 2.692953e-17
4044.860000 2.634444e-16 2.547389e-17
4047.860000 2.428155e-16 2.761274e-17
4050.860000 2.233871e-16 2.832919e-17
4053.860000 1.919761e-16 2.578780e-17
4056.860000 2.362818e-16 2.518632e-17
4059.860000 2.668324e-16 2.823844e-17
4062.860000 2.288718e-16 2.853018e-17
4065.860000 2.590478e-16 2.594773e-17
