# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# PROPOSAL = PL22A20a
# OBJECT = 2022hvp
# RA = 9:54:45.25
# DEC = 55:26:25.20
# DATE-OBS = 2022-05-06T22:11:27.522
# MJD-OBS = 59705.924624
# EXPTIME-OBS = 1200.0s
# AIRMASS-OBS = 1.211859
# SEEING-OBS = 0.802545
# wl fl
# [A] [Normalised]
4020.000000 2.05403
4038.400000 1.91482
4047.600000 2.02703
4056.800000 1.83952
4066.000000 1.79094
4075.200000 1.99052
4084.400000 1.89303
4093.600000 2.01833
4102.800000 1.99836
4112.000000 1.93452
4121.200000 1.95974
4130.400000 1.79147
4139.600000 1.79779
4148.800000 1.8316
4158.000000 1.82625
4167.200000 1.79627
4176.400000 1.87104
4185.600000 1.70172
4194.800000 1.81183
4204.000000 1.79879
4213.200000 1.72694
4222.400000 1.80226
4231.600000 1.83567
4240.800000 1.76525
4250.000000 1.77883
4259.200000 1.86834
4268.400000 1.74506
4277.600000 1.76656
4286.800000 1.72614
4296.000000 1.73368
4305.200000 1.67578
4314.400000 1.77072
4323.600000 1.71515
4332.800000 1.74329
4342.000000 1.75373
4351.200000 1.66131
4360.400000 1.6895
4369.600000 1.67741
4378.800000 1.5793
4388.000000 1.6521
4397.200000 1.57236
4406.400000 1.52205
4415.600000 1.57326
4424.800000 1.62119
4434.000000 1.67697
4443.200000 1.53722
4452.400000 1.55196
4461.600000 1.60832
4470.800000 1.60776
4480.000000 1.58974
4489.200000 1.60047
4498.400000 1.7024
4507.600000 1.68594
4516.800000 1.66948
4526.000000 1.7013
4535.200000 1.71127
4544.400000 1.73605
4553.600000 1.78047
4562.800000 1.63905
4572.000000 1.718
4581.200000 1.64061
4590.400000 1.66269
4599.600000 1.69038
4608.800000 1.5825
4618.000000 1.64438
4627.200000 1.66081
4636.400000 1.63556
4645.600000 1.68931
4654.800000 1.64382
4664.000000 1.64482
4673.200000 1.70345
4682.400000 1.63753
4691.600000 1.64156
4700.800000 1.5838
4710.000000 1.63779
4719.200000 1.64006
4728.400000 1.56647
4737.600000 1.5942
4746.800000 1.53118
4756.000000 1.52156
4765.200000 1.51714
4774.400000 1.48168
4783.600000 1.32104
4792.800000 1.4149
4802.000000 1.40138
4811.200000 1.40101
4820.400000 1.41817
4829.600000 1.38722
4838.800000 1.3982
4848.000000 1.41016
4857.200000 1.37634
4866.400000 1.3778
4875.600000 1.3669
4884.800000 1.32513
4894.000000 1.38204
4903.200000 1.33791
4912.400000 1.3597
4921.600000 1.34753
4930.800000 1.36299
4940.000000 1.37893
4949.200000 1.355985
4958.400000 1.33304
4967.600000 1.40517
4976.800000 1.37825
4986.000000 1.32123
4995.200000 1.31838
5004.400000 1.35404
5013.600000 1.36342
5022.800000 1.34942
5032.000000 1.2721
5041.200000 1.3114
5050.400000 1.31252
5059.600000 1.27843
5068.800000 1.32425
5078.000000 1.30954
5087.200000 1.28096
5096.400000 1.31526
5105.600000 1.35487
5114.800000 1.33896
5124.000000 1.26461
5133.200000 1.3116
5142.400000 1.30577
5151.600000 1.37599
5160.800000 1.31437
5170.000000 1.23484
5179.200000 1.32732
5188.400000 1.31536
5197.600000 1.22588
5206.800000 1.25266
5216.000000 1.22209
5225.200000 1.25108
5234.400000 1.20145
5243.600000 1.22018
5252.800000 1.20408
5262.000000 1.18597
5271.200000 1.17811
5280.400000 1.16248
5289.600000 1.18826
5298.800000 1.15357
5308.000000 1.16209
5317.200000 1.13038
5326.400000 1.12769
5335.600000 1.1438
5344.800000 1.11455
5354.000000 1.07697
5363.200000 1.09985
5372.400000 1.00749
5381.600000 1.07207
5390.800000 1.05178
5400.000000 1.00175
5409.200000 0.970042
5418.400000 1.00813
5427.600000 1.01362
5436.800000 0.980893
5446.000000 0.976431
5455.200000 0.986796
5464.400000 0.967046
5473.600000 0.953902
5482.800000 0.977119
5492.000000 0.940934
5501.200000 0.950205
5510.400000 0.9623
5519.600000 0.925058
5528.800000 0.910454
5538.000000 0.905
5547.200000 0.908385
5556.400000 0.91268
5565.600000 0.879053
5574.800000 0.867427
5584.000000 0.913072
5593.200000 0.88824
5602.400000 0.841373
5611.600000 0.866812
5620.800000 0.865351
5630.000000 0.848108
5639.200000 0.857276
5648.400000 0.839008
5657.600000 0.852338
5666.800000 0.839953
5676.000000 0.81377
5685.200000 0.834647
5694.400000 0.789836
5703.600000 0.80091
5712.800000 0.819443
5722.000000 0.785452
5731.200000 0.793232
5740.400000 0.80827
5749.600000 0.771099
5758.800000 0.755968
5768.000000 0.799251
5777.200000 0.789043
5786.400000 0.778482
5795.600000 0.773572
5804.800000 0.787291
5814.000000 0.797079
5823.200000 0.799444
5832.400000 0.793374
5841.600000 0.799245
5850.800000 0.77129
5860.000000 0.765076
5869.200000 0.810177
5878.400000 0.799073
5887.600000 0.779521
5896.800000 0.773499
5906.000000 0.78897
5915.200000 0.744188
5924.400000 0.766277
5933.600000 0.754196
5942.800000 0.7632395
5952.000000 0.772283
5961.200000 0.75075
5970.400000 0.707606
5979.600000 0.726229
5988.800000 0.779497
5998.000000 0.742047
6007.200000 0.798879
6016.400000 0.725575
6025.600000 0.756823
6034.800000 0.731409
6044.000000 0.755186
6053.200000 0.753375
6062.400000 0.731939
6080.800000 0.750192
6090.000000 0.74222
6099.200000 0.720897
6108.400000 0.711951
6117.600000 0.750375
6126.800000 0.718515
6136.000000 0.731795
6145.200000 0.737716
6154.400000 0.74425
6163.600000 0.7188
6172.800000 0.733054
6182.000000 0.70774
6191.200000 0.717876
6200.400000 0.70668
6209.600000 0.706475
6218.800000 0.700599
6228.000000 0.684715
6237.200000 0.719106
6246.400000 0.72195
6255.600000 0.704146
6264.800000 0.691325
6274.000000 0.719241
6283.200000 0.685776
6292.400000 0.68891
6301.600000 0.711815
6310.800000 0.700904
6320.000000 0.726719
6329.200000 0.704297
6338.400000 0.719094
6347.600000 0.666721
6356.800000 0.714709
6366.000000 0.704954
6375.200000 0.704906
6384.400000 0.67482
6393.600000 0.697311
6402.800000 0.69785
6412.000000 0.693708
6421.200000 0.698931
6430.400000 0.662776
6439.600000 0.714241
6448.800000 0.645134
6458.000000 0.685099
6467.200000 0.639209
6476.400000 0.661163
6485.600000 0.673305
6494.800000 0.646695
6504.000000 0.64347
6513.200000 0.595463
6522.400000 0.641195
6531.600000 0.624486
6540.800000 0.601965
6550.000000 0.574234
6559.200000 0.616006
6568.400000 0.598486
6577.600000 0.624761
6586.800000 0.645498
6596.000000 0.609614
6605.200000 0.6292
6614.400000 0.65384
6623.600000 0.609215
6632.800000 0.606252
6642.000000 0.619203
6651.200000 0.591621
6660.400000 0.592663
6669.600000 0.602972
6678.800000 0.601449
6688.000000 0.586072
6697.200000 0.595504
6706.400000 0.54238
6715.600000 0.568798
6724.800000 0.613235
6734.000000 0.599768
6743.200000 0.604552
6752.400000 0.594057
6761.600000 0.618326
6770.800000 0.582971
6780.000000 0.580338
6789.200000 0.566669
6798.400000 0.597615
6807.600000 0.584932
6816.800000 0.592396
6826.000000 0.51904
6835.200000 0.573867
6844.400000 0.58794
6853.600000 0.519095
6862.800000 0.474245
6872.000000 0.476922
6881.200000 0.500501
6890.400000 0.450277
6899.600000 0.489128
6908.800000 0.516595
6918.000000 0.529903
6927.200000 0.52039
6936.400000 0.483811
6945.600000 0.548751
6954.800000 0.544454
6964.000000 0.481688
6973.200000 0.562912
6982.400000 0.564618
6991.600000 0.52369
7000.800000 0.563486
7010.000000 0.54992
7019.200000 0.535845
7028.400000 0.505771
7037.600000 0.528714
7046.800000 0.514425
7056.000000 0.557643
7065.200000 0.511692
7074.400000 0.515047
7083.600000 0.561333
7092.800000 0.537515
7102.000000 0.510441
7111.200000 0.535452
7120.400000 0.533177
7129.600000 0.519734
7138.800000 0.554084
7148.000000 0.538219
7157.200000 0.54076
7166.400000 0.539204
7175.600000 0.516901
7184.800000 0.521521
7194.000000 0.536983
7203.200000 0.477563
7212.400000 0.562366
7221.600000 0.394531
7230.800000 0.547203
7240.000000 0.560752
7249.200000 0.733203
7258.400000 0.508956
7267.600000 0.573666
7276.800000 0.56335
7286.000000 0.567168
7295.200000 0.511955
7304.400000 0.513911
7313.600000 0.571975
7322.800000 0.465829
7332.000000 0.538933
7341.200000 0.610317
7350.400000 0.545853
7359.600000 0.544712
7368.800000 0.529101
7378.000000 0.586022
7387.200000 0.533361
7396.400000 0.496352
7405.600000 0.577453
7414.800000 0.53411
7424.000000 0.539353
7433.200000 0.566186
7442.400000 0.539236
7451.600000 0.590296
7460.800000 0.512818
7470.000000 0.484911
7479.200000 0.556999
7488.400000 0.49197
7497.600000 0.496777
7506.800000 0.548944
7516.000000 0.581469
7525.200000 0.4662
7534.400000 0.533263
7543.600000 0.525789
7552.800000 0.50902
7562.000000 0.501096
7571.200000 0.533025
7580.400000 0.577085
7589.600000 0.501354
7598.800000 0.259215
7608.000000 0.137049
7617.200000 0.223798
7626.400000 0.242397
7635.600000 0.304191
7644.800000 0.329542
7654.000000 0.444513
7663.200000 0.447866
7672.400000 0.569184
7681.600000 0.552122
7690.800000 0.446664
7700.000000 0.52036
7709.200000 0.5978
7718.400000 0.594422
7727.600000 0.55424
7736.800000 0.394958
7746.000000 0.532952
7755.200000 0.554873
7764.400000 0.477657
7773.600000 0.596532
7782.800000 0.559588
7792.000000 0.609018
7801.200000 0.559781
7810.400000 0.673777
7819.600000 0.46799
7828.800000 0.531876
7838.000000 0.559747
7856.400000 0.587618
7865.600000 0.483154
7874.800000 0.577865
7884.000000 0.338561
7893.200000 0.565988
7902.400000 0.539162
7911.600000 0.626418
7920.800000 0.481945
7930.000000 0.458311
7939.200000 0.615294
7948.400000 0.421811
7957.600000 0.449795
7966.800000 0.57499
7976.000000 0.0750249
7985.200000 0.446318
7994.400000 0.563947
