# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# PROPOSAL = PL22B16
# OBJECT = 2022wtn
# RA = 23:23:23.778
# DEC = 10:41:7.99
# DATE-OBS = 2022-11-20T20:10:41.684
# MJD-OBS = 59903.84076
# EXPTIME-OBS = 2100.0s
# AIRMASS-OBS = 1.0573
# SEEING-OBS = 1.068386
# wl fl
# [A] [Normalised]
4020.000000 1.42836
4029.200000 0.776484
4038.400000 1.21119
4047.600000 0.875218
4056.800000 0.875223
4066.000000 0.993239
4075.200000 1.21148
4084.400000 1.1759
4093.600000 1.30312
4102.800000 1.19354
4112.000000 0.874605
4121.200000 0.842842
4130.400000 0.707148
4139.600000 0.889768
4148.800000 1.07075
4158.000000 0.938334
4167.200000 0.994287
4176.400000 1.01529
4185.600000 0.952773
4194.800000 1.00876
4204.000000 0.802665
4213.200000 1.09371
4222.400000 1.05393
4231.600000 0.921646
4240.800000 0.895192
4250.000000 0.927837
4259.200000 1.00584
4268.400000 1.04148
4277.600000 1.12472
4286.800000 1.13538
4296.000000 1.17738
4305.200000 1.08906
4314.400000 1.09716
4323.600000 1.03363
4332.800000 0.953356
4342.000000 1.07427
4351.200000 1.05474
4360.400000 1.07407
4369.600000 1.08981
4378.800000 1.1123
4388.000000 1.02553
4397.200000 0.919855
4406.400000 0.70058
4415.600000 1.07253
4424.800000 1.06461
4434.000000 1.01417
4443.200000 1.05031
4452.400000 1.05873
4461.600000 1.09319
4470.800000 0.962719
4480.000000 0.985417
4489.200000 0.927706
4498.400000 0.857526
4507.600000 1.17935
4516.800000 0.954445
4526.000000 0.957118
4535.200000 1.0299
4544.400000 1.03887
4553.600000 1.00701
4562.800000 1.04423
4572.000000 1.03707
4581.200000 1.04312
4590.400000 0.996757
4599.600000 1.02471
4608.800000 0.999427
4618.000000 1.00275
4627.200000 1.0296
4636.400000 1.03701
4645.600000 1.03472
4654.800000 0.952813
4664.000000 0.971303
4673.200000 1.05608
4682.400000 0.955881
4691.600000 1.04068
4700.800000 1.1206
4710.000000 1.05074
4719.200000 1.1055
4728.400000 1.20633
4737.600000 1.07416
4746.800000 1.08216
4756.000000 1.03987
4765.200000 1.06993
4774.400000 1.07779
4783.600000 1.04174
4792.800000 1.077
4802.000000 1.13521
4811.200000 1.14058
4820.400000 1.08755
4829.600000 1.14404
4838.800000 1.08656
4848.000000 1.13379
4857.200000 1.2217
4866.400000 1.23457
