# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 23lli
# CHANNEL = B+R
# EXPNUM = 23_179_081_003
# MJD-OBS = 60123.540295
# DATE-OBS = 2023-06-28T12:58:03
# EXPTIME = 2400.0s
# AIRMASS = 1.19
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 22:57:39.47
# DEC = 40:32:40.70
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 2.641188e-16 3.148837e-17
3403.480000 2.629331e-16 3.262920e-17
3406.480000 2.932267e-16 3.026113e-17
3409.480000 2.833167e-16 2.849609e-17
3412.480000 2.684802e-16 3.174849e-17
3415.480000 2.739183e-16 3.259600e-17
3418.480000 2.920178e-16 2.902377e-17
3421.480000 2.684426e-16 2.795398e-17
3424.480000 2.724405e-16 3.124368e-17
3427.480000 3.111389e-16 3.160712e-17
3430.480000 2.884829e-16 2.742892e-17
3433.480000 2.515475e-16 2.708074e-17
3436.480000 2.530064e-16 3.041814e-17
3439.480000 2.642585e-16 2.986212e-17
3442.480000 2.248597e-16 2.592585e-17
3445.480000 2.409445e-16 2.809560e-17
3448.480000 3.260599e-16 2.992495e-17
3451.480000 3.365279e-16 2.891570e-17
3454.480000 3.075698e-16 2.604168e-17
3457.480000 3.098088e-16 2.769484e-17
3460.480000 2.886966e-16 2.923080e-17
3463.480000 2.564902e-16 2.722117e-17
3466.480000 2.895128e-16 2.531640e-17
3469.480000 3.098862e-16 2.753998e-17
3472.480000 2.916108e-16 2.864474e-17
3475.480000 2.853169e-16 2.626560e-17
3478.480000 2.445935e-16 2.439491e-17
3481.480000 2.932743e-16 2.771371e-17
3484.480000 3.090195e-16 2.859239e-17
3487.480000 2.823488e-16 2.549967e-17
3490.480000 2.897430e-16 2.470212e-17
3493.480000 2.885713e-16 2.788738e-17
3496.480000 2.563722e-16 2.794995e-17
3499.480000 2.008095e-16 2.389378e-17
3502.480000 2.259457e-16 2.417431e-17
3505.480000 2.259999e-16 2.731349e-17
3508.480000 2.457942e-16 2.705019e-17
3511.480000 2.092808e-16 2.350887e-17
3514.480000 1.734465e-16 2.400591e-17
3517.480000 2.306951e-16 2.647638e-17
3520.480000 2.936274e-16 2.582682e-17
3523.480000 2.885940e-16 2.309898e-17
3526.480000 2.878962e-16 2.391629e-17
3529.480000 2.876982e-16 2.561766e-17
3532.480000 2.885542e-16 2.409928e-17
3535.480000 2.463058e-16 2.186761e-17
3538.480000 2.532598e-16 2.353065e-17
3541.480000 2.762363e-16 2.523001e-17
3544.480000 2.848363e-16 2.377414e-17
3547.480000 2.595288e-16 2.243007e-17
3550.480000 2.735366e-16 2.492072e-17
3553.480000 2.761266e-16 2.586190e-17
3556.480000 2.337317e-16 2.337915e-17
3559.480000 2.381840e-16 2.269638e-17
3562.480000 2.853548e-16 2.573185e-17
3565.480000 2.776091e-16 2.594629e-17
3568.480000 2.615699e-16 2.393688e-17
3571.480000 2.463676e-16 2.247463e-17
3574.480000 2.268847e-16 2.493526e-17
3577.480000 2.723619e-16 2.496156e-17
3580.480000 2.533825e-16 2.168924e-17
3583.480000 2.682701e-16 2.206304e-17
3586.480000 2.914044e-16 2.452146e-17
3589.480000 2.779974e-16 2.359064e-17
3592.480000 2.576590e-16 2.069395e-17
3595.480000 2.624939e-16 2.147753e-17
