#wl flux
3400.9 180.43
3402.0 187.82
3403.1 191.11
3404.1 173.73
3405.2 171.37
3406.3 185.35
3407.3 188.37
3408.4 187.32
3409.5 165.86
3410.5 173.94
3411.6 164.36
3412.7 157.12
3413.7 153.02
3414.8 153.66
3415.9 151.71
3416.9 153.94
3418.0 153.62
3419.0 166.49
3420.1 159.81
3421.2 160.31
3422.2 159.82
3423.3 153.24
3424.4 162.04
3425.4 176.17
3426.5 165.1
3427.6 184.12
3428.6 157.91
3429.7 174.2
3430.8 153.81
3431.8 142.5
3432.9 163.1
3434.0 165.68
3435.0 165.36
3436.1 151.09
3437.2 137.68
3438.2 154.12
3439.3 165.33
3440.4 168.7
3441.4 131.42
3442.5 155.14
3443.6 150.51
3444.6 136.61
3445.7 142.63
3446.8 142.35
3447.8 142.66
3448.9 139.36
3450.0 137.65
3451.0 159.26
3452.1 169.22
3453.2 173.38
3454.2 153.49
3455.3 146.16
3456.4 158.18
3457.4 158.57
3458.5 151.27
3459.6 181.55
3460.6 173.19
3461.7 172.12
3462.8 150.01
3463.8 160.18
3464.9 162.18
3466.0 163.16
3467.0 177.85
3468.1 162.16
3469.2 173.36
3470.2 179.78
3471.3 175.73
3472.4 160.56
3473.4 144.39
3474.5 152.85
3475.6 185.88
3476.6 171.71
3477.7 148.25
3478.8 182.6
3479.8 170.08
3480.9 162.08
3482.0 155.08
3483.0 169.21
3484.1 173.01
3485.2 161.27
3486.2 165.71
3487.3 140.79
3488.4 133.2
3489.4 139.05
3490.5 139.6
3491.6 140.59
3492.6 142.07
3493.7 148.35
3494.8 139.4
3495.9 132.74
3496.9 126.67
3498.0 130.63
3499.1 123.22
3500.1 129.17
3501.2 121.22
3502.3 128.01
3503.3 127.68
3504.4 128.13
3505.5 131.16
3506.5 137.86
3507.6 142.46
3508.7 147.42
3509.7 142.45
3510.8 136.1
3511.9 135.7
3512.9 133.11
3514.0 148.37
3515.1 143.82
3516.2 124.4
3517.2 132.5
3518.3 149.81
3519.4 143.59
3520.4 144.45
3521.5 143.55
3522.6 147.26
3523.6 156.63
3524.7 154.41
3525.8 161.77
3526.8 149.21
3527.9 164.73
3529.0 162.41
3530.1 160.6
3531.1 166.84
3532.2 148.72
3533.3 157.35
3534.3 150.07
3535.4 149.45
3536.5 136.92
3537.5 144.02
3538.6 148.29
3539.7 137.48
3540.7 142.96
3541.8 136.19
3542.9 121.25
3544.0 121.63
3545.0 119.46
3546.1 131.38
3547.2 126.64
3548.2 135.49
3549.3 135.02
3550.4 121.55
3551.4 127.93
3552.5 140.85
3553.6 144.31
3554.7 140.35
3555.7 140.11
3556.8 145.41
3557.9 129.3
3558.9 138.56
3560.0 136.71
3561.1 131.26
3562.2 128.31
3563.2 145.96
3564.3 149.12
3565.4 140.13
3566.4 128.15
3567.5 133.01
3568.6 138.49
3569.6 134.69
3570.7 129.98
3571.8 140.45
3572.9 119.45
3573.9 118.38
3575.0 124.96
3576.1 122.7
3577.1 119.97
3578.2 114.76
3579.3 123.59
3580.4 122.04
3581.4 119.63
3582.5 117.38
3583.6 119.18
3584.6 124.86
3585.7 126.91
3586.8 128.56
3587.9 132.02
3588.9 131.99
3590.0 142.91
3591.1 137.32
3592.1 144.55
3593.2 147.88
3594.3 144.59
3595.4 154.76
3596.4 155.9
3597.5 155.49
3598.6 144.12
3599.6 140.39
3600.7 140.83
3601.8 138.46
