#wl flux
3144.5686 1.46335e-16
3145.6848 3.02815e-16
3146.801 1.76425e-16
3147.9175 2.5377e-16
3149.0342 3.41211e-16
3150.1514 1.82968e-16
3151.2686 3.32797e-16
3152.386 2.0902e-16
3153.5039 2.02774e-16
3154.6218 1.98386e-16
3155.74 1.94538e-16
3156.8586 2.18071e-16
3157.9773 2.66243e-16
3159.0964 2.23958e-16
3160.2158 3.80835e-16
3161.3352 2.08844e-16
3162.4551 3.56757e-16
3163.575 2.41443e-16
3164.6953 2.00039e-16
3165.8159 2.11247e-16
3166.9365 3.13062e-16
3168.0576 2.80177e-16
3169.179 2.71492e-16
3170.3003 2.79402e-16
3171.4221 2.93901e-16
3172.5442 2.58657e-16
3173.6665 1.86925e-16
3174.7888 2.20623e-16
3175.9116 2.50459e-16
3177.0347 2.13801e-16
3178.158 1.53227e-16
3179.2812 3.02813e-16
3180.405 2.33051e-16
3181.5291 1.99036e-16
3182.6533 2.30697e-16
3183.7776 1.93418e-16
3184.9023 2.81971e-16
3186.0273 2.40294e-16
3187.1526 2.56584e-16
3188.2781 3.2602e-16
3189.4038 3.05509e-16
3190.5295 2.3178e-16
3191.6558 3.05401e-16
3192.7822 2.91768e-16
3193.9087 1.88755e-16
3195.0356 2.9172e-16
3196.1628 2.08123e-16
3197.2903 2.30898e-16
3198.4177 1.56419e-16
3199.5457 2.06972e-16
3200.6738 2.19915e-16
3201.802 2.4791e-16
3202.9307 2.2952e-16
3204.0596 2.47152e-16
3205.1887 1.46597e-16
3206.3179 2.85234e-16
3207.4475 3.05917e-16
3208.5771 2.88919e-16
3209.7073 2.37074e-16
3210.8374 2.15333e-16
3211.968 2.66252e-16
3213.0986 2.07512e-16
3214.2295 2.90608e-16
3215.3608 2.3554e-16
3216.4922 2.33397e-16
3217.6238 2.31412e-16
3218.7559 2.56593e-16
3219.8879 2.97027e-16
3221.0205 2.43635e-16
3222.1531 2.05814e-16
3223.2859 2.79228e-16
3224.4189 2.11456e-16
3225.5522 2.63677e-16
3226.6858 2.36476e-16
3227.8196 2.02833e-16
3228.9536 2.711e-16
3230.0879 2.54144e-16
3231.2224 2.21554e-16
3232.3572 2.43879e-16
3233.4922 2.26863e-16
3234.6272 2.47519e-16
3235.7627 2.24844e-16
3236.8984 2.70951e-16
3238.0342 2.82054e-16
3239.1704 2.70479e-16
3240.3069 2.67204e-16
3241.4434 2.43627e-16
3242.5801 2.0418e-16
3243.7173 2.89748e-16
3244.8545 2.67409e-16
3245.9922 2.60524e-16
3247.1299 2.61569e-16
3248.2678 1.95605e-16
3249.406 2.19637e-16
3250.5444 2.68767e-16
3251.6831 2.37707e-16
3252.822 2.2389e-16
3253.9612 2.68371e-16
3255.1006 2.28844e-16
3256.24 2.40166e-16
3257.3799 2.64279e-16
3258.52 2.38529e-16
3259.6602 2.56114e-16
3260.8008 2.62635e-16
3261.9414 2.16609e-16
3263.0825 2.49528e-16
3264.2234 2.61875e-16
3265.365 2.27729e-16
3266.5066 2.70032e-16
3267.6484 2.4376e-16
3268.7905 2.00993e-16
3269.9329 2.71469e-16
3271.0752 2.31711e-16
3272.218 2.31852e-16
3273.3611 2.17292e-16
3274.5044 2.38172e-16
3275.6477 2.21671e-16
3276.7915 2.17658e-16
3277.9353 2.71128e-16
3279.0793 2.56735e-16
3280.2236 2.27309e-16
3281.3682 2.43911e-16
3282.5129 2.1547e-16
3283.658 2.31993e-16
3284.8032 2.27876e-16
3285.9485 2.57626e-16
3287.0942 2.51901e-16
3288.24 2.61495e-16
3289.3862 2.4717e-16
3290.5327 2.34394e-16
3291.6792 2.4287e-16
3292.8259 1.99077e-16
3293.9729 2.17118e-16
3295.1201 2.27149e-16
3296.2676 2.5499e-16
3297.415 2.55742e-16
3298.563 2.56753e-16
3299.7109 2.33796e-16
3300.8594 2.44257e-16
3302.0078 2.49481e-16
3303.1565 2.57603e-16
3304.3054 2.38325e-16
3305.4546 2.64403e-16
3306.604 2.07323e-16
