WAVE,FLUX,ERR,SKYBACK
3647.3132,9.0543885E-17,9.708068E-18,2.1180201E-17
3652.8367,6.5333034E-17,9.365973E-18,2.7039126E-17
3658.36,6.441262E-17,9.182445E-18,1.8736036E-17
3663.8835,8.3548776E-17,9.173907E-18,6.105339E-18
3669.4067,7.460024E-17,8.875765E-18,-1.7028309E-18
3674.9302,1.0305823E-16,8.990419E-18,-1.4460206E-17
3680.4536,6.920432E-17,8.6110635E-18,2.7872051E-18
3685.977,8.5269774E-17,8.596396E-18,-4.9400442E-18
3691.5002,7.151963E-17,8.796261E-18,4.9837182E-17
3697.0237,8.290375E-17,8.686702E-18,3.79729E-17
3702.547,8.841082E-17,8.6355315E-18,3.5837134E-17
3708.0706,9.08099E-17,8.473182E-18,2.9123315E-17
3713.5938,8.698354E-17,8.225187E-18,1.8804277E-17
3719.1172,9.23533E-17,8.2566646E-18,2.8595607E-17
3724.6406,6.558301E-17,8.219701E-18,7.6233826E-17
3730.164,7.692809E-17,8.28692E-18,7.987759E-17
3735.6873,8.135812E-17,8.177792E-18,7.2523523E-17
3741.2107,9.423032E-17,8.1240485E-18,6.11966E-17
3746.7341,8.5061305E-17,7.781307E-18,4.4535044E-17
3752.2576,8.9440565E-17,7.5571E-18,2.448621E-17
3757.7808,7.874034E-17,7.3335864E-18,2.341995E-17
3763.3042,7.490462E-17,7.2584205E-18,3.0561544E-17
3768.8276,8.1140105E-17,7.161226E-18,2.0761087E-17
3774.351,5.812524E-17,6.99539E-18,4.5840305E-17
3779.8743,7.04825E-17,6.8343192E-18,2.14059E-17
3785.3977,6.4934684E-17,6.8328225E-18,3.5565352E-17
3790.9211,7.6397707E-17,6.851843E-18,3.093984E-17
3796.4446,7.1853845E-17,6.764463E-18,3.5798888E-17
3801.9678,6.641103E-17,6.6652204E-18,3.8690205E-17
3807.4912,7.867853E-17,6.6672147E-18,3.2370426E-17
3813.0146,7.7981235E-17,6.6882127E-18,4.2960578E-17
3818.538,8.670544E-17,6.774645E-18,5.022766E-17
3824.0613,7.429063E-17,6.740383E-18,7.11286E-17
3829.5847,7.139927E-17,6.6383974E-18,7.200278E-17
3835.1082,6.5550086E-17,6.5373366E-18,7.404124E-17
3840.6316,6.363503E-17,6.338718E-18,5.763034E-17
3846.1548,6.8397864E-17,6.2289393E-18,4.5845215E-17
3851.6782,6.745621E-17,6.0592928E-18,3.3045392E-17
3857.2017,6.8810654E-17,6.0185177E-18,3.4680338E-17
3862.725,6.872141E-17,5.9705797E-18,3.4751674E-17
3868.2483,7.943156E-17,5.8554002E-18,1.24399775E-17
3873.7717,6.547678E-17,5.716502E-18,2.191124E-17
3879.2952,5.7126754E-17,5.5465537E-18,2.1679113E-17
3884.8186,8.64431E-17,5.7610677E-18,9.3819206E-18
3890.3418,6.9007794E-17,5.5885096E-18,1.8303927E-17
3895.8652,6.196632E-17,5.6527335E-18,4.3811618E-17
3901.3887,7.6004544E-17,5.815932E-18,5.0261215E-17
3906.912,6.987864E-17,5.8100935E-18,6.1231886E-17
3912.4353,5.746583E-17,5.578559E-18,5.5261518E-17
3917.9587,7.304427E-17,5.5760832E-18,3.8019815E-17
3923.4822,7.063014E-17,5.374815E-18,2.1335058E-17
3929.0056,7.7222015E-17,5.497414E-18,3.175884E-17
3934.5288,6.693943E-17,5.3188425E-18,2.9967258E-17
3940.0522,7.242925E-17,5.471365E-18,4.6058733E-17
3945.5757,6.997266E-17,5.4701582E-18,5.3447068E-17
3951.099,6.821563E-17,5.334062E-18,4.267742E-17
3956.6223,7.196272E-17,5.2354197E-18,2.9167897E-17
3962.1458,7.189655E-17,5.120947E-18,1.897289E-17
3967.6692,7.731377E-17,5.222267E-18,2.1285935E-17
3973.1926,6.0860694E-17,5.0790002E-18,3.7732578E-17
3978.7158,5.762572E-17,5.0631634E-18,4.4895678E-17
3984.2393,5.605757E-17,5.0097607E-18,4.4356948E-17
3989.7627,7.283306E-17,5.169457E-18,4.3777105E-17
3995.2861,6.933408E-17,5.083475E-18,4.280821E-17
4000.8093,7.091291E-17,5.1799287E-18,5.707805E-17
4006.3328,6.656806E-17,5.1402943E-18,6.080333E-17
4011.8562,6.579762E-17,5.097475E-18,6.025677E-17
4017.3796,6.5426896E-17,5.0928174E-18,6.293208E-17
4022.9028,6.345424E-17,5.0193762E-18,5.978853E-17
4028.4263,6.586592E-17,5.0039187E-18,5.774158E-17
4033.9497,6.943881E-17,4.9866306E-18,5.464539E-17
4039.4731,6.703968E-17,5.0081307E-18,6.421871E-17
4044.9963,7.2438926E-17,5.0312185E-18,6.266461E-17
4050.5198,6.652971E-17,4.9755613E-18,6.666059E-17
4056.0432,8.57746E-17,5.1165087E-18,6.314776E-17
4061.5667,7.526236E-17,5.0355286E-18,6.964116E-17
4067.0898,8.0063036E-17,5.079899E-18,7.153474E-17
4072.6133,7.32708E-17,5.0017345E-18,7.544867E-17
4078.1367,7.5525766E-17,4.926036E-18,6.297848E-17
4083.6602,7.119054E-17,4.873856E-18,6.5814903E-17
4089.1833,7.6389124E-17,4.8840416E-18,6.2228645E-17
4094.7068,7.565101E-17,4.7793842E-18,5.0944608E-17
4100.23,6.8484725E-17,4.653751E-18,4.7101722E-17
4105.7534,6.21706E-17,4.6230727E-18,5.5463946E-17
4111.277,6.4287657E-17,4.6087075E-18,5.2760994E-17
4116.8003,7.277057E-17,4.6840202E-18,5.3308234E-17
4122.3237,6.882457E-17,4.6850397E-18,6.2265193E-17
4127.847,7.9133524E-17,4.7534252E-18,5.8560126E-17
4133.3706,6.2163913E-17,4.5951835E-18,6.330999E-17
4138.894,6.138078E-17,4.540118E-18,6.0424406E-17
4144.417,6.91717E-17,4.5664373E-18,5.3493873E-17
4149.9404,6.901691E-17,4.5992123E-18,6.035918E-17
4155.464,6.745294E-17,4.6037444E-18,6.625946E-17
4160.9873,6.7856405E-17,4.6794463E-18,7.924401E-17
4166.5107,6.3821286E-17,4.685576E-18,8.7107346E-17
4172.034,6.376224E-17,4.6476284E-18,8.4352795E-17
4177.5576,6.602317E-17,4.573932E-18,7.187526E-17
4183.081,5.6928826E-17,4.458427E-18,7.113033E-17
4188.604,6.856156E-17,4.4664316E-18,5.65406E-17
4194.1274,6.117052E-17,4.3531583E-18,5.4107283E-17
4199.651,6.15074E-17,4.3215865E-18,5.2585592E-17
4205.1743,5.715056E-17,4.2789714E-18,5.4352354E-17
4210.6978,6.543828E-17,4.349982E-18,5.3291306E-17
4216.221,6.827659E-17,4.3252046E-18,4.641219E-17
4221.7446,7.067752E-17,4.3280348E-18,4.6002455E-17
4227.268,7.0617315E-17,4.2873363E-18,4.0931153E-17
4232.7915,6.3415676E-17,4.2711318E-18,5.2007965E-17
4238.3145,5.626442E-17,4.175844E-18,4.991601E-17
4243.838,5.8984086E-17,4.2081867E-18,5.233071E-17
4249.3613,6.220081E-17,4.2152115E-18,5.054867E-17
4254.885,6.577701E-17,4.270399E-18,5.4541107E-17
4260.408,5.690525E-17,4.1855083E-18,5.7491574E-17
4265.9316,6.070817E-17,4.250934E-18,6.10506E-17
4271.455,6.616583E-17,4.2348657E-18,5.348551E-17
4276.9785,6.261762E-17,4.172714E-18,5.0630862E-17
4282.5015,5.6313463E-17,4.0707626E-18,4.7001087E-17
4288.025,5.790586E-17,4.094664E-18,4.8869166E-17
4293.5483,4.9892464E-17,4.0531697E-18,5.656784E-17
4299.072,5.8470764E-17,4.039889E-18,4.3654387E-17
4304.595,6.128452E-17,4.095154E-18,4.7277505E-17
4310.1187,6.1086454E-17,4.116867E-18,5.148157E-17
4315.642,6.399259E-17,4.1880717E-18,5.92627E-17
4321.1655,6.4601886E-17,4.1930157E-18,6.0291104E-17
4326.6885,6.402282E-17,4.1216565E-18,5.1546974E-17
4332.212,5.610264E-17,4.023812E-18,5.0898647E-17
4337.7354,6.464933E-17,4.096381E-18,5.0261526E-17
4343.259,7.354874E-17,4.1665414E-18,4.801745E-17
4348.782,6.9856104E-17,4.173791E-18,5.5821986E-17
4354.3057,6.899163E-17,4.1923796E-18,5.937443E-17
4359.829,7.740033E-17,4.2115173E-18,5.136138E-17
4365.3525,6.64942E-17,4.1299184E-18,5.6468676E-17
4370.8755,6.631504E-17,4.100301E-18,5.3600225E-17
4376.399,7.609143E-17,4.158177E-18,4.9309894E-17
4381.9224,6.8174353E-17,4.100728E-18,5.244585E-17
4387.446,6.54014E-17,4.10397E-18,5.9648034E-17
4392.969,6.7960133E-17,4.0808265E-18,5.2583478E-17
4398.4927,6.771013E-17,4.116484E-18,5.989821E-17
4404.016,7.736569E-17,4.246027E-18,6.472445E-17
4409.5396,6.8650055E-17,4.2126923E-18,7.3911546E-17
4415.0625,7.2004716E-17,4.278221E-18,7.9836495E-17
4420.586,7.674153E-17,4.274056E-18,7.324108E-17
4426.1094,7.02532E-17,4.2075117E-18,7.365121E-17
4431.633,7.4346266E-17,4.2184127E-18,7.045782E-17
4437.1562,6.6741405E-17,4.114492E-18,6.7597034E-17
4442.6797,7.149157E-17,4.177048E-18,7.064687E-17
4448.203,6.8701605E-17,4.099117E-18,6.4459995E-17
4453.7266,7.0183476E-17,4.093993E-18,6.182106E-17
