WAVE,FLUX,ERR,BGFLUX
3638.0706,2.4676022E-17,8.429901E-18,3.2453054E-16
3643.59,4.7203105E-17,8.690026E-18,3.3213626E-16
3649.1099,2.7247331E-17,8.472045E-18,3.3088778E-16
3654.6294,1.9194918E-17,8.429651E-18,3.4310562E-16
3660.1492,3.2420868E-17,8.359912E-18,3.1070296E-16
3665.6687,4.267036E-17,8.281887E-18,2.8975157E-16
3671.1885,2.0178896E-17,7.971039E-18,2.7799333E-16
3676.708,2.8511768E-17,8.040903E-18,2.8178028E-16
3682.2278,2.0765792E-17,8.111534E-18,3.1557102E-16
3687.7473,2.1421271E-17,8.131748E-18,3.2743782E-16
3693.267,5.0451294E-17,8.325987E-18,3.259592E-16
3698.7866,2.7344516E-17,8.0739065E-18,3.2634284E-16
3704.3064,1.4491304E-17,7.860995E-18,3.2015476E-16
3709.826,4.0107755E-17,7.817849E-18,2.8432913E-16
3715.3457,4.538932E-18,7.605674E-18,3.1335423E-16
3720.8652,3.2964947E-17,7.716034E-18,2.9770278E-16
3726.3848,3.1808694E-17,7.829903E-18,3.3262544E-16
3731.9045,3.8687406E-17,7.78927E-18,3.2724268E-16
3737.424,1.653625E-17,7.514397E-18,3.2166105E-16
3742.9438,3.947015E-17,7.473673E-18,2.913417E-16
3748.4634,3.2692818E-17,7.268304E-18,2.7855467E-16
3753.9832,2.5681088E-17,7.170665E-18,2.8292264E-16
3759.5027,2.826662E-17,7.039024E-18,2.685696E-16
3765.0225,2.5522085E-17,7.0418034E-18,2.8579913E-16
3770.542,1.3226318E-17,7.018391E-18,3.0835507E-16
3776.0618,3.5861022E-17,7.11957E-18,3.0343987E-16
3781.5813,2.5572965E-17,6.852383E-18,2.8346638E-16
3787.101,1.5693846E-17,6.641753E-18,2.7195287E-16
3792.6206,3.9073134E-17,6.6236363E-18,2.4541409E-16
3798.1404,2.6391118E-17,6.5845082E-18,2.6703553E-16
3803.66,2.6227838E-17,6.5646344E-18,2.7545586E-16
3809.1797,3.1759117E-17,6.495239E-18,2.648612E-16
3814.6992,2.8620496E-17,6.3963676E-18,2.6063736E-16
3820.219,3.9492196E-17,6.337733E-18,2.4672918E-16
3825.7385,4.0805137E-17,6.2708947E-18,2.4168955E-16
3831.258,2.9827868E-17,6.2460888E-18,2.6105177E-16
3836.7778,3.694206E-17,6.2168314E-18,2.5437043E-16
3842.2974,3.7302984E-17,6.1582803E-18,2.5364905E-16
3847.8171,3.6097487E-17,6.0162314E-18,2.4003873E-16
3853.3367,3.1392298E-17,5.9197338E-18,2.384969E-16
3858.8564,2.937921E-17,5.8331255E-18,2.367745E-16
3864.376,4.0167096E-17,5.7417485E-18,2.1389571E-16
3869.8958,2.8522584E-17,5.633352E-18,2.1820653E-16
3875.4153,2.559218E-17,5.5594176E-18,2.1851962E-16
3880.935,3.3744145E-17,5.530938E-18,2.0896391E-16
3886.4546,2.4885472E-17,5.5269446E-18,2.2803352E-16
3891.9744,3.5991816E-17,5.678193E-18,2.4568498E-16
3897.494,3.3779207E-17,5.8135407E-18,2.809721E-16
3903.0137,3.1893252E-17,5.8504624E-18,2.998637E-16
3908.5332,2.8888446E-17,5.7412088E-18,2.9094438E-16
3914.053,2.5213891E-17,5.5594623E-18,2.709806E-16
3919.5725,3.2215333E-17,5.2543563E-18,2.1368034E-16
3925.0923,3.419956E-17,5.0957155E-18,1.8766477E-16
3930.6118,1.16081324E-17,4.9537853E-18,2.0555069E-16
3936.1313,2.537265E-17,5.088109E-18,2.1376199E-16
3941.6511,2.3317338E-17,5.235998E-18,2.4802787E-16
3947.1707,1.6721615E-17,5.2602996E-18,2.6885903E-16
