Name,Spectral class,Comments
AT 2024agqx,TDE-He,AstroNote 2025-50
AT 2024admt,TDE-He,AstroNote 2025-50
AT 2024aepd,TDE-H+He,AstroNote 2025-9
AT 2024aegq,Featureless,AstroNote 2024-380
AT 2024ablg,TDE-He,AstroNote 2024-344 ---> Reclassified to SN IIP AstroNote 2025-47
AT 2024yqo,TDE-H+He,TNS Classification Report No. 18618
AT 2024zau,TDE-H+He,AstroNote 2024-328
AT 2024ymu,TDE-featureless,AstroNote 2024-369
AT 2024wsd,TDE-H+He,AstroNote 2024-302
AT 2024vip,TDE-H+He,this paper/TDE-He AstroNote 2024-302
AT 2024ule,TDE-H+He,AstroNote 2024-318
AT 2024tvd,TDE-H+He,TNS Classification Report No. 18377
AT 2024rny,TDE-H+He,TNS Classification Report No. 17882
AT 2024pvu,TDE-featureless,this paper
AT 2024qab,TDE-H+He,AstroNote 2024-203
AT 2024mvz,TDE-H+He,AstroNote 2024-237
AT 2024lhc,TDE-featureless,AstroNote 2024-177
AT 2024gxr,TDE-He,AstroNote 2024-150
AT 2024gre,TDE-featureless,AstroNote 2024-150/TNS Classification Report No. 17193
AT 2024eqp,TDE-featureless,AstroNote 2024-150/TNS Classification Report No. 17193
AT 2024doo,TDE-H+He,AstroNote 2024-142
AT 2024bgz,TDE-H+He,AstroNote 2024-47
AT 2024kt,TDE-H,TNS Remarks
AT 2024as,TDE-H,this paper
AT 2023xen,TDE-H+He,this paper
AT 2023wdb,TDE-H+He,this paper/TNS Classification Report No. 16027
AT 2023ugy,TDE-H,AstroNote 2023-273
AT 2023tmq,TDE-H+He,AstroNote 2023-336
AT 2023vto,TDE-He,Kumar et al 2024
AT 2023rvb,TDE-H+He,AstroNote 2023-326
AT 2023mhs,TDE-H+He,TNS Remarks
AT 2023mfm,TDE-H,AstroNote 2023-250/TNS Classification Report No. 15598
AT 2023lli,TDE-H,TNS Classification Report No. 15129
AT 2023kvy,TDE-H,TNS Classification Report No. 15611
AT 2023cvb,TDE-H,AstroNote 2023-102
AT 2023clx,TDE-H+He,Charalampopoulos et al 2024 (AT 2018meh)
AT 2022wtn,TDE-H+He,this paper
AT 2022upj,TDE-He,TNS Classification Report No. 13751/Extreme Coronal Line Emitter
AT 2022pna,TDE-H+He,this paper
AT 2022lri,TDE-H+He,AstroNote 2022-233
AT 2022hvp,TDE-He,AstroNote 2022-106
AT 2022gdw,TDE-He,TNS Classification Report No. 12616/Potentially TDE-H+He 
AT 2022gri,TDE-H+He,this paper
AT 2022ibq,TDE-He,TNS Classification Report No. 12529
AT 2022fpx,TDE-H+He,TNS Remarks/Extreme Coronal Line Emitter Koljonen et al 2024
AT 2022exr,TDE-H,TNS Classification Report No. 12383/Potentially TDE-H+He 
AT 2022dsb,TDE-H+He,this paper
AT 2022dyt,TDE-H,TNS Classification Report No. 12280
AT 2022dbl,TDE-H+He,AstroNote 2022-47 First Flare (AT 2018mac)
AT 2022dbl,TDE-H+He,AstroNote 2024-43 Second Flares (AT 2018mac)
AT 2022czy,TDE-H,AstroNote 2022-101
AT 2022csn,TDE-H+He,TNS Remarks
AT 2022cmc,Jetted TDE
AT 2022bdw,TDE-H+He,AstroNote 2022-50
AT 2022arb,TDE-H+He,AstroNote 2022-66
AT 2022adm,TDE-H+He,TNS Classification Report No. 11905
AT 2022agi,TDE-H+He,Sun et al. 2024 Second Flares
AT 2022aee,TDE-H,this paper
AT 2022rz,TDE-H+He,TNS Classification Report No. 12210
AT 2021yte,TDE-H+He,(3)
AT 2021yzv,TDE-featureless,(3)
AT 2021utq,TDE-H,(3)
AT 2021uqv,TDE-H+He,(3)
AT 2021uvz,TDE-H+He,TNS Classification Report No. 12234
AT 2021sdu,TDE-H+He,(3)
AT 2021qth,TDE-H+He,this paper/(3) Extreme Coronal Line Emitter
AT 2021mhg,TDE-H+He,(3)
AT 2021nwa,TDE-H+He,(3)
AT 2021qxv,TDE-He,ATel 14766
AT 2021jjm,TDE-H,(3)
AT 2021gje,TDE-He,TNS Classification Report No. 9689
AT 2021ehb,TDE-featureless,(3)
AT 2021crk,TDE-H+He,(3)
AT 2021blz,TDE-He,this paper
AT 2021axu,TDE-H+He,(3)
AT 2021ack,TDE-H+He,TNS Classification Report No. 9121/this paper
AT 2021jsg,TDE-H+He,TNS Classification Report No. 9382
AT 2021lo,TDE-H+He,TNS Classification Report No. 12040
AT 2020acka,TDE-featureless,(3)
AT 2020zso,TDE-H+He,(2)
AT 2020yue,TDE-H,(3)
AT 2020ysg,TDE-featureless,(2-3)
AT 2020afhd,TDE-H+He,AstroNote 2024-37/BFF AstroNote 2024-53
AT 2020vwl,TDE-H+He,(3)
AT 2020wey,TDE-H+He,(2-3)
AT 2020vdq,TDE-H+He,Somalwar et al 2023 Table 8 Second Flare/First Flare Uknown (3)
AT 2020ukj,TDE-featureless,AstroNote 2024-379
AT 2020riz,TDE-featureless,(2)
AT 2020qhs,TDE-featureless,(2)
AT 2020opy,TDE-H+He,(2)
AT 2020nov,TDE-H+He,AstroNote 2020-143/this paper
AT 2020neh,TDE-H+He,(3)
AT 2020mot,TDE-H+He,(2-3)
