# 
# FILTER  = 'clear'                                                             
# EXPTIME = 820                                                                 
# OBJECT  = 'PTF15kb'                                                           
# TARGNAME= 'PTF15af_S2'                                                        
# ROTPOSN = 139.99810                                                           
# DICHNAME= 560                                                                 
# GRISNAME= '400/3400'                                                          
# BLUFILT = 'clear'                                                             
# SLITNAME= 'long_1.0'                                                          
# INSTRUME= 'LRIS+LRISBLUE'      /                                                
# TELESCOP= 'Keck I'                                                            
# UTC     = '07:16:37.59'                                                       
# MJD-OBS = 57104.303213                                                        
# AZ      = -37.2990070000                                                      
# EL      = 87.3839800000                                                       
# RA      = '08:48:28.87'                                                       
# DEC     = '+22:03:24.7'                                                       
# EQUINOX = 2000.0000                                                           
# AIRMASS = 1.00104120000                                                       
# SUNELEV = -41.630958                                                          
# MOONELEV= -1.6826475                                                          
# MOONDIST= 86.219415                                                           
# SLITPA  = 229.998                                                             
# DATE_BEG= '2015-03-23T07:16:37'                                               
# DATE_END= '2015-03-23T07:30:17'                                               
# YEXTRACT= 68.8039                                                             
# APRAD   = 2.00000                                                             
# APSHARP = 6                                                                   
# NSATURAT=                    0 /                                                
# NWAV    =                 5163 /                                                
# BAKDIST = 3.50000                                                             
# BAKWIDTH= 8.00000                                                             
# INFILE0 = 'spredux/ceszfpr150323_0090r.spec' /                                  
# TOTALEXP= 820.000                                                             
# BLUEXPTM=              820.000 /                                                
# BLUBIN  = '2,2     '           /                                                
# BLUAPRAD=              2.00000 /                                                
# BLUBKDST=              3.50000 /                                                
# BLUARCF =                    0 /                                                
# BLUCWAV =        3612.31430000 /                                                
# BLUDISP =              2.18000 /                                                
# BLUFCAL1= 'spredux/eszfpb150323_0087r.spec' /                                   
# BLUFCAL2= 'spredux/eszfpb150323_0088r.spec' /                                   
# BLUFAIR1=              1.40040 /                                                
# BLUFAIR2=              1.40484 /                                                
# BLUFNAM1= 'G191-B2B'           /                                                
# BLUFNAM2= 'G191-B2B'           /                                                
# INCFILE1= 'spredux/vcPTF15af_r400-8500.spec' /                                  
# RESCALE1=        1.16709945200 /                                                
# WAVOVER1= '5600.5093-5719.2871' /                                               
# ATCHWAV1=        5620.30859375 /                                                
# REDEXPTM=              800.000 /                                                
# REDBIN  = '2,1     '           /                                                
# REDAPRAD=              2.00000 /                                                
# REDBKDST=              3.50000 /                                                
# REDARCF =                    0 /                                                
# REDCWAV =        7888.48360000 /                                                
# REDDISP =              1.16000 /                                                
# REDFCAL1= 'spredux/eszfpr150323_0084r.spec' /                                   
# REDFCAL2= 'spredux/eszfpr150323_0085r.spec' /                                   
# REDFAIR1=              1.40105 /                                                
# REDFAIR2=              1.40671 /                                                
# REDFNAM1= 'G191-B2B'           /                                                
# REDFNAM2= 'G191-B2B'           /                                                
#                    0                                                            
# REDFILT = 'Clear   '           /                                                
# WAVELEN =        7829.41410000 /                                                
# END                                                                             
# wavelength     flux         sky_flux     flux_unc     xpixel  ypixel  response
  3081.5906  1.88190e-16  2.61082e-16  5.89922e-17  761        67.890  2.37127e+14
  3083.5271  4.49408e-16  2.21253e-16  6.42955e-17  762        67.893  2.49595e+14
  3085.4644  3.73613e-16  2.23224e-16  5.98305e-17  763        67.895  2.62475e+14
  3087.4023  4.07588e-16  1.75638e-16  5.74345e-17  764        67.898  2.75771e+14
  3089.3413  3.67056e-16  1.66532e-16  5.40029e-17  765        67.901  2.89485e+14
  3091.2808  3.17658e-16  1.66649e-16  5.06889e-17  766        67.904  3.03614e+14
  3093.2212  2.74406e-16  1.72285e-16  4.78575e-17  767        67.907  3.18163e+14
  3095.1621  3.52483e-16  1.31170e-16  4.75730e-17  768        67.909  3.33126e+14
  3097.1040  3.96173e-16  1.23513e-16  4.72772e-17  769        67.912  3.48508e+14
  3099.0469  3.82149e-16  1.26953e-16  4.55941e-17  770        67.915  3.64307e+14
  3100.9902  3.25805e-16  1.19518e-16  4.23445e-17  771        67.918  3.80517e+14
  3102.9343  3.24973e-16  1.17482e-16  4.10665e-17  772        67.921  3.97140e+14
  3104.8794  3.02359e-16  1.15964e-16  3.91924e-17  773        67.924  4.14174e+14
  3106.8250  2.93576e-16  1.03852e-16  3.74837e-17  774        67.926  4.31612e+14
  3108.7715  2.96888e-16  1.02199e-16  3.65391e-17  775        67.929  4.49455e+14
  3110.7185  3.05910e-16  1.10481e-16  3.61165e-17  776        67.932  4.67697e+14
  3112.6665  2.97072e-16  9.80655e-17  3.45726e-17  777        67.935  4.86336e+14
  3114.6150  2.51755e-16  9.86009e-17  3.23546e-17  778        67.938  5.05365e+14
  3116.5645  2.56029e-16  9.34443e-17  3.15306e-17  779        67.941  5.24783e+14
  3118.5146  3.09682e-16  8.23812e-17  3.20373e-17  780        67.944  5.44583e+14
  3120.4656  2.93517e-16  9.62488e-17  3.12319e-17  781        67.947  5.64761e+14
  3122.4172  3.34905e-16  9.56820e-17  3.16666e-17  782        67.949  5.85310e+14
  3124.3694  2.98099e-16  8.73199e-17  2.97317e-17  783        67.952  6.06223e+14
  3126.3225  2.92536e-16  8.71728e-17  2.89302e-17  784        67.955  6.27499e+14
  3128.2764  2.74955e-16  8.56105e-17  2.77839e-17  785        67.958  6.49130e+14
  3130.2310  2.80499e-16  7.65815e-17  2.71075e-17  786        67.961  6.71109e+14
  3132.1863  2.99726e-16  8.37305e-17  2.72722e-17  787        67.964  6.93430e+14
  3134.1423  3.05471e-16  7.97525e-17  2.67802e-17  788        67.967  7.16086e+14
  3136.0991  2.81038e-16  8.60176e-17  2.57828e-17  789        67.970  7.39072e+14
  3138.0564  2.98356e-16  8.56016e-17  2.57337e-17  790        67.973  7.62378e+14
  3140.0146  2.53838e-16  1.05149e-16  2.46099e-17  791        67.976  7.86002e+14
  3141.9734  2.42488e-16  1.34038e-16  2.46110e-17  792        67.979  8.09933e+14
  3143.9331  2.80613e-16  1.63064e-16  2.58099e-17  793        67.982  8.34170e+14
  3145.8933  2.96992e-16  1.45993e-16  2.53538e-17  794        67.985  8.58700e+14
  3147.8545  3.16992e-16  1.35202e-16  2.51419e-17  795        67.988  8.83523e+14
  3149.8162  2.83187e-16  1.29143e-16  2.38130e-17  796        67.991  9.08626e+14
  3151.7786  2.97335e-16  1.21620e-16  2.35809e-17  797        67.994  9.34005e+14
  3153.7417  2.68229e-16  1.16644e-16  2.24164e-17  798        67.996  9.59654e+14
  3155.7056  2.70328e-16  9.61711e-17  2.16312e-17  799        67.999  9.85567e+14
  3157.6699  2.70840e-16  8.66979e-17  2.10841e-17  800        68.003  1.01173e+15
  3159.6353  2.61502e-16  8.94137e-17  2.06064e-17  801        68.006  1.03816e+15
  3161.6013  2.62531e-16  8.01196e-17  2.01027e-17  802        68.009  1.06482e+15
  3163.5679  2.77058e-16  8.39412e-17  2.02333e-17  803        68.012  1.09173e+15
  3165.5352  2.77157e-16  8.62103e-17  1.99968e-17  804        68.015  1.11887e+15
  3167.5032  2.94137e-16  7.65228e-17  1.98786e-17  805        68.018  1.14624e+15
  3169.4719  2.63344e-16  7.63449e-17  1.89085e-17  806        68.021  1.17383e+15
  3171.4412  2.47287e-16  7.67791e-17  1.82925e-17  807        68.024  1.20163e+15
  3173.4114  2.71611e-16  5.90690e-17  1.81963e-17  808        68.027  1.22966e+15
  3175.3821  2.56930e-16  7.11878e-17  1.78979e-17  809        68.030  1.25789e+15
  3177.3535  2.48805e-16  6.29792e-17  1.72961e-17  810        68.033  1.28632e+15
  3179.3257  2.40416e-16  6.34554e-17  1.68938e-17  811        68.036  1.31496e+15
  3181.2983  2.99036e-16  5.22391e-17  1.77220e-17  812        68.039  1.34378e+15
  3183.2720  2.41808e-16  5.75830e-17  1.63712e-17  813        68.042  1.37281e+15
  3185.2461  2.52583e-16  5.21121e-17  1.62890e-17  814        68.045  1.40202e+15
